Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2005,2005-09-18,21.134,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2005,2005-10-02,21.148000000000003,6.0,10.0,60.0,34.0,0.0,0.0,66.2,2.0,15.0,3.4,3.4
2005,2005-10-09,21.155,9.0,23.0,39.13,74.0,0.0,4.0,8.5,5.0,30.0,3.22,-4.61
2005,2005-10-23,21.169,8.0,16.0,50.0,92.0,0.0,1.0,41.7,5.0,38.0,5.75,2.94
2005,2005-12-04,21.211,16.0,24.0,66.67,185.0,0.0,3.0,50.2,3.0,16.0,7.71,2.08
2005,2005-12-11,21.218000000000004,9.0,22.0,40.91,77.0,0.0,1.0,31.8,4.0,26.0,3.5,1.45
2005,2005-12-18,21.225,8.0,24.0,33.33,123.0,0.0,1.0,33.9,2.0,16.0,5.13,3.25
2005,2005-12-24,21.230999999999998,12.0,16.0,75.0,131.0,0.0,0.0,98.7,5.0,27.0,8.19,8.19
2005,2006-01-01,21.239,16.0,29.0,55.17,159.0,1.0,1.0,68.0,3.0,17.0,5.48,4.62
2006,2006-09-10,22.125999999999998,23.0,40.0,57.5,288.0,1.0,0.0,88.3,1.0,2.0,7.2,7.7
2006,2006-09-17,22.133000000000003,11.0,22.0,50.0,233.0,1.0,0.0,103.0,0.0,0.0,10.59,11.5
2006,2006-09-24,22.14,27.0,46.0,58.7,293.0,1.0,0.0,84.8,3.0,24.0,6.37,6.8
2006,2006-10-01,22.147,13.0,25.0,52.0,92.0,0.0,2.0,27.4,4.0,16.0,3.68,0.08
2006,2006-10-08,22.154,15.0,19.0,78.95,165.0,3.0,1.0,120.5,0.0,0.0,8.68,9.47
2006,2006-10-15,22.160999999999998,20.0,31.0,64.52,214.0,2.0,1.0,92.7,5.0,32.0,6.9,6.74
2006,2006-10-29,22.175,14.0,25.0,56.0,135.0,1.0,2.0,51.2,2.0,14.0,5.4,2.6
2006,2006-11-05,22.182,13.0,21.0,61.9,105.0,0.0,1.0,54.7,3.0,14.0,5.0,2.86
2006,2006-11-12,22.189,14.0,20.0,70.0,136.0,0.0,0.0,88.7,3.0,19.0,6.8,6.8
2006,2006-11-19,22.195999999999998,19.0,25.0,76.0,163.0,1.0,0.0,105.9,1.0,9.0,6.52,7.32
2006,2006-11-26,22.203000000000003,13.0,25.0,52.0,148.0,1.0,2.0,50.1,0.0,0.0,5.92,3.12
2006,2006-12-03,22.21,14.0,28.0,50.0,171.0,1.0,3.0,41.5,4.0,26.0,6.11,2.0
2006,2006-12-10,22.217,12.0,29.0,41.38,201.0,1.0,2.0,48.2,1.0,7.0,6.93,4.52
2006,2006-12-14,22.221,14.0,25.0,56.0,162.0,2.0,0.0,102.4,0.0,0.0,6.48,8.08
2006,2006-12-24,22.230999999999998,18.0,29.0,62.07,190.0,0.0,1.0,66.7,4.0,16.0,6.55,5.0
2006,2006-12-31,22.238000000000003,17.0,32.0,53.13,194.0,1.0,1.0,69.0,4.0,23.0,6.06,5.28
2007,2007-09-10,23.125999999999998,15.0,31.0,48.39,126.0,0.0,0.0,59.3,3.0,24.0,4.06,4.06
2007,2007-09-16,23.131999999999998,11.0,17.0,64.71,126.0,0.0,0.0,86.9,4.0,29.0,7.41,7.41
2007,2007-09-23,23.139,17.0,35.0,48.57,209.0,1.0,1.0,65.1,2.0,11.0,5.97,5.26
