Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2012,2012-09-09,22.363000000000003,23.0,45.0,51.11,309.0,1.0,3.0,52.9,3.0,16.0,6.87,4.31
2012,2012-09-16,23.004,20.0,31.0,64.52,224.0,2.0,0.0,107.5,2.0,30.0,7.23,8.52
2012,2012-09-23,23.011,22.0,46.0,47.83,313.0,2.0,1.0,75.7,0.0,0.0,6.8,6.7
2012,2012-10-07,23.025,31.0,55.0,56.36,362.0,2.0,1.0,81.0,4.0,17.0,6.58,6.49
2012,2012-10-14,23.031999999999996,22.0,44.0,50.0,280.0,0.0,2.0,51.3,4.0,23.0,6.36,4.32
2012,2012-10-21,23.039,16.0,29.0,55.17,186.0,0.0,0.0,74.8,3.0,13.0,6.41,6.41
2012,2012-10-28,23.046,26.0,38.0,68.42,297.0,1.0,1.0,89.5,2.0,11.0,7.82,7.16
2012,2012-11-04,23.053,30.0,48.0,62.5,433.0,2.0,0.0,105.6,1.0,14.0,9.02,9.85
2012,2012-11-08,23.057,18.0,26.0,69.23,227.0,0.0,1.0,80.1,2.0,6.0,8.73,7.0
2012,2012-11-18,23.066999999999997,27.0,50.0,54.0,334.0,2.0,3.0,63.2,1.0,5.0,6.68,4.78
2012,2012-11-25,23.074,20.0,37.0,54.05,240.0,1.0,1.0,71.9,4.0,15.0,6.49,5.81
2012,2012-12-02,23.081,24.0,54.0,44.44,391.0,4.0,3.0,70.8,2.0,19.0,7.24,6.22
2012,2012-12-09,23.088,16.0,34.0,47.06,196.0,1.0,2.0,50.6,4.0,25.0,5.76,3.71
2012,2012-12-16,23.095,13.0,27.0,48.15,186.0,2.0,0.0,95.6,5.0,38.0,6.89,8.37
2012,2012-12-23,23.101999999999997,17.0,35.0,48.57,205.0,1.0,0.0,76.5,3.0,7.0,5.86,6.43
2012,2012-12-30,23.109,14.0,28.0,50.0,191.0,2.0,0.0,96.0,1.0,7.0,6.82,8.25
2013,2013-09-08,23.361,18.0,23.0,78.26,178.0,2.0,0.0,127.9,4.0,31.0,7.74,9.48
2013,2013-09-15,24.003,25.0,43.0,58.14,321.0,1.0,1.0,79.7,3.0,6.0,7.47,6.88
2013,2013-09-22,24.01,17.0,26.0,65.38,159.0,0.0,0.0,82.1,1.0,7.0,6.12,6.12
2013,2013-09-29,24.017,21.0,35.0,60.0,257.0,2.0,1.0,89.8,2.0,14.0,7.34,7.2
2013,2013-10-06,24.024,16.0,29.0,55.17,229.0,2.0,0.0,104.0,2.0,21.0,7.9,9.28
2013,2013-10-14,24.031999999999996,18.0,30.0,60.0,202.0,0.0,1.0,66.3,1.0,9.0,6.73,5.23
2013,2013-10-20,24.038,21.0,38.0,55.26,228.0,3.0,0.0,99.5,2.0,15.0,6.0,7.58
2013,2013-11-03,24.052,18.0,40.0,45.0,271.0,3.0,0.0,92.8,4.0,26.0,6.78,8.28
2013,2013-11-10,24.059,29.0,47.0,61.7,353.0,1.0,3.0,65.3,3.0,33.0,7.51,5.06
2013,2013-11-14,24.063000000000002,23.0,36.0,63.89,232.0,0.0,0.0,82.2,1.0,3.0,6.44,6.44
2013,2013-11-24,24.073,20.0,39.0,51.28,163.0,1.0,1.0,60.1,1.0,4.0,4.18,3.54
2013,2013-12-01,24.08,17.0,32.0,53.13,200.0,0.0,1.0,59.4,5.0,40.0,6.25,4.84
2013,2013-12-08,24.087,29.0,46.0,63.04,326.0,4.0,0.0,113.1,0.0,0.0,7.09,8.83
2013,2013-12-15,24.094,19.0,32.0,59.38,180.0,2.0,1.0,82.8,1.0,1.0,5.63,5.47
2013,2013-12-22,24.101,26.0,37.0,70.27,241.0,1.0,0.0,96.8,1.0,9.0,6.51,7.05
2013,2013-12-29,24.108,26.0,37.0,70.27,282.0,1.0,0.0,101.4,1.0,8.0,7.62,8.16
2014,2014-09-07,24.36,35.0,53.0,66.04,370.0,2.0,2.0,83.1,3.0,16.0,6.98,6.04
2014,2014-09-15,25.003,20.0,34.0,58.82,172.0,3.0,1.0,89.3,0.0,0.0,5.06,5.5
2014,2014-09-21,25.009,31.0,39.0,79.49,370.0,4.0,0.0,140.4,2.0,5.0,9.49,11.54
2014,2014-09-28,25.016,29.0,41.0,70.73,393.0,4.0,1.0,123.3,0.0,0.0,9.59,10.44
2014,2014-10-05,25.023000000000003,32.0,49.0,65.31,312.0,1.0,2.0,72.8,1.0,7.0,6.37,4.94
2014,2014-10-09,25.026999999999997,25.0,44.0,56.82,370.0,3.0,1.0,97.7,3.0,7.0,8.41,8.75
2014,2014-10-19,25.037,27.0,42.0,64.29,344.0,2.0,0.0,105.7,2.0,9.0,8.19,9.14
2014,2014-10-26,25.044,26.0,45.0,57.78,400.0,3.0,2.0,91.0,2.0,15.0,8.89,8.22
2014,2014-11-03,25.052,25.0,46.0,54.35,354.0,4.0,0.0,108.4,1.0,9.0,7.7,9.43
2014,2014-11-16,25.065,23.0,39.0,58.97,303.0,2.0,1.0,90.0,1.0,0.0,7.77,7.64
2014,2014-11-23,25.072,21.0,32.0,65.63,253.0,1.0,0.0,100.1,5.0,39.0,7.91,8.53
2014,2014-11-30,25.079,19.0,27.0,70.37,370.0,5.0,1.0,137.0,1.0,9.0,13.7,15.74
2014,2014-12-07,25.086,24.0,53.0,45.28,294.0,2.0,2.0,59.8,3.0,25.0,5.55,4.6
2014,2014-12-14,25.093000000000004,18.0,34.0,52.94,187.0,2.0,1.0,76.5,2.0,19.0,5.5,5.35
2014,2014-12-21,25.1,15.0,22.0,68.18,109.0,0.0,2.0,41.7,0.0,0.0,4.95,0.86
2014,2014-12-28,25.107,10.0,16.0,62.5,160.0,2.0,0.0,135.4,1.0,1.0,10.0,12.5
2015,2015-09-13,26.000999999999998,26.0,49.0,53.06,243.0,2.0,2.0,63.6,2.0,3.0,4.96,3.94
2015,2015-09-21,26.009,21.0,37.0,56.76,250.0,1.0,3.0,52.8,0.0,0.0,6.76,3.65
2015,2015-09-27,26.015,18.0,30.0,60.0,260.0,2.0,2.0,82.6,3.0,15.0,8.67,7.0
2015,2015-10-18,26.035999999999998,30.0,50.0,60.0,312.0,3.0,0.0,98.1,3.0,23.0,6.24,7.44
2015,2015-10-25,26.043000000000003,23.0,44.0,52.27,333.0,3.0,2.0,81.0,4.0,32.0,7.57,6.89
2015,2015-11-02,26.051,23.0,47.0,48.94,231.0,2.0,3.0,50.9,2.0,8.0,4.91,2.89
2015,2015-11-08,26.057,21.0,36.0,58.33,252.0,2.0,0.0,98.4,1.0,7.0,7.0,8.11
2016,2016-09-11,26.365,31.0,47.0,65.96,385.0,4.0,0.0,119.5,2.0,17.0,8.19,9.89
2016,2016-09-18,27.006,21.0,40.0,52.5,197.0,1.0,1.0,64.3,5.0,27.0,4.93,4.3
2016,2016-09-25,27.013,24.0,37.0,64.86,331.0,1.0,1.0,91.2,2.0,14.0,8.95,8.27
2016,2016-10-02,27.02,27.0,42.0,64.29,234.0,2.0,1.0,84.8,6.0,44.0,5.57,5.45
2016,2016-10-09,27.026999999999997,28.0,39.0,71.79,322.0,2.0,0.0,113.4,5.0,24.0,8.26,9.28
2016,2016-10-16,27.034000000000002,21.0,32.0,65.63,252.0,1.0,1.0,87.0,3.0,21.0,7.88,7.09
2016,2016-10-23,27.041,27.0,39.0,69.23,353.0,3.0,0.0,123.1,2.0,12.0,9.05,10.59
2016,2016-10-30,27.048000000000002,19.0,35.0,54.29,210.0,2.0,1.0,79.5,6.0,38.0,6.0,5.86
2016,2016-11-06,27.055,23.0,36.0,63.89,281.0,1.0,2.0,74.0,2.0,11.0,7.81,5.86
2016,2016-11-20,27.069000000000003,15.0,28.0,53.57,262.0,2.0,1.0,94.6,2.0,11.0,9.36,9.18
2016,2016-12-05,27.084,22.0,28.0,78.57,278.0,4.0,0.0,147.6,1.0,7.0,9.93,12.79
2016,2016-12-11,27.09,24.0,45.0,53.33,276.0,2.0,2.0,68.4,1.0,11.0,6.13,5.02
2016,2016-12-18,27.096999999999998,21.0,28.0,75.0,250.0,2.0,0.0,125.6,0.0,0.0,8.93,10.36
2016,2016-12-24,27.103,19.0,29.0,65.52,288.0,2.0,2.0,92.3,0.0,0.0,9.93,8.21
2016,2017-01-01,27.111,24.0,40.0,60.0,321.0,2.0,1.0,91.8,4.0,31.0,8.03,7.9
2018,2018-09-09,28.362,39.0,53.0,73.58,319.0,2.0,1.0,93.2,2.0,14.0,6.02,5.92
2018,2018-09-16,29.004,21.0,31.0,67.74,179.0,2.0,2.0,77.2,1.0,2.0,5.77,4.16
2018,2018-09-23,29.011,25.0,40.0,62.5,164.0,1.0,0.0,79.6,2.0,23.0,4.1,4.6
2018,2018-09-30,29.018,40.0,62.0,64.52,464.0,4.0,0.0,108.5,4.0,27.0,7.48,8.77
2018,2018-10-04,29.022,38.0,59.0,64.41,365.0,3.0,2.0,84.4,1.0,10.0,6.19,5.68
2018,2018-10-14,29.031999999999996,23.0,43.0,53.49,301.0,4.0,3.0,77.8,0.0,0.0,7.0,5.72
2018,2018-10-21,29.039,17.0,23.0,73.91,156.0,4.0,0.0,131.5,0.0,0.0,6.78,10.26
2018,2018-10-28,29.046,22.0,31.0,70.97,239.0,3.0,0.0,125.6,0.0,0.0,7.71,9.65
2018,2018-11-11,29.06,21.0,29.0,72.41,285.0,3.0,1.0,123.5,0.0,0.0,9.83,10.34
2018,2018-11-18,29.066999999999997,23.0,29.0,79.31,297.0,3.0,0.0,143.8,0.0,0.0,10.24,12.31
2018,2018-11-25,29.074,30.0,37.0,81.08,343.0,3.0,2.0,109.8,1.0,10.0,9.27,8.46
2018,2018-12-02,29.081,33.0,52.0,63.46,248.0,0.0,1.0,66.8,3.0,24.0,4.77,3.9
2018,2018-12-09,29.088,27.0,41.0,65.85,399.0,2.0,1.0,103.6,2.0,13.0,9.73,9.61
2018,2018-12-16,29.095,16.0,27.0,59.26,192.0,0.0,0.0,81.1,0.0,0.0,7.11,7.11
2018,2018-12-23,29.101999999999997,31.0,47.0,65.96,357.0,2.0,1.0,94.0,1.0,4.0,7.6,7.49
