Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2011,2011-09-11,22.123,24.0,37.0,64.86,422.0,2.0,1.0,110.4,4.0,19.0,11.41,11.27
2011,2011-09-18,22.13,28.0,46.0,60.87,432.0,1.0,3.0,72.0,4.0,28.0,9.39,6.89
2011,2011-09-25,22.136999999999997,18.0,34.0,52.94,158.0,1.0,0.0,75.4,0.0,0.0,4.65,5.24
2011,2011-10-02,22.144000000000002,27.0,46.0,58.7,374.0,1.0,1.0,83.1,0.0,0.0,8.13,7.59
2011,2011-10-09,22.151,16.0,31.0,51.61,224.0,2.0,1.0,83.3,1.0,5.0,7.23,7.06
2011,2011-10-16,22.158,21.0,35.0,60.0,237.0,0.0,3.0,44.6,1.0,8.0,6.77,2.91
2011,2011-10-23,22.165,18.0,23.0,78.26,256.0,1.0,0.0,127.5,4.0,24.0,11.13,12.0
2011,2011-10-30,22.171999999999997,22.0,35.0,62.86,290.0,3.0,0.0,117.6,3.0,25.0,8.29,10.0
2011,2011-11-13,22.186,23.0,40.0,57.5,212.0,0.0,1.0,61.7,5.0,46.0,5.3,4.18
2011,2011-11-20,22.193,22.0,38.0,57.89,280.0,1.0,4.0,50.2,1.0,8.0,7.37,3.16
2011,2011-11-27,22.2,20.0,27.0,74.07,208.0,0.0,0.0,95.9,3.0,32.0,7.7,7.7
2011,2011-12-04,22.206999999999997,12.0,21.0,57.14,204.0,1.0,0.0,106.1,2.0,9.0,9.71,10.67
2011,2011-12-11,22.214000000000002,19.0,39.0,48.72,276.0,2.0,2.0,67.9,2.0,17.0,7.08,5.79
2011,2011-12-18,22.221,13.0,23.0,56.52,149.0,2.0,0.0,105.2,2.0,10.0,6.48,8.22
2011,2011-12-24,22.226999999999997,12.0,17.0,70.59,171.0,3.0,0.0,142.4,1.0,8.0,10.06,13.59
2011,2012-01-01,22.235,15.0,25.0,60.0,158.0,1.0,1.0,75.1,2.0,21.0,6.32,5.32
2012,2012-09-09,23.121,23.0,33.0,69.7,303.0,1.0,2.0,83.3,3.0,12.0,9.18,7.06
2012,2012-09-16,23.128,14.0,20.0,70.0,253.0,1.0,0.0,129.2,1.0,9.0,12.65,13.65
2012,2012-09-20,23.131999999999998,16.0,30.0,53.33,242.0,0.0,3.0,40.6,2.0,21.0,8.07,3.57
2012,2012-09-30,23.142,15.0,24.0,62.5,215.0,2.0,0.0,119.3,3.0,10.0,8.96,10.63
2012,2012-10-07,23.149,12.0,29.0,41.38,141.0,0.0,0.0,56.8,4.0,33.0,4.86,4.86
2012,2012-10-21,23.163,21.0,37.0,56.76,233.0,1.0,1.0,73.4,2.0,17.0,6.3,5.62
2012,2012-10-28,23.17,20.0,39.0,51.28,314.0,0.0,2.0,57.0,2.0,17.0,8.05,5.74
2012,2012-11-04,23.177,13.0,23.0,56.52,201.0,1.0,0.0,100.1,0.0,0.0,8.74,9.61
2012,2012-11-11,23.184,21.0,36.0,58.33,241.0,2.0,2.0,74.0,7.0,43.0,6.69,5.31
2012,2012-11-18,23.191,16.0,29.0,55.17,252.0,1.0,0.0,95.8,2.0,18.0,8.69,9.38
2012,2012-11-26,23.199,18.0,28.0,64.29,306.0,2.0,0.0,125.0,2.0,17.0,10.93,12.36
2012,2012-12-02,23.205,15.0,27.0,55.56,232.0,3.0,0.0,121.2,2.0,12.0,8.59,10.81
2012,2012-12-09,23.212,23.0,35.0,65.71,287.0,2.0,0.0,110.1,1.0,7.0,8.2,9.34
2012,2012-12-16,23.219,19.0,33.0,57.58,231.0,2.0,0.0,99.4,2.0,14.0,7.0,8.21
2012,2012-12-23,23.226,18.0,29.0,62.07,170.0,1.0,1.0,75.4,2.0,11.0,5.86,5.0
2012,2012-12-30,23.233,16.0,33.0,48.48,248.0,0.0,1.0,61.2,1.0,3.0,7.52,6.15
2013,2013-09-08,24.12,16.0,23.0,69.57,125.0,1.0,0.0,97.2,1.0,6.0,5.43,6.3
2013,2013-09-15,24.127,21.0,38.0,55.26,229.0,2.0,1.0,79.8,6.0,46.0,6.03,5.89
2013,2013-09-22,24.134,15.0,27.0,55.56,223.0,3.0,1.0,104.4,1.0,15.0,8.26,8.81
2013,2013-10-06,24.148000000000003,21.0,39.0,53.85,308.0,0.0,3.0,47.8,7.0,50.0,7.9,4.44
2013,2013-10-13,24.155,20.0,26.0,76.92,242.0,3.0,0.0,143.4,1.0,6.0,9.31,11.62
2013,2013-10-20,24.162,15.0,17.0,88.24,204.0,1.0,0.0,136.3,2.0,24.0,12.0,13.18
2013,2013-10-24,24.166,23.0,32.0,71.88,221.0,2.0,0.0,111.6,3.0,26.0,6.91,8.16
2013,2013-11-03,24.176,23.0,37.0,62.16,249.0,1.0,2.0,68.4,1.0,7.0,6.73,4.84
2013,2013-11-10,24.183000000000003,16.0,32.0,50.0,169.0,0.0,1.0,52.7,3.0,28.0,5.28,3.88
2013,2013-11-18,24.191,19.0,28.0,67.86,209.0,3.0,0.0,125.4,3.0,12.0,7.46,9.61
2013,2013-11-24,24.197,19.0,38.0,50.0,174.0,1.0,1.0,60.6,3.0,15.0,4.58,3.92
2013,2013-12-01,24.204,18.0,29.0,62.07,263.0,2.0,2.0,85.8,0.0,0.0,9.07,7.34
2013,2013-12-08,24.211,22.0,34.0,64.71,160.0,1.0,0.0,85.4,5.0,49.0,4.71,5.29
2013,2013-12-15,24.218000000000004,16.0,24.0,66.67,273.0,1.0,0.0,118.9,2.0,12.0,11.38,12.21
2013,2013-12-22,24.225,13.0,22.0,59.09,181.0,1.0,1.0,81.8,4.0,40.0,8.23,7.09
2013,2013-12-29,24.232,15.0,27.0,55.56,149.0,2.0,1.0,80.6,1.0,0.0,5.52,5.33
2014,2014-09-14,25.125999999999998,22.0,34.0,64.71,281.0,1.0,0.0,100.2,4.0,30.0,8.26,8.85
2014,2014-09-21,25.133000000000003,24.0,35.0,68.57,250.0,1.0,0.0,98.5,3.0,23.0,7.14,7.71
2014,2014-09-28,25.14,14.0,25.0,56.0,197.0,1.0,0.0,94.9,2.0,20.0,7.88,8.68
2014,2014-10-05,25.147,19.0,35.0,54.29,255.0,2.0,1.0,84.8,2.0,24.0,7.29,7.14
2014,2014-10-12,25.154,29.0,46.0,63.04,284.0,2.0,1.0,85.8,0.0,0.0,6.17,6.07
2014,2014-10-19,25.160999999999998,17.0,31.0,54.84,205.0,1.0,1.0,72.6,3.0,25.0,6.61,5.81
2014,2014-10-26,25.168000000000003,12.0,22.0,54.55,171.0,0.0,1.0,61.0,3.0,19.0,7.77,5.73
