Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2000,2000-12-10,24.166999999999998,2.0,5.0,40.0,67.0,1.0,0.0,127.1,1.0,4.0,13.4,17.4
2001,2001-09-09,25.075,1.0,6.0,16.67,24.0,0.0,0.0,43.7,0.0,0.0,4.0,4.0
2001,2001-10-21,25.116999999999997,9.0,14.0,64.29,68.0,1.0,0.0,99.7,1.0,8.0,4.86,6.29
2002,2002-09-15,26.081,3.0,10.0,30.0,39.0,0.0,0.0,43.3,2.0,4.0,3.9,3.9
2002,2002-09-22,26.088,2.0,3.0,66.67,32.0,0.0,1.0,62.5,1.0,8.0,10.67,-4.33
2002,2002-09-29,26.095,21.0,34.0,61.76,281.0,0.0,1.0,75.7,1.0,4.0,8.26,6.94
2002,2002-10-06,26.101999999999997,22.0,29.0,75.86,237.0,2.0,1.0,108.0,3.0,25.0,8.17,8.0
2002,2002-10-20,26.116,24.0,29.0,82.76,324.0,1.0,0.0,124.7,2.0,8.0,11.17,11.86
2002,2002-10-27,26.123,19.0,26.0,73.08,183.0,2.0,1.0,101.9,1.0,8.0,7.04,6.85
2002,2002-11-03,26.13,28.0,37.0,75.68,253.0,1.0,0.0,102.6,2.0,5.0,6.84,7.38
2002,2002-11-10,26.136999999999997,17.0,27.0,62.96,167.0,0.0,0.0,80.3,1.0,0.0,6.19,6.19
2002,2002-11-17,26.144000000000002,21.0,26.0,80.77,229.0,4.0,1.0,126.9,1.0,10.0,8.81,10.15
2002,2002-11-24,26.151,15.0,24.0,62.5,178.0,1.0,0.0,99.0,1.0,8.0,7.42,8.25
2002,2002-12-02,26.159000000000002,22.0,34.0,64.71,265.0,2.0,1.0,95.8,2.0,19.0,7.79,7.65
2002,2002-12-08,26.165,19.0,30.0,63.33,244.0,1.0,0.0,99.9,3.0,27.0,8.13,8.8
2002,2002-12-15,26.171999999999997,22.0,33.0,66.67,207.0,1.0,0.0,93.9,1.0,7.0,6.27,6.88
2002,2002-12-22,26.179000000000002,23.0,33.0,69.7,285.0,3.0,0.0,126.5,0.0,0.0,8.64,10.45
2002,2002-12-29,26.186,17.0,24.0,70.83,196.0,4.0,0.0,134.7,1.0,2.0,8.17,11.5
2003,2003-10-26,27.122,14.0,24.0,58.33,154.0,0.0,1.0,60.1,2.0,14.0,6.42,4.54
2003,2003-11-02,27.129,27.0,45.0,60.0,281.0,4.0,2.0,89.2,3.0,21.0,6.24,6.02
2003,2003-11-09,27.136,18.0,27.0,66.67,269.0,2.0,0.0,123.8,0.0,0.0,9.96,11.44
2003,2003-11-16,27.143,11.0,14.0,78.57,219.0,3.0,0.0,158.3,3.0,27.0,15.64,19.93
2003,2003-11-23,27.15,25.0,39.0,64.1,236.0,1.0,1.0,78.6,2.0,15.0,6.05,5.41
2003,2003-12-01,27.158,18.0,23.0,78.26,231.0,2.0,2.0,101.3,2.0,8.0,10.04,7.87
2003,2003-12-07,27.164,15.0,29.0,51.72,155.0,0.0,1.0,53.1,5.0,28.0,5.34,3.79
2003,2003-12-14,27.171,15.0,25.0,60.0,144.0,0.0,0.0,76.1,0.0,0.0,5.76,5.76
2003,2003-12-20,27.177,24.0,43.0,55.81,229.0,0.0,5.0,31.2,4.0,17.0,5.33,0.09
