Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1987,1987-09-13,23.2,2.0,7.0,28.57,15.0,0.0,0.0,39.6,0.0,0.0,2.14,2.14
1987,1987-09-20,23.206999999999997,10.0,21.0,47.62,121.0,1.0,0.0,81.6,3.0,21.0,5.76,6.71
1987,1987-10-25,23.241999999999997,19.0,29.0,65.52,323.0,1.0,1.0,100.2,3.0,30.0,11.14,10.28
1987,1987-11-01,23.249000000000002,4.0,14.0,28.57,43.0,0.0,0.0,39.9,3.0,14.0,3.07,3.07
1987,1987-11-15,23.263,4.0,16.0,25.0,80.0,0.0,1.0,21.9,0.0,0.0,5.0,2.19
1987,1987-11-22,23.27,2.0,11.0,18.18,74.0,0.0,0.0,55.1,0.0,0.0,6.73,6.73
1987,1987-12-27,23.305,14.0,29.0,48.28,219.0,3.0,1.0,93.9,1.0,12.0,7.55,8.07
1988,1988-09-04,24.191999999999997,5.0,10.0,50.0,49.0,1.0,1.0,57.9,1.0,11.0,4.9,2.4
1988,1988-09-18,24.206,11.0,19.0,57.89,105.0,0.0,0.0,73.4,0.0,0.0,5.53,5.53
1988,1988-10-02,24.22,1.0,1.0,100.0,56.0,0.0,0.0,118.7,0.0,0.0,56.0,56.0
1988,1988-10-09,24.226999999999997,18.0,26.0,69.23,210.0,1.0,0.0,106.2,3.0,18.0,8.08,8.85
1988,1988-10-16,24.234,19.0,32.0,59.38,243.0,0.0,1.0,70.2,2.0,13.0,7.59,6.19
1988,1988-10-23,24.241,8.0,26.0,30.77,134.0,2.0,0.0,74.8,3.0,11.0,5.15,6.69
1988,1988-10-30,24.248,11.0,29.0,37.93,93.0,0.0,1.0,32.7,6.0,39.0,3.21,1.66
1988,1988-11-06,24.255,14.0,32.0,43.75,162.0,0.0,2.0,33.6,1.0,3.0,5.06,2.25
1988,1988-11-13,24.261999999999997,24.0,41.0,58.54,216.0,1.0,0.0,80.9,5.0,17.0,5.27,5.76
1988,1988-11-20,24.269000000000002,30.0,44.0,68.18,327.0,1.0,1.0,88.0,3.0,23.0,7.43,6.86
1988,1988-11-27,24.276,14.0,30.0,46.67,184.0,0.0,2.0,38.8,4.0,17.0,6.13,3.13
1988,1988-12-11,24.29,5.0,10.0,50.0,85.0,1.0,1.0,72.9,1.0,8.0,8.5,6.0
1988,1988-12-18,24.296999999999997,18.0,36.0,50.0,255.0,2.0,2.0,68.6,2.0,16.0,7.08,5.69
