Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2001,2001-11-04,22.293000000000003,15.0,27.0,55.56,221.0,1.0,0.0,94.8,2.0,12.0,8.19,8.93
2002,2002-09-08,23.236,15.0,19.0,78.95,160.0,2.0,0.0,136.8,1.0,0.0,8.42,10.53
2002,2002-09-15,23.243000000000002,15.0,28.0,53.57,163.0,1.0,1.0,68.0,2.0,20.0,5.82,4.93
2002,2002-09-22,23.25,17.0,31.0,54.84,181.0,0.0,1.0,58.7,2.0,17.0,5.84,4.39
2002,2002-09-29,23.256999999999998,10.0,18.0,55.56,104.0,1.0,0.0,91.0,0.0,0.0,5.78,6.89
2002,2002-10-06,23.264,26.0,42.0,61.9,235.0,1.0,2.0,65.1,0.0,0.0,5.6,3.93
2002,2002-10-13,23.271,28.0,41.0,68.29,319.0,2.0,2.0,87.3,1.0,7.0,7.78,6.56
2002,2002-10-20,23.278000000000002,16.0,25.0,64.0,170.0,2.0,0.0,110.4,2.0,9.0,6.8,8.4
2002,2002-11-03,23.291999999999998,22.0,35.0,62.86,192.0,1.0,2.0,63.0,2.0,22.0,5.49,3.49
2002,2002-11-10,23.299,12.0,20.0,60.0,139.0,0.0,2.0,41.5,1.0,9.0,6.95,2.45
2002,2002-11-17,23.305999999999997,29.0,50.0,58.0,336.0,2.0,1.0,83.4,0.0,0.0,6.72,6.62
2002,2002-11-24,23.313000000000002,15.0,22.0,68.18,107.0,0.0,1.0,60.2,3.0,27.0,4.86,2.82
2002,2002-12-01,23.32,27.0,41.0,65.85,217.0,0.0,0.0,79.0,1.0,3.0,5.29,5.29
2002,2002-12-08,23.326999999999998,22.0,41.0,53.66,239.0,0.0,3.0,40.6,2.0,13.0,5.83,2.54
2002,2002-12-15,23.334,13.0,24.0,54.17,148.0,0.0,0.0,72.9,3.0,20.0,6.17,6.17
2002,2002-12-22,23.340999999999998,26.0,40.0,65.0,242.0,2.0,0.0,98.1,1.0,7.0,6.05,7.05
2002,2002-12-29,23.348000000000003,27.0,49.0,55.1,332.0,3.0,1.0,88.1,3.0,26.0,6.78,7.08
2003,2003-09-07,24.235,18.0,33.0,54.55,202.0,2.0,2.0,68.0,3.0,34.0,6.12,4.61
2003,2003-09-14,24.241999999999997,20.0,41.0,48.78,182.0,1.0,1.0,59.2,0.0,0.0,4.44,3.83
2003,2003-09-21,24.249000000000002,28.0,45.0,62.22,270.0,0.0,3.0,51.2,1.0,13.0,6.0,3.0
2003,2003-09-28,24.256,21.0,31.0,67.74,187.0,1.0,1.0,81.0,0.0,0.0,6.03,5.23
2003,2003-10-05,24.263,24.0,41.0,58.54,296.0,3.0,0.0,105.3,4.0,19.0,7.22,8.68
2003,2003-10-19,24.276999999999997,9.0,18.0,50.0,74.0,0.0,1.0,37.7,1.0,13.0,4.11,1.61
2003,2003-10-27,24.285,19.0,30.0,63.33,190.0,0.0,3.0,41.7,6.0,44.0,6.33,1.83
2003,2003-11-02,24.291,7.0,15.0,46.67,49.0,0.0,1.0,26.8,0.0,0.0,3.27,0.27
2003,2003-12-14,24.333000000000002,28.0,48.0,58.33,363.0,2.0,1.0,87.4,2.0,27.0,7.56,7.46
2003,2003-12-21,24.34,16.0,26.0,61.54,198.0,1.0,2.0,65.9,1.0,5.0,7.62,4.92
2003,2003-12-28,24.346999999999998,15.0,28.0,53.57,97.0,1.0,0.0,73.1,3.0,23.0,3.46,4.18
2004,2004-09-12,25.241,17.0,24.0,70.83,209.0,2.0,0.0,125.2,1.0,7.0,8.71,10.38
2004,2004-09-19,25.248,8.0,19.0,42.11,146.0,1.0,2.0,47.1,1.0,7.0,7.68,4.0
2004,2004-09-26,25.255,14.0,29.0,48.28,121.0,0.0,0.0,59.7,4.0,30.0,4.17,4.17
2004,2004-10-03,25.261999999999997,16.0,20.0,80.0,206.0,3.0,0.0,149.2,1.0,8.0,10.3,13.3
2004,2004-10-10,25.269000000000002,17.0,26.0,65.38,211.0,2.0,0.0,116.0,0.0,0.0,8.12,9.65
2004,2004-10-17,25.276,23.0,31.0,74.19,227.0,1.0,1.0,91.7,1.0,4.0,7.32,6.52
2004,2004-10-24,25.283,21.0,32.0,65.63,196.0,0.0,0.0,82.3,1.0,8.0,6.13,6.13
2004,2004-10-31,25.29,22.0,25.0,88.0,281.0,5.0,0.0,153.1,1.0,8.0,11.24,15.24
2004,2004-11-07,25.296999999999997,22.0,36.0,61.11,257.0,4.0,0.0,119.8,1.0,7.0,7.14,9.36
2004,2004-11-21,25.311,18.0,34.0,52.94,226.0,1.0,0.0,83.7,0.0,0.0,6.65,7.24
2004,2004-11-28,25.318,28.0,37.0,75.68,378.0,2.0,0.0,125.7,1.0,7.0,10.22,11.3
2004,2004-12-05,25.325,14.0,27.0,51.85,106.0,0.0,1.0,46.2,2.0,20.0,3.93,2.26
2004,2004-12-12,25.331999999999997,17.0,23.0,73.91,220.0,2.0,2.0,96.3,2.0,14.0,9.57,7.39
2004,2004-12-19,25.339000000000002,4.0,6.0,66.67,85.0,1.0,0.0,149.3,1.0,2.0,14.17,17.5
2004,2004-12-26,25.346,21.0,31.0,67.74,290.0,3.0,1.0,116.3,1.0,9.0,9.35,9.84
2005,2005-09-11,26.239,18.0,35.0,51.43,209.0,2.0,2.0,65.1,2.0,21.0,5.97,4.54
2005,2005-09-18,26.246,15.0,23.0,65.22,175.0,0.0,1.0,70.0,4.0,41.0,7.61,5.65
2005,2005-09-25,26.253,19.0,22.0,86.36,191.0,2.0,0.0,133.1,0.0,0.0,8.68,10.5
2005,2005-10-02,26.26,19.0,24.0,79.17,248.0,2.0,0.0,137.5,0.0,0.0,10.33,12.0
2005,2005-10-10,26.268,20.0,35.0,57.14,219.0,1.0,1.0,73.4,1.0,6.0,6.26,5.54
2005,2005-10-16,26.274,14.0,20.0,70.0,164.0,1.0,0.0,111.2,2.0,12.0,8.2,9.2
2005,2005-10-23,26.281,23.0,40.0,57.5,299.0,2.0,2.0,77.0,3.0,29.0,7.48,6.23
2005,2005-10-30,26.288,25.0,43.0,58.14,324.0,3.0,1.0,95.5,0.0,0.0,7.53,7.88
2005,2005-11-06,26.295,20.0,27.0,74.07,270.0,1.0,1.0,102.4,1.0,8.0,10.0,9.07
2005,2005-11-20,26.309,28.0,33.0,84.85,339.0,4.0,0.0,149.1,1.0,2.0,10.27,12.7
2005,2005-11-27,26.316,22.0,44.0,50.0,215.0,0.0,3.0,35.7,3.0,20.0,4.89,1.82
2005,2005-12-04,26.323,17.0,22.0,77.27,160.0,2.0,0.0,127.1,2.0,12.0,7.27,9.09
2005,2005-12-11,26.33,35.0,52.0,67.31,279.0,2.0,1.0,85.3,3.0,34.0,5.37,5.27
2005,2005-12-18,26.337,22.0,33.0,66.67,255.0,1.0,2.0,74.7,1.0,8.0,7.73,5.61
2005,2005-12-24,26.343000000000004,18.0,33.0,54.55,161.0,1.0,1.0,65.3,1.0,8.0,4.88,4.12
2005,2005-12-31,26.35,8.0,14.0,57.14,68.0,0.0,0.0,69.9,3.0,22.0,4.86,4.86
2006,2006-09-10,27.238000000000003,16.0,30.0,53.33,170.0,1.0,1.0,67.4,0.0,0.0,5.67,4.83
2006,2006-09-17,27.245,26.0,41.0,63.41,353.0,2.0,1.0,96.9,4.0,21.0,8.61,8.49
2006,2006-09-25,27.253,20.0,28.0,71.43,191.0,0.0,0.0,90.0,1.0,11.0,6.82,6.82
2006,2006-10-01,27.259,28.0,38.0,73.68,349.0,1.0,0.0,110.5,1.0,5.0,9.18,9.71
2006,2006-10-08,27.266,21.0,33.0,63.64,171.0,1.0,0.0,86.8,0.0,0.0,5.18,5.79
2006,2006-10-15,27.273000000000003,27.0,37.0,72.97,275.0,3.0,2.0,98.4,0.0,0.0,7.43,6.62
2006,2006-10-29,27.287,24.0,45.0,53.33,383.0,3.0,3.0,76.4,2.0,15.0,8.51,6.84
2006,2006-11-05,27.294,24.0,32.0,75.0,314.0,3.0,0.0,136.7,0.0,0.0,9.81,11.69
2006,2006-11-12,27.301,31.0,47.0,65.96,398.0,1.0,0.0,99.4,1.0,5.0,8.47,8.89
2006,2006-11-19,27.308000000000003,37.0,52.0,71.15,510.0,2.0,3.0,91.0,2.0,6.0,9.81,7.98
2006,2006-11-26,27.315,21.0,30.0,70.0,349.0,2.0,0.0,131.1,2.0,17.0,11.63,12.97
2006,2006-12-03,27.322,17.0,28.0,60.71,186.0,1.0,0.0,92.3,1.0,1.0,6.64,7.36
2006,2006-12-10,27.329,26.0,38.0,68.42,384.0,5.0,0.0,140.8,1.0,7.0,10.11,12.74
2006,2006-12-17,27.336,21.0,38.0,55.26,207.0,0.0,1.0,59.9,2.0,8.0,5.45,4.26
2006,2006-12-24,27.343000000000004,13.0,32.0,40.63,132.0,1.0,0.0,63.5,1.0,9.0,4.13,4.75
2006,2006-12-31,27.35,4.0,5.0,80.0,46.0,0.0,0.0,105.0,0.0,0.0,9.2,9.2
2007,2007-09-06,28.234,28.0,41.0,68.29,192.0,0.0,2.0,58.2,1.0,5.0,4.68,2.49
2007,2007-09-16,28.244,26.0,44.0,59.09,260.0,1.0,1.0,74.1,2.0,16.0,5.91,5.34
2007,2007-09-24,28.252,29.0,45.0,64.44,225.0,0.0,4.0,39.6,1.0,7.0,5.0,1.0
2007,2007-10-07,28.265,29.0,47.0,61.7,252.0,0.0,2.0,58.1,0.0,0.0,5.36,3.45
2007,2007-10-14,28.272,25.0,36.0,69.44,246.0,2.0,0.0,106.9,0.0,0.0,6.83,7.94
2007,2007-10-21,28.279,22.0,34.0,64.71,219.0,2.0,1.0,90.2,0.0,0.0,6.44,6.29
2007,2007-10-28,28.285999999999998,31.0,39.0,79.49,336.0,4.0,0.0,136.8,0.0,0.0,8.62,10.67
2007,2007-11-04,28.293000000000003,35.0,49.0,71.43,445.0,3.0,0.0,119.9,1.0,10.0,9.08,10.31
2007,2007-11-11,28.3,25.0,36.0,69.44,272.0,2.0,2.0,86.8,2.0,16.0,7.56,6.17
2007,2007-11-18,28.307,33.0,49.0,67.35,290.0,1.0,2.0,72.7,1.0,10.0,5.92,4.49
2007,2007-11-25,28.314,24.0,36.0,66.67,260.0,3.0,1.0,103.9,0.0,0.0,7.22,7.64
2007,2007-12-02,28.320999999999998,17.0,23.0,73.91,179.0,2.0,0.0,125.1,3.0,17.0,7.78,9.52
2007,2007-12-10,28.329,28.0,41.0,68.29,328.0,3.0,0.0,116.7,0.0,0.0,8.0,9.46
2007,2007-12-16,28.335,26.0,30.0,86.67,315.0,2.0,0.0,132.6,1.0,8.0,10.5,11.83
2007,2007-12-23,28.342,27.0,42.0,64.29,284.0,0.0,1.0,73.9,1.0,8.0,6.76,5.69
2007,2007-12-30,28.349,35.0,60.0,58.33,320.0,3.0,2.0,75.7,3.0,12.0,5.33,4.83
2008,2008-09-07,29.236,23.0,32.0,71.88,343.0,3.0,1.0,124.9,1.0,6.0,10.72,11.19
2008,2008-09-14,29.243000000000002,22.0,33.0,66.67,216.0,1.0,2.0,69.8,2.0,21.0,6.55,4.42
2008,2008-09-21,29.25,39.0,48.0,81.25,421.0,1.0,0.0,110.2,1.0,7.0,8.77,9.19
2008,2008-09-28,29.256999999999998,23.0,35.0,65.71,363.0,3.0,1.0,116.7,0.0,0.0,10.37,10.8
2008,2008-10-06,29.265,26.0,46.0,56.52,330.0,1.0,2.0,68.2,1.0,10.0,7.17,5.65
2008,2008-10-12,29.271,26.0,30.0,86.67,320.0,3.0,0.0,144.4,1.0,1.0,10.67,12.67
2008,2008-10-19,29.278000000000002,21.0,39.0,53.85,231.0,0.0,1.0,61.0,1.0,3.0,5.92,4.77
2008,2008-10-26,29.285,30.0,41.0,73.17,339.0,3.0,0.0,121.9,0.0,0.0,8.27,9.73
2008,2008-11-09,29.299,31.0,58.0,53.45,422.0,2.0,3.0,66.9,1.0,6.0,7.28,5.64
2008,2008-11-16,29.305999999999997,25.0,36.0,69.44,266.0,1.0,1.0,88.4,0.0,0.0,7.39,6.69
2008,2008-11-24,29.314,20.0,26.0,76.92,323.0,4.0,0.0,157.5,1.0,5.0,12.42,15.5
2008,2008-11-30,29.32,25.0,47.0,53.19,296.0,2.0,3.0,60.2,1.0,8.0,6.3,4.28
2008,2008-12-07,29.326999999999998,18.0,32.0,56.25,230.0,2.0,0.0,99.7,0.0,0.0,7.19,8.44
2008,2008-12-11,29.331,24.0,43.0,55.81,232.0,2.0,2.0,67.2,1.0,6.0,5.4,4.23
2008,2008-12-21,29.340999999999998,30.0,40.0,75.0,351.0,2.0,0.0,117.8,0.0,0.0,8.78,9.78
2008,2008-12-28,29.348000000000003,30.0,49.0,61.22,386.0,4.0,1.0,104.6,2.0,19.0,7.88,8.59
2009,2009-09-13,30.241,26.0,34.0,76.47,358.0,6.0,1.0,137.0,0.0,0.0,10.53,12.74
2009,2009-09-20,30.248,25.0,34.0,73.53,311.0,3.0,1.0,118.6,2.0,23.0,9.15,9.59
2009,2009-09-27,30.255,16.0,29.0,55.17,172.0,0.0,0.0,72.8,2.0,16.0,5.93,5.93
2009,2009-10-04,30.261999999999997,20.0,32.0,62.5,190.0,0.0,0.0,78.9,0.0,0.0,5.94,5.94
2009,2009-10-18,30.276,23.0,30.0,76.67,369.0,4.0,0.0,156.8,0.0,0.0,12.3,14.97
2009,2009-10-25,30.283,22.0,38.0,57.89,298.0,1.0,3.0,58.9,5.0,22.0,7.84,4.82
2009,2009-11-02,30.291,25.0,33.0,75.76,308.0,2.0,1.0,111.7,2.0,17.0,9.33,9.18
2009,2009-11-08,30.296999999999997,24.0,35.0,68.57,330.0,1.0,1.0,96.1,1.0,0.0,9.43,8.71
2009,2009-11-15,30.304000000000002,18.0,26.0,69.23,223.0,2.0,2.0,89.1,1.0,6.0,8.58,6.65
2009,2009-11-22,30.311,19.0,29.0,65.52,187.0,3.0,0.0,118.0,0.0,0.0,6.45,8.52
2009,2009-11-30,30.319000000000003,18.0,23.0,78.26,371.0,5.0,0.0,158.3,1.0,4.0,16.13,20.48
2009,2009-12-06,30.325,35.0,49.0,71.43,419.0,2.0,1.0,102.3,1.0,11.0,8.55,8.45
2009,2009-12-13,30.331999999999997,31.0,40.0,77.5,296.0,3.0,0.0,122.5,0.0,0.0,7.4,8.9
