Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1976,1976-11-21,25.072,,,,,,,,,,,
1977,1977-09-18,26.008000000000003,,,,,,,,,,,
1977,1977-09-25,26.015,,,,,,,,,,,
1977,1977-10-02,26.022,,,,,,,,,,,
1977,1977-10-09,26.029,,,,,,,,,,,
1977,1977-10-16,26.035999999999998,,,,,,,,,,,
1977,1977-10-23,26.043000000000003,3.0,8.0,37.5,44.0,0.0,1.0,16.7,1.0,10.0,5.5,-0.13
1977,1977-11-06,26.057,,,,,,,,,,,
1977,1977-11-13,26.064,,,,,,,,,,,
1977,1977-11-20,26.070999999999998,7.0,17.0,41.18,80.0,0.0,1.0,31.5,2.0,14.0,4.71,2.06
1977,1977-11-24,26.075,4.0,13.0,30.77,39.0,0.0,0.0,40.2,1.0,2.0,3.0,3.0
1977,1977-12-04,26.085,,,,,,,,,,,
1977,1977-12-11,26.092,17.0,32.0,53.13,129.0,0.0,1.0,50.1,2.0,7.0,4.03,2.63
1977,1977-12-17,26.098000000000003,11.0,30.0,36.67,153.0,1.0,2.0,37.2,3.0,31.0,5.1,2.77
1978,1978-09-03,26.358,,,,,,,,,,,
1978,1978-09-09,26.364,1.0,4.0,25.0,14.0,0.0,0.0,41.7,,,3.5,3.5
1978,1978-09-17,27.006999999999998,5.0,13.0,38.46,56.0,0.0,0.0,52.1,1.0,8.0,4.31,4.31
1978,1978-09-24,27.014,,,,,,,,,,,
1978,1978-10-01,27.021,8.0,17.0,47.06,113.0,2.0,1.0,83.7,2.0,11.0,6.65,6.35
1978,1978-10-08,27.028000000000002,15.0,30.0,50.0,153.0,0.0,1.0,51.1,1.0,10.0,5.1,3.6
1978,1978-10-15,27.035,14.0,29.0,48.28,195.0,0.0,2.0,41.6,4.0,48.0,6.72,3.62
1978,1978-10-22,27.041999999999998,22.0,32.0,68.75,210.0,3.0,1.0,104.9,2.0,22.0,6.56,7.03
1978,1978-10-29,27.049,20.0,32.0,62.5,190.0,2.0,1.0,86.7,1.0,9.0,5.94,5.78
1978,1978-11-05,27.055999999999997,18.0,30.0,60.0,127.0,1.0,0.0,80.8,2.0,22.0,4.23,4.9
1978,1978-11-12,27.063000000000002,15.0,24.0,62.5,206.0,2.0,1.0,100.3,1.0,13.0,8.58,8.38
1978,1978-11-19,27.07,18.0,31.0,58.06,234.0,1.0,2.0,65.8,3.0,26.0,7.55,5.29
1978,1978-11-23,27.074,10.0,18.0,55.56,112.0,0.0,1.0,51.2,1.0,7.0,6.22,3.72
1978,1978-12-03,27.084,12.0,28.0,42.86,152.0,2.0,5.0,44.6,4.0,33.0,5.43,-1.18
1978,1978-12-09,27.09,26.0,33.0,78.79,352.0,5.0,1.0,138.1,,,10.67,12.33
1978,1978-12-17,27.098000000000003,15.0,30.0,50.0,180.0,0.0,1.0,54.9,3.0,28.0,6.0,4.5
1980,1980-09-07,28.363000000000003,10.0,19.0,52.63,173.0,0.0,0.0,83.9,2.0,9.0,9.11,9.11
1980,1980-09-14,29.004,11.0,17.0,64.71,246.0,1.0,0.0,127.7,2.0,23.0,14.47,15.65
1980,1980-09-21,29.011,12.0,24.0,50.0,157.0,1.0,0.0,84.9,2.0,18.0,6.54,7.38
1980,1980-09-28,29.018,13.0,26.0,50.0,150.0,2.0,1.0,77.4,,,5.77,5.58
1980,1980-10-05,29.025,23.0,36.0,63.89,348.0,3.0,1.0,111.8,5.0,50.0,9.67,10.08
1980,1980-10-12,29.031999999999996,13.0,19.0,68.42,186.0,0.0,0.0,99.9,3.0,32.0,9.79,9.79
1980,1980-10-19,29.039,15.0,27.0,55.56,203.0,1.0,0.0,92.1,3.0,27.0,7.52,8.26
1980,1980-10-26,29.046,7.0,19.0,36.84,102.0,0.0,2.0,15.6,2.0,11.0,5.37,0.63
1980,1980-11-02,29.053,23.0,32.0,71.88,263.0,1.0,2.0,80.6,3.0,17.0,8.22,6.03
1980,1980-11-09,29.06,14.0,25.0,56.0,186.0,0.0,1.0,63.1,8.0,56.0,7.44,5.64
1980,1980-11-16,29.066999999999997,11.0,25.0,44.0,116.0,0.0,1.0,41.4,1.0,8.0,4.64,2.84
1980,1980-11-23,29.074,22.0,29.0,75.86,157.0,0.0,0.0,87.9,3.0,24.0,5.41,5.41
1980,1980-11-27,29.078000000000003,9.0,21.0,42.86,156.0,1.0,0.0,84.6,2.0,11.0,7.43,8.38
1980,1980-12-07,29.088,15.0,28.0,53.57,201.0,1.0,1.0,73.7,2.0,18.0,7.18,6.29
1980,1980-12-14,29.095,29.0,44.0,65.91,360.0,1.0,0.0,98.7,3.0,20.0,8.18,8.64
1980,1980-12-21,29.101999999999997,17.0,26.0,65.38,219.0,1.0,2.0,72.4,3.0,14.0,8.42,5.73
1981,1981-09-06,29.361,16.0,27.0,59.26,196.0,2.0,1.0,91.0,4.0,28.0,7.26,7.07
1981,1981-09-13,30.003,18.0,26.0,69.23,213.0,0.0,1.0,77.9,3.0,22.0,8.19,6.46
1981,1981-09-20,30.01,14.0,26.0,53.85,232.0,0.0,1.0,68.1,0.0,0.0,8.92,7.19
1981,1981-09-27,30.017,3.0,10.0,30.0,36.0,0.0,2.0,2.5,2.0,10.0,3.6,-5.4
1981,1981-12-12,30.093000000000004,5.0,7.0,71.43,107.0,1.0,0.0,153.3,2.0,17.0,15.29,18.14
1981,1981-12-20,30.101,0.0,0.0,,0.0,0.0,0.0,,1.0,7.0,,
1982,1982-09-12,31.002,4.0,5.0,80.0,63.0,0.0,0.0,118.7,0.0,0.0,12.6,12.6
