Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1982,1982-09-19,23.029,12.0,22.0,54.55,131.0,0.0,1.0,53.4,4.0,33.0,5.95,3.91
1982,1982-11-21,23.092,16.0,27.0,59.26,233.0,2.0,3.0,72.5,3.0,12.0,8.63,5.11
1982,1982-11-28,23.099,12.0,20.0,60.0,139.0,1.0,1.0,76.9,7.0,56.0,6.95,5.7
1982,1982-12-05,23.105999999999998,15.0,21.0,71.43,192.0,2.0,1.0,111.6,3.0,16.0,9.14,8.9
1982,1982-12-12,23.113000000000003,19.0,29.0,65.52,199.0,0.0,1.0,70.9,3.0,25.0,6.86,5.31
1982,1982-12-19,23.12,16.0,33.0,48.48,160.0,1.0,0.0,72.8,1.0,5.0,4.85,5.45
1982,1982-12-26,23.127,18.0,28.0,64.29,280.0,2.0,0.0,121.1,2.0,17.0,10.0,11.43
1982,1983-01-02,23.134,12.0,30.0,40.0,167.0,1.0,0.0,69.7,4.0,32.0,5.57,6.23
1983,1983-09-04,24.014,20.0,29.0,68.97,254.0,1.0,1.0,93.2,4.0,22.0,8.76,7.9
1983,1983-09-11,24.021,16.0,24.0,66.67,286.0,1.0,2.0,86.5,4.0,23.0,11.92,9.0
1983,1983-09-18,24.028000000000002,11.0,17.0,64.71,172.0,1.0,1.0,93.3,5.0,41.0,10.12,8.65
1983,1983-09-25,24.035,8.0,20.0,40.0,89.0,0.0,0.0,54.0,3.0,15.0,4.45,4.45
1983,1983-10-02,24.041999999999998,15.0,23.0,65.22,174.0,1.0,3.0,62.9,0.0,0.0,7.57,2.57
1983,1983-10-09,24.049,4.0,11.0,36.36,35.0,0.0,2.0,6.1,2.0,13.0,3.18,-5.0
1983,1983-10-30,24.07,11.0,16.0,68.75,126.0,1.0,0.0,113.0,0.0,0.0,7.88,9.13
1983,1983-11-06,24.076999999999998,19.0,29.0,65.52,178.0,0.0,1.0,67.9,4.0,26.0,6.14,4.59
1983,1983-11-13,24.084,10.0,16.0,62.5,140.0,2.0,0.0,130.2,4.0,28.0,8.75,11.25
1983,1983-11-20,24.090999999999998,8.0,12.0,66.67,79.0,0.0,0.0,85.1,1.0,6.0,6.58,6.58
1983,1983-11-27,24.098000000000003,11.0,19.0,57.89,159.0,1.0,0.0,102.7,4.0,26.0,8.37,9.42
1983,1983-12-04,24.105,20.0,38.0,52.63,298.0,1.0,1.0,76.4,4.0,24.0,7.84,7.18
1983,1983-12-11,24.112,8.0,16.0,50.0,32.0,1.0,0.0,77.1,2.0,13.0,2.0,3.25
1983,1983-12-18,24.119,14.0,25.0,56.0,162.0,2.0,2.0,69.1,5.0,29.0,6.48,4.48
1984,1984-09-02,25.011999999999997,16.0,22.0,72.73,138.0,1.0,1.0,85.0,1.0,3.0,6.27,5.14
1984,1984-09-09,25.019000000000002,5.0,8.0,62.5,93.0,1.0,0.0,142.2,0.0,0.0,11.63,14.13
1984,1984-09-16,25.026,4.0,7.0,57.14,39.0,0.0,0.0,72.9,0.0,0.0,5.57,5.57
1984,1984-09-30,25.04,6.0,14.0,42.86,79.0,0.0,0.0,61.3,2.0,5.0,5.64,5.64
1984,1984-10-07,25.046999999999997,10.0,14.0,71.43,128.0,1.0,0.0,123.5,4.0,31.0,9.14,10.57
1984,1984-10-14,25.054000000000002,13.0,23.0,56.52,202.0,1.0,0.0,100.3,1.0,4.0,8.78,9.65
1984,1984-10-21,25.061,12.0,18.0,66.67,219.0,3.0,0.0,147.9,1.0,3.0,12.17,15.5
1984,1984-10-28,25.068,16.0,26.0,61.54,180.0,1.0,0.0,95.0,1.0,2.0,6.92,7.69
1984,1984-11-04,25.075,3.0,11.0,27.27,68.0,0.0,1.0,15.0,0.0,0.0,6.18,2.09
1985,1985-09-08,26.018,23.0,34.0,67.65,274.0,2.0,1.0,99.4,3.0,23.0,8.06,7.91
1985,1985-09-15,26.025,13.0,21.0,61.9,232.0,1.0,1.0,95.7,1.0,6.0,11.05,9.86
1985,1985-09-19,26.029,8.0,15.0,53.33,236.0,3.0,0.0,138.2,0.0,0.0,15.73,19.73
1985,1985-09-29,26.039,13.0,19.0,68.42,160.0,3.0,1.0,111.8,2.0,6.0,8.42,9.21
1985,1985-10-06,26.046,22.0,34.0,64.71,292.0,1.0,2.0,77.1,1.0,6.0,8.59,6.53
