Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2010,2010-09-12,22.355999999999998,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2010,2010-09-19,22.363000000000003,7.0,13.0,53.85,59.0,0.0,1.0,33.8,0.0,0.0,4.54,1.08
2010,2010-09-26,23.005,16.0,33.0,48.48,188.0,0.0,1.0,53.6,1.0,8.0,5.7,4.33
2010,2010-10-03,23.011999999999997,11.0,21.0,52.38,146.0,1.0,0.0,90.6,3.0,13.0,6.95,7.9
2010,2010-10-10,23.019000000000002,9.0,22.0,40.91,61.0,0.0,1.0,29.7,5.0,34.0,2.77,0.73
2010,2010-11-07,23.046999999999997,8.0,18.0,44.44,47.0,0.0,1.0,28.5,2.0,21.0,2.61,0.11
2010,2010-11-14,23.054000000000002,16.0,29.0,55.17,191.0,0.0,0.0,75.5,2.0,9.0,6.59,6.59
2010,2010-11-28,23.068,16.0,28.0,57.14,195.0,0.0,1.0,63.8,3.0,20.0,6.96,5.36
2010,2010-12-05,23.075,18.0,34.0,52.94,169.0,0.0,1.0,54.7,3.0,17.0,4.97,3.65
2010,2010-12-12,23.081999999999997,14.0,24.0,58.33,107.0,0.0,1.0,51.9,5.0,31.0,4.46,2.58
2010,2010-12-19,23.089000000000002,13.0,19.0,68.42,141.0,1.0,0.0,107.6,2.0,15.0,7.42,8.47
2010,2010-12-23,23.093000000000004,10.0,23.0,43.48,72.0,0.0,1.0,33.2,4.0,27.0,3.13,1.17
2010,2011-01-02,23.103,19.0,33.0,57.58,182.0,1.0,1.0,70.5,3.0,28.0,5.52,4.76
2014,2014-09-28,27.006999999999998,1.0,1.0,100.0,9.0,0.0,0.0,104.2,0.0,0.0,9.0,9.0
2014,2014-10-26,27.035,1.0,5.0,20.0,22.0,0.0,0.0,45.4,0.0,0.0,4.4,4.4
2014,2014-11-09,27.049,1.0,3.0,33.33,11.0,0.0,0.0,45.1,1.0,9.0,3.67,3.67
2014,2014-12-21,27.090999999999998,23.0,39.0,58.97,181.0,2.0,1.0,77.0,2.0,11.0,4.64,4.51
2015,2015-09-20,27.364,14.0,23.0,60.87,121.0,0.0,1.0,56.6,2.0,15.0,5.26,3.3
2015,2015-09-27,28.006,9.0,17.0,52.94,63.0,0.0,0.0,61.6,2.0,15.0,3.71,3.71
2015,2015-11-30,28.07,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2015,2015-12-13,28.083000000000002,23.0,40.0,57.5,274.0,0.0,1.0,68.1,1.0,0.0,6.85,5.73
2015,2015-12-20,28.09,26.0,45.0,57.78,281.0,2.0,2.0,72.5,2.0,8.0,6.24,5.13
