Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1997,1997-11-02,24.116,19.0,30.0,63.33,181.0,0.0,1.0,66.1,2.0,13.0,6.03,4.53
1997,1997-11-09,24.123,19.0,32.0,59.38,236.0,1.0,3.0,53.6,7.0,45.0,7.38,3.78
1997,1997-11-23,24.136999999999997,2.0,3.0,66.67,8.0,0.0,1.0,30.6,0.0,0.0,2.67,-12.33
1997,1997-12-14,24.158,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1997,1997-12-21,24.165,5.0,8.0,62.5,29.0,0.0,3.0,29.7,2.0,18.0,3.63,-13.25
2001,2001-10-07,28.09,,,,,,,,,,,
2001,2001-12-02,28.146,7.0,12.0,58.33,114.0,1.0,0.0,118.1,0.0,0.0,9.5,11.17
2002,2002-09-08,29.061,27.0,39.0,69.23,326.0,3.0,0.0,120.2,1.0,7.0,8.36,9.9
2002,2002-09-15,29.068,17.0,30.0,56.67,198.0,2.0,0.0,99.0,1.0,8.0,6.6,7.93
2002,2002-10-06,29.089000000000002,13.0,23.0,56.52,180.0,2.0,2.0,74.5,0.0,0.0,7.83,5.65
2002,2002-12-29,29.173000000000002,7.0,14.0,50.0,86.0,1.0,2.0,53.6,3.0,25.0,6.14,1.14
2003,2003-09-07,30.06,20.0,29.0,68.97,182.0,0.0,2.0,57.0,0.0,0.0,6.28,3.17
2003,2003-09-14,30.066999999999997,17.0,37.0,45.95,147.0,1.0,2.0,43.4,3.0,32.0,3.97,2.08
2003,2003-09-21,30.074,25.0,38.0,65.79,222.0,2.0,1.0,87.8,3.0,22.0,5.84,5.71
2003,2003-10-19,30.101999999999997,11.0,19.0,57.89,90.0,2.0,0.0,105.2,0.0,0.0,4.74,6.84
2003,2003-10-26,30.109,15.0,25.0,60.0,115.0,0.0,1.0,54.6,3.0,23.0,4.6,2.8
2003,2003-11-09,30.123,19.0,27.0,70.37,149.0,1.0,1.0,80.6,3.0,30.0,5.52,4.59
2003,2003-11-16,30.13,29.0,35.0,82.86,392.0,3.0,0.0,141.9,0.0,0.0,11.2,12.91
2003,2003-11-23,30.136999999999997,25.0,44.0,56.82,234.0,0.0,2.0,52.7,3.0,21.0,5.32,3.27
2003,2003-11-30,30.144000000000002,22.0,31.0,70.97,186.0,0.0,1.0,72.8,4.0,24.0,6.0,4.55
2003,2003-12-08,30.151999999999997,10.0,17.0,58.82,80.0,1.0,2.0,50.7,2.0,14.0,4.71,0.59
2004,2004-11-14,31.128,5.0,9.0,55.56,64.0,1.0,1.0,75.5,0.0,0.0,7.11,4.33
2004,2004-11-21,31.135,4.0,10.0,40.0,32.0,0.0,0.0,48.7,1.0,3.0,3.2,3.2
2004,2004-11-28,31.142,30.0,39.0,76.92,413.0,5.0,2.0,128.5,3.0,27.0,10.59,10.85
2004,2005-01-02,31.177,20.0,29.0,68.97,228.0,1.0,2.0,75.1,1.0,1.0,7.86,5.45
2005,2005-09-18,32.071,2.0,3.0,66.67,-1.0,0.0,0.0,70.1,0.0,0.0,-0.33,-0.33
2005,2005-10-02,32.085,3.0,6.0,50.0,28.0,0.0,0.0,63.2,1.0,6.0,4.67,4.67
2005,2005-10-09,32.092,20.0,26.0,76.92,169.0,1.0,0.0,106.1,3.0,32.0,6.5,7.27
2005,2005-10-16,32.099000000000004,18.0,26.0,69.23,172.0,2.0,2.0,80.9,1.0,8.0,6.62,4.69
2005,2005-10-23,32.106,19.0,27.0,70.37,159.0,2.0,0.0,110.0,3.0,33.0,5.89,7.37
2005,2005-10-30,32.113,20.0,33.0,60.61,263.0,1.0,1.0,83.3,2.0,16.0,7.97,7.21
2005,2005-11-13,32.126999999999995,4.0,6.0,66.67,25.0,0.0,0.0,75.0,1.0,8.0,4.17,4.17
2005,2005-12-17,32.161,22.0,35.0,62.86,202.0,1.0,0.0,88.0,1.0,5.0,5.77,6.34
2005,2005-12-24,32.168,24.0,31.0,77.42,308.0,1.0,1.0,105.3,3.0,20.0,9.94,9.13
2005,2006-01-01,32.176,23.0,37.0,62.16,184.0,2.0,4.0,53.0,2.0,12.0,4.97,1.19
2007,2007-09-23,34.076,14.0,28.0,50.0,169.0,0.0,0.0,68.9,5.0,36.0,6.04,6.04
2007,2007-09-30,34.083,21.0,39.0,53.85,258.0,1.0,1.0,72.4,5.0,31.0,6.62,5.97
2007,2007-10-28,34.111,7.0,16.0,43.75,88.0,1.0,0.0,82.3,2.0,20.0,5.5,6.75
