Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2009,2009-09-13,22.305999999999997,18.0,31.0,58.06,272.0,1.0,1.0,84.3,0.0,0.0,8.77,7.97
2009,2009-09-20,22.313000000000002,14.0,22.0,63.64,163.0,1.0,0.0,101.1,2.0,26.0,7.41,8.32
2009,2009-09-27,22.32,17.0,30.0,56.67,171.0,2.0,1.0,81.4,3.0,25.0,5.7,5.53
2009,2009-10-04,22.326999999999998,14.0,27.0,51.85,138.0,0.0,3.0,27.0,4.0,26.0,5.11,0.11
2009,2009-10-12,22.335,12.0,24.0,50.0,172.0,1.0,0.0,87.5,1.0,1.0,7.17,8.0
2009,2009-10-18,22.340999999999998,10.0,29.0,34.48,119.0,0.0,5.0,8.3,2.0,23.0,4.1,-3.66
2009,2009-10-25,22.348000000000003,9.0,16.0,56.25,143.0,1.0,0.0,107.0,1.0,12.0,8.94,10.19
2009,2009-11-01,22.355,20.0,35.0,57.14,265.0,2.0,0.0,100.3,2.0,14.0,7.57,8.71
2009,2009-11-15,23.004,16.0,30.0,53.33,212.0,1.0,2.0,59.3,0.0,0.0,7.07,4.73
2009,2009-11-22,23.011,8.0,21.0,38.1,136.0,1.0,4.0,37.1,2.0,14.0,6.48,-1.14
2009,2009-11-29,23.018,13.0,17.0,76.47,154.0,0.0,1.0,79.0,3.0,10.0,9.06,6.41
2009,2009-12-03,23.022,7.0,15.0,46.67,104.0,1.0,0.0,92.1,2.0,18.0,6.93,8.27
2009,2009-12-20,23.039,18.0,32.0,56.25,226.0,1.0,3.0,49.7,2.0,11.0,7.06,3.47
2009,2009-12-27,23.046,12.0,19.0,63.16,106.0,0.0,0.0,78.0,2.0,15.0,5.58,5.58
2009,2010-01-03,23.053,8.0,16.0,50.0,63.0,0.0,0.0,60.2,0.0,0.0,3.94,3.94
2010,2010-09-13,23.305999999999997,10.0,21.0,47.62,74.0,0.0,0.0,56.4,2.0,14.0,3.52,3.52
