Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2007,2007-09-23,23.045,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2007,2007-10-07,23.059,1.0,2.0,50.0,43.0,0.0,0.0,95.8,0.0,0.0,21.5,21.5
2007,2007-10-14,23.066,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-11-04,23.087,2.0,5.0,40.0,36.0,0.0,1.0,25.8,0.0,0.0,7.2,-1.8
2007,2007-11-11,23.094,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
2007,2007-11-25,23.108,8.0,14.0,57.14,66.0,0.0,1.0,39.6,0.0,0.0,4.71,1.5
2007,2007-12-09,23.122,3.0,10.0,30.0,21.0,0.0,0.0,39.6,0.0,0.0,2.1,2.1
2007,2007-12-16,23.129,19.0,27.0,70.37,208.0,0.0,0.0,92.8,0.0,0.0,7.7,7.7
2007,2007-12-22,23.135,15.0,28.0,53.57,182.0,1.0,1.0,70.8,5.0,35.0,6.5,5.61
2007,2007-12-30,23.143,15.0,24.0,62.5,174.0,2.0,1.0,94.8,1.0,5.0,7.25,7.04
2009,2009-09-13,25.035,6.0,11.0,54.55,63.0,0.0,1.0,33.5,1.0,10.0,5.73,1.64
2009,2009-11-01,25.084,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2009,2009-12-06,25.119,14.0,20.0,70.0,161.0,0.0,1.0,73.1,1.0,9.0,8.05,5.8
2009,2009-12-13,25.125999999999998,15.0,30.0,50.0,197.0,1.0,0.0,82.2,2.0,18.0,6.57,7.23
2009,2009-12-20,25.133000000000003,21.0,33.0,63.64,299.0,3.0,0.0,123.2,2.0,26.0,9.06,10.88
2009,2009-12-27,25.14,15.0,20.0,75.0,171.0,3.0,0.0,139.8,1.0,2.0,8.55,11.55
2009,2010-01-03,25.147,14.0,23.0,60.87,162.0,1.0,0.0,96.6,2.0,13.0,7.04,7.91
2010,2010-09-12,26.034000000000002,14.0,33.0,42.42,182.0,1.0,3.0,32.6,4.0,34.0,5.52,2.03
2010,2010-09-19,26.041,6.0,16.0,37.5,125.0,1.0,1.0,60.7,4.0,25.0,7.81,6.25
2010,2010-10-10,26.061999999999998,5.0,10.0,50.0,35.0,0.0,2.0,18.7,0.0,0.0,3.5,-5.5
2010,2010-10-24,26.076,28.0,41.0,68.29,308.0,2.0,1.0,96.4,1.0,5.0,7.51,7.39
2010,2010-10-31,26.083000000000002,23.0,37.0,62.16,194.0,1.0,3.0,51.0,3.0,18.0,5.24,2.14
2010,2010-11-07,26.09,3.0,6.0,50.0,13.0,0.0,0.0,56.2,1.0,8.0,2.17,2.17
2011,2011-10-02,27.054000000000002,17.0,26.0,65.38,167.0,0.0,1.0,67.3,3.0,18.0,6.42,4.69
2011,2011-10-17,27.069000000000003,16.0,34.0,47.06,204.0,0.0,2.0,41.8,4.0,14.0,6.0,3.35
2011,2011-10-23,27.075,22.0,33.0,66.67,197.0,1.0,0.0,92.6,4.0,24.0,5.97,6.58
2011,2011-10-30,27.081999999999997,13.0,22.0,59.09,138.0,0.0,1.0,58.5,5.0,37.0,6.27,4.23
2011,2011-11-06,27.089000000000002,17.0,23.0,73.91,244.0,3.0,0.0,147.5,0.0,0.0,10.61,13.22
2011,2011-11-13,27.096,20.0,29.0,68.97,209.0,0.0,1.0,75.2,2.0,9.0,7.21,5.66
2011,2011-11-20,27.103,14.0,20.0,70.0,160.0,3.0,0.0,133.3,1.0,13.0,8.0,11.0
2011,2011-11-24,27.107,19.0,32.0,59.38,288.0,1.0,0.0,99.5,4.0,25.0,9.0,9.63
2011,2011-12-04,27.116999999999997,13.0,25.0,52.0,162.0,1.0,0.0,85.7,1.0,9.0,6.48,7.28
2011,2011-12-11,27.124000000000002,11.0,19.0,57.89,95.0,1.0,1.0,66.8,4.0,22.0,5.0,3.68
2011,2011-12-18,27.131,10.0,20.0,50.0,217.0,2.0,0.0,122.3,2.0,23.0,10.85,12.85
2011,2011-12-24,27.136999999999997,16.0,32.0,50.0,281.0,3.0,1.0,98.6,5.0,28.0,8.78,9.25
2011,2012-01-01,27.145,22.0,32.0,68.75,135.0,1.0,2.0,61.3,1.0,7.0,4.22,2.03
2012,2012-10-28,28.08,11.0,19.0,57.89,131.0,1.0,0.0,96.6,1.0,1.0,6.89,7.95
2012,2012-11-04,28.087,,,,,,,,,,,
