Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2009,2009-09-13,21.218000000000004,16.0,37.0,43.24,205.0,0.0,3.0,27.4,1.0,7.0,5.54,1.89
2009,2009-09-20,21.225,18.0,30.0,60.0,152.0,1.0,2.0,56.5,2.0,16.0,5.07,2.73
2009,2009-09-27,21.232,21.0,36.0,58.33,241.0,1.0,0.0,87.8,2.0,14.0,6.69,7.25
2009,2009-10-04,21.239,24.0,36.0,66.67,296.0,1.0,1.0,89.6,5.0,42.0,8.22,7.53
2009,2009-11-01,21.267,14.0,33.0,42.42,168.0,0.0,1.0,46.0,2.0,6.0,5.09,3.73
2009,2009-11-08,21.274,22.0,42.0,52.38,203.0,2.0,5.0,42.2,2.0,17.0,4.83,0.43
2009,2009-11-15,21.281,29.0,51.0,56.86,224.0,1.0,0.0,74.3,3.0,20.0,4.39,4.78
2009,2009-11-22,21.288,26.0,43.0,60.47,422.0,5.0,2.0,112.7,2.0,6.0,9.81,10.05
2009,2009-11-26,21.291999999999998,20.0,43.0,46.51,213.0,1.0,4.0,30.5,2.0,14.0,4.95,1.23
2009,2009-12-06,21.302,11.0,26.0,42.31,143.0,1.0,2.0,41.0,3.0,27.0,5.5,2.81
2010,2010-09-12,22.217,11.0,15.0,73.33,83.0,0.0,0.0,86.2,1.0,14.0,5.53,5.53
2010,2010-10-31,22.266,26.0,45.0,57.78,212.0,4.0,1.0,90.2,1.0,10.0,4.71,5.49
2010,2010-11-07,22.273000000000003,20.0,36.0,55.56,240.0,2.0,0.0,94.7,2.0,12.0,6.67,7.78
2011,2011-09-11,23.215999999999998,24.0,33.0,72.73,305.0,3.0,1.0,118.9,0.0,0.0,9.24,9.7
2011,2011-09-18,23.223000000000003,23.0,39.0,58.97,294.0,4.0,1.0,106.1,0.0,0.0,7.54,8.44
2011,2011-09-25,23.23,32.0,46.0,69.57,378.0,2.0,0.0,108.8,5.0,40.0,8.22,9.09
2011,2011-10-02,23.237,21.0,43.0,48.84,240.0,2.0,1.0,71.9,0.0,0.0,5.58,5.47
2011,2011-10-10,23.245,19.0,26.0,73.08,219.0,2.0,1.0,107.7,1.0,5.0,8.42,8.23
2011,2011-10-16,23.250999999999998,28.0,50.0,56.0,293.0,2.0,0.0,86.5,5.0,49.0,5.86,6.66
2011,2011-10-23,23.258000000000003,15.0,32.0,46.88,183.0,1.0,0.0,75.4,3.0,24.0,5.72,6.34
2011,2011-10-30,23.265,21.0,30.0,70.0,267.0,3.0,0.0,130.8,2.0,9.0,8.9,10.9
2011,2011-11-13,23.279,33.0,63.0,52.38,329.0,1.0,4.0,46.3,2.0,16.0,5.22,2.68
2011,2011-11-20,23.285999999999998,28.0,36.0,77.78,335.0,5.0,2.0,121.9,2.0,9.0,9.31,9.58
2011,2011-11-24,23.29,32.0,45.0,71.11,276.0,1.0,3.0,66.5,1.0,3.0,6.13,3.58
2011,2011-12-04,23.3,31.0,44.0,70.45,408.0,1.0,1.0,97.5,3.0,29.0,9.27,8.7
2011,2011-12-11,23.307,20.0,29.0,68.97,227.0,2.0,0.0,115.2,5.0,19.0,7.83,9.21
2011,2011-12-18,23.314,29.0,52.0,55.77,391.0,4.0,0.0,105.5,2.0,16.0,7.52,9.06
2011,2011-12-24,23.32,29.0,36.0,80.56,373.0,3.0,0.0,137.6,3.0,20.0,10.36,12.03
2011,2012-01-01,23.328000000000003,36.0,59.0,61.02,520.0,5.0,2.0,103.8,2.0,18.0,8.81,8.98
2012,2012-09-09,24.215,32.0,48.0,66.67,355.0,1.0,3.0,69.4,1.0,9.0,7.4,5.0
2012,2012-09-16,24.221999999999998,19.0,32.0,59.38,230.0,1.0,1.0,78.9,2.0,16.0,7.19,6.41
2012,2012-09-23,24.229,33.0,42.0,78.57,278.0,1.0,0.0,102.2,1.0,8.0,6.62,7.1
2012,2012-09-30,24.236,30.0,51.0,58.82,319.0,0.0,0.0,77.2,5.0,33.0,6.25,6.25
2012,2012-10-14,24.25,22.0,45.0,48.89,311.0,1.0,1.0,69.8,0.0,0.0,6.91,6.36
2012,2012-10-22,24.258000000000003,28.0,46.0,60.87,263.0,1.0,1.0,74.8,3.0,20.0,5.72,5.17
2012,2012-10-28,24.264,34.0,49.0,69.39,352.0,3.0,1.0,101.7,2.0,21.0,7.18,7.49
2012,2012-11-04,24.271,22.0,33.0,66.67,285.0,0.0,0.0,93.6,1.0,0.0,8.64,8.64
2012,2012-11-11,24.278000000000002,28.0,42.0,66.67,329.0,3.0,1.0,104.2,2.0,21.0,7.83,8.19
2012,2012-11-18,24.285,17.0,39.0,43.59,266.0,1.0,2.0,54.0,5.0,14.0,6.82,5.03
2012,2012-11-22,24.289,31.0,61.0,50.82,441.0,2.0,0.0,85.5,3.0,22.0,7.23,7.89
2012,2012-12-02,24.299,27.0,46.0,58.7,313.0,2.0,1.0,84.8,0.0,0.0,6.8,6.7
2012,2012-12-09,24.305999999999997,27.0,45.0,60.0,264.0,1.0,1.0,74.7,1.0,13.0,5.87,5.31
2012,2012-12-16,24.313000000000002,24.0,50.0,48.0,246.0,0.0,3.0,37.6,2.0,18.0,4.92,2.22
2012,2012-12-22,24.319000000000003,37.0,56.0,66.07,443.0,0.0,1.0,82.7,0.0,0.0,7.91,7.11
2012,2012-12-30,24.326999999999998,24.0,42.0,57.14,272.0,3.0,1.0,90.6,1.0,17.0,6.48,6.83
