Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1987,1987-10-26,21.31,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-11-15,21.33,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-11-22,21.337,2.0,6.0,33.33,18.0,0.0,1.0,2.8,0.0,0.0,3.0,-4.5
1987,1987-12-20,22.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-10-02,22.287,7.0,15.0,46.67,90.0,0.0,0.0,66.0,2.0,15.0,6.0,6.0
1988,1988-10-23,22.308000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-11-06,22.322,0.0,0.0,,0.0,0.0,0.0,,1.0,7.0,,
1990,1990-09-16,24.27,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1990,1990-09-30,24.284000000000002,19.0,36.0,52.78,253.0,2.0,2.0,70.7,2.0,9.0,7.03,5.64
1990,1990-10-07,24.291,23.0,35.0,65.71,227.0,2.0,1.0,91.0,5.0,28.0,6.49,6.34
1990,1990-10-15,24.299,18.0,35.0,51.43,270.0,2.0,2.0,72.3,5.0,31.0,7.71,6.29
1990,1990-10-28,24.311999999999998,19.0,41.0,46.34,230.0,1.0,5.0,32.6,1.0,11.0,5.61,0.61
1990,1990-11-04,24.319000000000003,6.0,13.0,46.15,161.0,1.0,1.0,85.7,7.0,50.0,12.38,10.46
1990,1990-11-11,24.326,12.0,17.0,70.59,146.0,0.0,1.0,72.2,3.0,20.0,8.59,5.94
1990,1990-11-18,24.333000000000002,19.0,33.0,57.58,177.0,2.0,0.0,92.6,3.0,16.0,5.36,6.58
1990,1990-11-25,24.34,12.0,19.0,63.16,146.0,3.0,0.0,126.3,1.0,1.0,7.68,10.84
1990,1990-12-02,24.346999999999998,11.0,21.0,52.38,150.0,1.0,0.0,91.4,1.0,1.0,7.14,8.1
1990,1990-12-09,24.354,13.0,29.0,44.83,144.0,0.0,2.0,31.4,3.0,9.0,4.97,1.86
1990,1990-12-16,24.361,2.0,10.0,20.0,8.0,0.0,1.0,0.0,0.0,0.0,0.8,-3.7
1990,1990-12-22,25.002,12.0,21.0,57.14,186.0,2.0,0.0,118.4,1.0,1.0,8.86,10.76
1990,1990-12-30,25.01,16.0,37.0,43.24,180.0,0.0,1.0,47.1,2.0,11.0,4.86,3.65
1991,1991-09-08,25.261999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1991,1991-09-15,25.269000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1991,1991-09-22,25.276,1.0,3.0,33.33,-2.0,0.0,0.0,42.4,0.0,0.0,-0.67,-0.67
1991,1991-09-29,25.283,4.0,7.0,57.14,29.0,0.0,0.0,67.0,0.0,0.0,4.14,4.14
1991,1991-10-06,25.29,10.0,23.0,43.48,105.0,1.0,0.0,71.8,0.0,0.0,4.57,5.43
1991,1991-10-13,25.296999999999997,23.0,31.0,74.19,254.0,2.0,0.0,119.6,0.0,0.0,8.19,9.48
1991,1991-10-20,25.304000000000002,35.0,63.0,55.56,317.0,1.0,0.0,74.6,2.0,14.0,5.03,5.35
1991,1991-10-27,25.311,17.0,26.0,65.38,142.0,1.0,1.0,76.1,0.0,0.0,5.46,4.5
