Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1998,1998-09-06,22.114,16.0,31.0,51.61,192.0,1.0,2.0,54.8,2.0,5.0,6.19,3.94
1998,1998-09-13,22.121,13.0,24.0,54.17,179.0,0.0,0.0,78.3,0.0,0.0,7.46,7.46
1998,1998-09-20,22.128,1.0,15.0,6.67,4.0,0.0,2.0,0.0,2.0,23.0,0.27,-5.73
1998,1998-09-27,22.135,15.0,34.0,44.12,193.0,0.0,4.0,22.9,1.0,9.0,5.68,0.38
1998,1998-10-04,22.142,12.0,23.0,52.17,160.0,0.0,1.0,56.4,4.0,17.0,6.96,5.0
1998,1998-10-11,22.149,7.0,18.0,38.89,78.0,0.0,3.0,13.0,3.0,19.0,4.33,-3.17
1998,1998-10-18,22.156,9.0,19.0,47.37,83.0,0.0,0.0,59.8,6.0,55.0,4.37,4.37
1998,1998-10-25,22.163,25.0,52.0,48.08,281.0,1.0,0.0,71.1,1.0,1.0,5.4,5.79
1998,1998-11-08,22.177,4.0,15.0,26.67,26.0,0.0,1.0,11.8,1.0,3.0,1.73,-1.27
1998,1998-12-13,22.212,9.0,14.0,64.29,93.0,0.0,2.0,43.7,2.0,8.0,6.64,0.21
2000,2000-09-03,24.111,17.0,39.0,43.59,180.0,0.0,3.0,25.6,2.0,18.0,4.62,1.15
2000,2000-09-10,24.118000000000002,12.0,24.0,50.0,134.0,1.0,2.0,46.2,5.0,21.0,5.58,2.67
2000,2000-09-17,24.125,6.0,13.0,46.15,62.0,0.0,1.0,28.4,1.0,9.0,4.77,1.31
2000,2000-09-24,24.131999999999998,16.0,26.0,61.54,153.0,0.0,1.0,61.9,2.0,8.0,5.88,4.15
2000,2000-11-12,24.180999999999997,9.0,21.0,42.86,92.0,1.0,1.0,52.1,1.0,1.0,4.38,3.19
2000,2000-11-19,24.188000000000002,13.0,27.0,48.15,311.0,3.0,1.0,111.8,3.0,12.0,11.52,12.07
2000,2000-11-26,24.195,17.0,30.0,56.67,177.0,2.0,2.0,68.3,6.0,28.0,5.9,4.23
2000,2000-12-03,24.201999999999998,24.0,47.0,51.06,266.0,1.0,4.0,39.8,2.0,12.0,5.66,2.26
2000,2000-12-10,24.209,9.0,23.0,39.13,78.0,0.0,1.0,30.7,2.0,14.0,3.39,1.43
2000,2000-12-17,24.215999999999998,23.0,43.0,53.49,259.0,2.0,1.0,77.6,1.0,1.0,6.02,5.91
2000,2000-12-24,24.223000000000003,15.0,29.0,51.72,171.0,1.0,1.0,66.9,6.0,31.0,5.9,5.03
2001,2001-11-04,25.173000000000002,4.0,8.0,50.0,85.0,0.0,0.0,88.0,2.0,15.0,10.63,10.63
2001,2001-11-11,25.18,14.0,22.0,63.64,114.0,1.0,1.0,72.9,3.0,18.0,5.18,4.05
2001,2001-11-18,25.186999999999998,11.0,26.0,42.31,102.0,0.0,2.0,21.6,3.0,21.0,3.92,0.46
2001,2001-11-22,25.191,16.0,32.0,50.0,193.0,0.0,0.0,68.9,4.0,28.0,6.03,6.03
