Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1995,1995-11-05,22.264,0.0,0.0,,0.0,0.0,0.0,,1.0,12.0,,
1995,1995-12-10,22.299,16.0,27.0,59.26,203.0,1.0,1.0,79.7,2.0,15.0,7.52,6.59
1995,1995-12-17,22.305999999999997,13.0,27.0,48.15,198.0,1.0,0.0,85.1,2.0,32.0,7.33,8.07
1995,1995-12-24,22.313000000000002,12.0,26.0,46.15,168.0,1.0,0.0,80.3,1.0,4.0,6.46,7.23
1996,1996-09-15,23.214000000000002,1.0,1.0,100.0,18.0,0.0,0.0,118.7,0.0,0.0,18.0,18.0
1996,1996-10-13,23.241999999999997,5.0,10.0,50.0,58.0,0.0,0.0,67.9,0.0,0.0,5.8,5.8
1996,1996-10-27,23.256,5.0,9.0,55.56,45.0,0.0,1.0,29.6,1.0,10.0,5.0,0.0
1996,1996-11-03,23.263,12.0,18.0,66.67,225.0,1.0,1.0,105.1,0.0,0.0,12.5,11.11
1996,1996-11-24,23.284000000000002,10.0,17.0,58.82,91.0,0.0,1.0,48.9,1.0,5.0,5.35,2.71
1996,1996-12-01,23.291,6.0,17.0,35.29,142.0,2.0,0.0,105.5,0.0,0.0,8.35,10.71
1996,1996-12-08,23.298000000000002,24.0,37.0,64.86,308.0,1.0,1.0,88.6,5.0,21.0,8.32,7.65
1996,1996-12-15,23.305,6.0,10.0,60.0,72.0,1.0,0.0,115.4,1.0,5.0,7.2,9.2
1996,1996-12-22,23.311999999999998,19.0,24.0,79.17,238.0,1.0,0.0,121.9,1.0,4.0,9.92,10.75
1997,1997-08-31,24.198,13.0,25.0,52.0,182.0,1.0,1.0,72.4,3.0,18.0,7.28,6.28
1997,1997-09-07,24.205,7.0,14.0,50.0,109.0,0.0,1.0,46.4,0.0,0.0,7.79,4.57
1997,1997-09-21,24.219,20.0,33.0,60.61,199.0,1.0,1.0,75.2,2.0,17.0,6.03,5.27
1997,1997-09-28,24.226,22.0,43.0,51.16,266.0,2.0,2.0,66.6,7.0,40.0,6.19,5.02
1997,1997-10-05,24.233,12.0,28.0,42.86,101.0,1.0,2.0,35.0,1.0,4.0,3.61,1.11
1997,1997-10-12,24.24,16.0,30.0,53.33,199.0,3.0,0.0,107.5,1.0,6.0,6.63,8.63
1997,1997-10-19,24.247,13.0,21.0,61.9,192.0,0.0,0.0,91.8,2.0,7.0,9.14,9.14
1997,1997-10-26,24.254,9.0,17.0,52.94,146.0,2.0,0.0,121.2,2.0,13.0,8.59,10.94
1997,1997-11-02,24.261,13.0,22.0,59.09,211.0,0.0,1.0,72.3,2.0,16.0,9.59,7.55
1997,1997-11-09,24.268,13.0,23.0,56.52,183.0,0.0,1.0,64.2,1.0,10.0,7.96,6.0
1997,1997-11-16,24.275,8.0,22.0,36.36,162.0,0.0,2.0,25.2,0.0,0.0,7.36,3.27
1997,1997-11-23,24.281999999999996,15.0,24.0,62.5,167.0,1.0,0.0,97.0,2.0,8.0,6.96,7.79
1997,1997-11-27,24.285999999999998,9.0,17.0,52.94,81.0,1.0,0.0,85.7,0.0,0.0,4.76,5.94
1997,1997-12-04,24.293000000000003,14.0,25.0,56.0,146.0,2.0,0.0,99.7,3.0,15.0,5.84,7.44
1997,1997-12-14,24.303,22.0,45.0,48.89,219.0,0.0,1.0,53.8,3.0,19.0,4.87,3.87
1997,1997-12-21,24.31,10.0,26.0,38.46,102.0,0.0,1.0,34.5,2.0,17.0,3.92,2.19
1998,1998-09-06,25.204,10.0,21.0,47.62,135.0,1.0,0.0,84.4,0.0,0.0,6.43,7.38
1998,1998-09-13,25.211,20.0,34.0,58.82,193.0,1.0,0.0,84.6,3.0,19.0,5.68,6.26
1998,1998-09-20,25.218000000000004,28.0,38.0,73.68,202.0,1.0,2.0,72.5,2.0,8.0,5.32,3.47
1998,1998-09-27,25.225,16.0,30.0,53.33,198.0,2.0,2.0,68.5,2.0,14.0,6.6,4.93
1998,1998-10-11,25.239,17.0,29.0,58.62,207.0,0.0,1.0,66.3,4.0,29.0,7.14,5.59
1998,1998-10-18,25.246,16.0,21.0,76.19,277.0,1.0,0.0,133.5,1.0,8.0,13.19,14.14
1998,1998-10-25,25.253,18.0,29.0,62.07,187.0,1.0,1.0,77.8,4.0,11.0,6.45,5.59
1998,1998-11-01,25.26,13.0,21.0,61.9,167.0,3.0,0.0,126.4,3.0,15.0,7.95,10.81
1998,1998-11-08,25.267,9.0,16.0,56.25,123.0,0.0,0.0,81.0,1.0,6.0,7.69,7.69
1998,1998-11-15,25.274,19.0,31.0,61.29,234.0,1.0,1.0,81.9,1.0,4.0,7.55,6.74
1998,1998-11-22,25.281,13.0,24.0,54.17,137.0,0.0,0.0,71.0,3.0,11.0,5.71,5.71
1998,1998-11-29,25.288,18.0,34.0,52.94,199.0,0.0,0.0,70.6,4.0,20.0,5.85,5.85
1998,1998-12-06,25.295,25.0,43.0,58.14,213.0,0.0,1.0,61.5,0.0,0.0,4.95,3.91
1998,1998-12-13,25.302,22.0,39.0,56.41,232.0,1.0,1.0,71.7,2.0,9.0,5.95,5.31
1998,1998-12-20,25.309,29.0,49.0,59.18,263.0,3.0,1.0,85.7,1.0,1.0,5.37,5.67
1998,1998-12-26,25.315,16.0,33.0,48.48,261.0,0.0,0.0,75.4,2.0,21.0,7.91,7.91
1999,1999-09-12,26.21,21.0,32.0,65.63,341.0,3.0,1.0,119.4,2.0,7.0,10.66,11.13
1999,1999-10-31,26.259,13.0,29.0,44.83,186.0,2.0,0.0,89.2,1.0,8.0,6.41,7.79
1999,1999-11-07,26.266,22.0,42.0,52.38,205.0,0.0,3.0,36.3,4.0,15.0,4.88,1.67
1999,1999-11-14,26.273000000000003,12.0,25.0,48.0,103.0,0.0,0.0,59.2,1.0,5.0,4.12,4.12
1999,1999-11-21,26.28,14.0,26.0,53.85,149.0,0.0,1.0,54.8,0.0,0.0,5.73,4.0
1999,1999-11-28,26.287,18.0,36.0,50.0,179.0,0.0,0.0,64.5,0.0,0.0,4.97,4.97
1999,1999-12-05,26.294,28.0,48.0,58.33,288.0,0.0,2.0,58.3,4.0,19.0,6.0,4.13
1999,1999-12-09,26.298000000000002,12.0,20.0,60.0,114.0,0.0,1.0,55.0,2.0,11.0,5.7,3.45
1999,1999-12-19,26.308000000000003,15.0,29.0,51.72,216.0,1.0,0.0,87.7,2.0,9.0,7.45,8.14
1999,1999-12-26,26.315,23.0,33.0,69.7,291.0,5.0,0.0,136.5,0.0,0.0,8.82,11.85
1999,2000-01-02,26.322,9.0,11.0,81.82,107.0,1.0,0.0,137.5,0.0,0.0,9.73,11.55
