Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2000,2000-11-23,23.112,1.0,3.0,33.33,6.0,0.0,0.0,42.4,0.0,0.0,2.0,2.0
2001,2001-09-23,24.051,5.0,10.0,50.0,46.0,0.0,0.0,62.9,0.0,0.0,4.6,4.6
2001,2001-09-30,24.058000000000003,13.0,23.0,56.52,168.0,0.0,0.0,79.6,1.0,9.0,7.3,7.3
2001,2001-10-07,24.065,12.0,24.0,50.0,86.0,0.0,0.0,58.7,4.0,17.0,3.58,3.58
2001,2001-10-14,24.072,33.0,54.0,61.11,364.0,2.0,0.0,93.4,3.0,19.0,6.74,7.48
2001,2001-10-21,24.079,16.0,20.0,80.0,202.0,3.0,0.0,148.3,0.0,0.0,10.1,13.1
2001,2001-10-28,24.086,25.0,38.0,65.79,203.0,2.0,4.0,57.1,2.0,20.0,5.34,1.66
2001,2001-11-04,24.093000000000004,21.0,31.0,67.74,250.0,3.0,0.0,124.4,3.0,14.0,8.06,10.0
2001,2001-11-11,24.1,15.0,21.0,71.43,107.0,1.0,1.0,78.9,7.0,36.0,5.1,3.9
2001,2001-11-18,24.107,19.0,27.0,70.37,185.0,1.0,2.0,70.8,2.0,6.0,6.85,4.26
2001,2001-11-25,24.114,19.0,26.0,73.08,258.0,4.0,0.0,143.9,4.0,17.0,9.92,13.0
2001,2001-12-02,24.121,20.0,28.0,71.43,213.0,0.0,0.0,93.3,3.0,22.0,7.61,7.61
2001,2001-12-09,24.128,19.0,28.0,67.86,218.0,0.0,2.0,61.3,3.0,9.0,7.79,4.57
2001,2001-12-16,24.135,19.0,35.0,54.29,237.0,0.0,1.0,63.6,5.0,31.0,6.77,5.49
2001,2001-12-22,24.141,11.0,19.0,57.89,108.0,1.0,0.0,91.6,3.0,14.0,5.68,6.74
2001,2002-01-06,24.156,17.0,29.0,58.62,198.0,1.0,2.0,62.1,1.0,2.0,6.83,4.41
2002,2002-09-09,25.037,29.0,43.0,67.44,294.0,3.0,0.0,110.0,2.0,14.0,6.84,8.23
2002,2002-09-15,25.043000000000003,25.0,35.0,71.43,269.0,2.0,1.0,100.8,0.0,0.0,7.69,7.54
2002,2002-09-22,25.05,39.0,54.0,72.22,410.0,4.0,1.0,110.9,4.0,11.0,7.59,8.24
2002,2002-09-29,25.057,36.0,53.0,67.92,353.0,2.0,2.0,83.3,0.0,0.0,6.66,5.72
2002,2002-10-06,25.064,17.0,31.0,54.84,240.0,2.0,2.0,74.7,3.0,32.0,7.74,6.13
2002,2002-10-13,25.070999999999998,24.0,44.0,54.55,183.0,1.0,3.0,44.0,2.0,17.0,4.16,1.55
2002,2002-10-27,25.085,15.0,29.0,51.72,130.0,1.0,0.0,75.4,5.0,20.0,4.48,5.17
2002,2002-11-03,25.092,22.0,26.0,84.62,265.0,3.0,0.0,147.6,1.0,2.0,10.19,12.5
2002,2002-11-10,25.099,36.0,55.0,65.45,328.0,3.0,1.0,92.1,2.0,13.0,5.96,6.24
2002,2002-11-17,25.105999999999998,18.0,30.0,60.0,172.0,0.0,0.0,76.0,4.0,25.0,5.73,5.73
2002,2002-11-24,25.113000000000003,21.0,34.0,61.76,239.0,3.0,0.0,112.3,2.0,20.0,7.03,8.79
2002,2002-11-28,25.116999999999997,18.0,30.0,60.0,210.0,0.0,1.0,67.4,0.0,0.0,7.0,5.5
2002,2002-12-08,25.127,15.0,27.0,55.56,183.0,2.0,0.0,101.3,0.0,0.0,6.78,8.26
2002,2002-12-16,25.135,14.0,29.0,48.28,134.0,0.0,1.0,47.2,3.0,17.0,4.62,3.07
2002,2002-12-22,25.141,19.0,37.0,51.35,133.0,1.0,1.0,57.6,2.0,14.0,3.59,2.92
2002,2002-12-29,25.148000000000003,25.0,44.0,56.82,221.0,1.0,1.0,68.5,1.0,5.0,5.02,4.45
2003,2003-09-07,26.035,14.0,28.0,50.0,123.0,0.0,4.0,22.5,2.0,20.0,4.39,-2.04
2003,2003-09-14,26.041999999999998,30.0,44.0,68.18,255.0,3.0,0.0,105.8,2.0,8.0,5.8,7.16
2003,2003-09-21,26.049,15.0,25.0,60.0,181.0,0.0,0.0,82.2,5.0,34.0,7.24,7.24
2003,2003-09-28,26.055999999999997,25.0,38.0,65.79,289.0,2.0,3.0,73.2,1.0,8.0,7.61,5.11
2003,2003-10-05,26.063000000000002,17.0,31.0,54.84,219.0,1.0,0.0,88.0,3.0,26.0,7.06,7.71
2003,2003-10-12,26.07,8.0,21.0,38.1,112.0,0.0,0.0,56.1,2.0,21.0,5.33,5.33
2003,2003-10-19,26.076999999999998,24.0,34.0,70.59,283.0,2.0,0.0,115.2,1.0,10.0,8.32,9.5
2003,2003-10-26,26.084,20.0,33.0,60.61,259.0,0.0,0.0,85.3,1.0,6.0,7.85,7.85
2003,2003-11-03,26.092,20.0,35.0,57.14,350.0,3.0,1.0,108.0,0.0,0.0,10.0,10.43
2003,2003-11-16,26.105,15.0,34.0,44.12,212.0,0.0,0.0,64.8,2.0,9.0,6.24,6.24
2003,2003-11-23,26.112,29.0,47.0,61.7,368.0,2.0,2.0,82.6,4.0,24.0,7.83,6.77
2003,2003-11-30,26.119,26.0,35.0,74.29,236.0,2.0,2.0,87.3,2.0,10.0,6.74,5.31
2003,2003-12-07,26.125999999999998,16.0,31.0,51.61,163.0,0.0,0.0,67.0,3.0,13.0,5.26,5.26
2003,2003-12-14,26.133000000000003,22.0,34.0,64.71,228.0,2.0,0.0,103.6,2.0,16.0,6.71,7.88
2003,2003-12-20,26.139,15.0,25.0,60.0,138.0,2.0,0.0,101.7,0.0,0.0,5.52,7.12
2003,2003-12-27,26.146,21.0,32.0,65.63,204.0,4.0,0.0,122.9,2.0,14.0,6.38,8.88
2004,2004-09-09,27.037,26.0,38.0,68.42,335.0,3.0,1.0,111.2,2.0,15.0,8.82,9.21
2004,2004-09-19,27.046999999999997,15.0,26.0,57.69,219.0,2.0,2.0,78.8,2.0,12.0,8.42,6.5
2004,2004-10-03,27.061,17.0,30.0,56.67,298.0,2.0,0.0,112.9,0.0,0.0,9.93,11.27
2004,2004-10-10,27.068,7.0,19.0,36.84,76.0,2.0,1.0,62.6,1.0,7.0,4.0,3.74
2004,2004-10-17,27.075,19.0,30.0,63.33,231.0,1.0,1.0,84.2,1.0,7.0,7.7,6.87
2004,2004-10-24,27.081999999999997,20.0,29.0,68.97,230.0,1.0,0.0,104.1,3.0,20.0,7.93,8.62
2004,2004-10-31,27.089000000000002,25.0,43.0,58.14,271.0,2.0,2.0,72.9,4.0,28.0,6.3,5.14
2004,2004-11-07,27.096,18.0,31.0,58.06,234.0,2.0,0.0,103.4,2.0,9.0,7.55,8.84
2004,2004-11-14,27.103,19.0,35.0,54.29,233.0,2.0,1.0,82.2,2.0,13.0,6.66,6.51
2004,2004-11-22,27.111,17.0,26.0,65.38,315.0,1.0,0.0,119.9,1.0,6.0,12.12,12.88
2004,2004-11-28,27.116999999999997,15.0,30.0,50.0,172.0,0.0,0.0,67.6,1.0,2.0,5.73,5.73
2004,2004-12-05,27.124000000000002,11.0,20.0,55.0,157.0,1.0,1.0,76.5,2.0,14.0,7.85,6.6
2004,2004-12-12,27.131,18.0,26.0,69.23,260.0,2.0,0.0,127.1,1.0,3.0,10.0,11.54
2004,2004-12-20,27.139,18.0,29.0,62.07,171.0,3.0,4.0,73.3,2.0,15.0,5.9,1.76
2004,2004-12-26,27.145,21.0,32.0,65.63,264.0,2.0,0.0,112.0,1.0,6.0,8.25,9.5
2004,2005-01-02,27.151999999999997,22.0,30.0,73.33,226.0,2.0,1.0,102.9,1.0,5.0,7.53,7.37
2005,2005-09-08,28.035999999999998,24.0,38.0,63.16,306.0,2.0,0.0,105.8,0.0,0.0,8.05,9.11
2005,2005-09-18,28.046,23.0,44.0,52.27,270.0,1.0,1.0,69.3,2.0,21.0,6.14,5.57
2005,2005-09-25,28.053,31.0,41.0,75.61,372.0,0.0,1.0,92.7,3.0,26.0,9.07,7.98
2005,2005-10-02,28.06,19.0,32.0,59.38,224.0,1.0,1.0,78.1,1.0,8.0,7.0,6.22
2005,2005-10-09,28.066999999999997,22.0,27.0,81.48,350.0,3.0,1.0,140.4,1.0,8.0,12.96,13.52
2005,2005-10-16,28.074,24.0,46.0,52.17,299.0,1.0,0.0,79.9,0.0,0.0,6.5,6.93
2005,2005-10-30,28.088,14.0,21.0,66.67,199.0,1.0,0.0,113.0,3.0,19.0,9.48,10.43
2005,2005-11-07,28.096,22.0,33.0,66.67,265.0,3.0,0.0,121.4,1.0,18.0,8.03,9.85
2005,2005-11-13,28.101999999999997,21.0,36.0,58.33,275.0,2.0,2.0,77.9,2.0,1.0,7.64,6.25
2005,2005-11-20,28.109,15.0,29.0,51.72,222.0,3.0,0.0,111.6,3.0,28.0,7.66,9.72
2005,2005-11-27,28.116,22.0,40.0,55.0,248.0,1.0,4.0,42.5,3.0,16.0,6.2,2.2
2005,2005-12-04,28.123,27.0,37.0,72.97,271.0,0.0,0.0,93.4,2.0,20.0,7.32,7.32
2005,2005-12-11,28.13,29.0,38.0,76.32,329.0,2.0,2.0,97.4,1.0,1.0,8.66,7.34
2005,2005-12-17,28.136,20.0,31.0,64.52,258.0,3.0,0.0,122.8,1.0,5.0,8.32,10.26
2005,2005-12-26,28.145,18.0,29.0,62.07,185.0,2.0,1.0,89.0,3.0,17.0,6.38,6.21
2005,2006-01-01,28.151,3.0,8.0,37.5,37.0,1.0,1.0,52.6,0.0,0.0,4.63,1.5
2006,2006-09-10,29.038,11.0,23.0,47.83,163.0,2.0,1.0,82.3,3.0,27.0,7.09,6.87
2006,2006-09-17,29.045,15.0,29.0,51.72,220.0,1.0,1.0,73.9,1.0,9.0,7.59,6.72
2006,2006-09-24,29.052,31.0,55.0,56.36,320.0,1.0,0.0,79.4,0.0,0.0,5.82,6.18
2006,2006-10-01,29.059,15.0,26.0,57.69,188.0,2.0,1.0,89.9,0.0,0.0,7.23,7.04
2006,2006-10-08,29.066,16.0,29.0,55.17,140.0,2.0,0.0,91.2,1.0,6.0,4.83,6.21
2006,2006-10-22,29.08,18.0,27.0,66.67,195.0,2.0,0.0,112.4,4.0,24.0,7.22,8.7
2006,2006-10-30,29.088,29.0,43.0,67.44,372.0,4.0,1.0,115.6,3.0,27.0,8.65,9.47
2006,2006-11-05,29.094,20.0,35.0,57.14,201.0,0.0,4.0,34.0,0.0,0.0,5.74,0.6
2006,2006-11-12,29.101,24.0,36.0,66.67,253.0,1.0,1.0,84.6,4.0,21.0,7.03,6.33
2006,2006-11-19,29.108,20.0,31.0,64.52,244.0,4.0,0.0,128.2,1.0,4.0,7.87,10.45
2006,2006-11-26,29.115,22.0,33.0,66.67,267.0,1.0,2.0,76.2,0.0,0.0,8.09,5.97
2006,2006-12-03,29.122,27.0,38.0,71.05,305.0,0.0,1.0,83.8,2.0,21.0,8.03,6.84
2006,2006-12-10,29.129,12.0,25.0,48.0,78.0,0.0,0.0,55.1,4.0,20.0,3.12,3.12
2006,2006-12-17,29.136,16.0,23.0,69.57,109.0,2.0,0.0,108.8,1.0,4.0,4.74,6.48
2006,2006-12-24,29.143,28.0,39.0,71.79,249.0,1.0,0.0,97.1,1.0,7.0,6.38,6.9
2006,2006-12-31,29.15,15.0,24.0,62.5,225.0,1.0,0.0,107.1,1.0,5.0,9.38,10.21
2007,2007-09-09,30.037,22.0,28.0,78.57,297.0,3.0,0.0,146.6,0.0,0.0,10.61,12.75
2007,2007-09-16,30.044,25.0,31.0,80.65,279.0,3.0,1.0,123.0,2.0,16.0,9.0,9.48
2007,2007-09-23,30.051,23.0,29.0,79.31,311.0,4.0,0.0,150.9,1.0,3.0,10.72,13.48
2007,2007-10-01,30.059,25.0,32.0,78.13,231.0,3.0,1.0,115.0,0.0,0.0,7.22,7.69
2007,2007-10-07,30.065,22.0,38.0,57.89,265.0,3.0,0.0,105.7,0.0,0.0,6.97,8.55
2007,2007-10-14,30.072,31.0,46.0,67.39,388.0,5.0,0.0,129.6,3.0,15.0,8.43,10.61
2007,2007-10-21,30.079,21.0,25.0,84.0,354.0,6.0,0.0,158.3,1.0,10.0,14.16,18.96
2007,2007-10-28,30.086,29.0,38.0,76.32,306.0,3.0,0.0,125.5,1.0,0.0,8.05,9.63
2007,2007-11-04,30.093000000000004,21.0,32.0,65.63,255.0,3.0,2.0,95.2,2.0,18.0,7.97,7.03
2007,2007-11-18,30.107,31.0,39.0,79.49,373.0,5.0,0.0,146.1,0.0,0.0,9.56,12.13
2007,2007-11-25,30.114,34.0,54.0,62.96,380.0,1.0,0.0,90.0,3.0,18.0,7.04,7.41
2007,2007-12-03,30.122,18.0,38.0,47.37,257.0,2.0,1.0,76.3,3.0,21.0,6.76,6.63
2007,2007-12-09,30.128,32.0,46.0,69.57,399.0,4.0,0.0,125.2,0.0,0.0,8.67,10.41
2007,2007-12-16,30.135,14.0,27.0,51.85,140.0,0.0,1.0,51.5,1.0,6.0,5.19,3.52
2007,2007-12-23,30.142,18.0,33.0,54.55,215.0,3.0,2.0,79.7,3.0,11.0,6.52,5.61
2007,2007-12-29,30.148000000000003,32.0,42.0,76.19,356.0,2.0,0.0,116.8,1.0,10.0,8.48,9.43
2008,2008-09-07,31.035,7.0,11.0,63.64,76.0,0.0,0.0,83.9,0.0,0.0,6.91,6.91
2009,2009-09-14,32.042,39.0,53.0,73.58,378.0,2.0,1.0,97.8,1.0,10.0,7.13,7.04
2009,2009-09-20,32.048,23.0,47.0,48.94,216.0,0.0,1.0,53.1,0.0,0.0,4.6,3.64
2009,2009-09-27,32.055,25.0,42.0,59.52,277.0,1.0,0.0,87.1,0.0,0.0,6.6,7.07
2009,2009-10-04,32.062,21.0,32.0,65.63,258.0,1.0,0.0,100.8,3.0,24.0,8.06,8.69
2009,2009-10-11,32.069,19.0,33.0,57.58,215.0,2.0,0.0,97.4,1.0,6.0,6.52,7.73
2009,2009-10-18,32.076,29.0,34.0,85.29,380.0,6.0,0.0,152.8,2.0,6.0,11.18,14.71
2009,2009-10-25,32.083,23.0,32.0,71.88,308.0,3.0,2.0,107.3,1.0,1.0,9.63,8.69
2009,2009-11-08,32.097,25.0,37.0,67.57,332.0,1.0,1.0,93.5,2.0,9.0,8.97,8.3
2009,2009-11-15,32.104,29.0,42.0,69.05,375.0,3.0,1.0,110.7,2.0,11.0,8.93,9.29
2009,2009-11-22,32.111,28.0,41.0,68.29,310.0,1.0,0.0,98.6,2.0,11.0,7.56,8.05
2009,2009-11-30,32.119,21.0,36.0,58.33,237.0,0.0,2.0,55.0,1.0,4.0,6.58,4.08
2009,2009-12-06,32.125,19.0,29.0,65.52,352.0,2.0,2.0,101.5,0.0,0.0,12.14,10.41
2009,2009-12-13,32.132,19.0,32.0,59.38,192.0,1.0,1.0,74.0,0.0,0.0,6.0,5.22
2009,2009-12-20,32.139,11.0,23.0,47.83,115.0,1.0,1.0,59.1,0.0,0.0,5.0,3.91
2009,2009-12-27,32.146,23.0,26.0,88.46,267.0,4.0,0.0,149.0,0.0,0.0,10.27,13.35
2009,2010-01-03,32.153,17.0,26.0,65.38,186.0,0.0,1.0,70.4,1.0,4.0,7.15,5.42
