Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1989,1989-09-10,22.293000000000003,17.0,35.0,48.57,180.0,0.0,2.0,40.2,2.0,30.0,5.14,2.57
1989,1989-09-17,22.3,13.0,23.0,56.52,241.0,1.0,2.0,71.1,0.0,0.0,10.48,7.43
1989,1989-09-24,22.307,6.0,21.0,28.57,83.0,0.0,2.0,4.0,4.0,27.0,3.95,-0.33
1989,1989-10-01,22.314,1.0,6.0,16.67,11.0,0.0,0.0,39.6,0.0,0.0,1.83,1.83
1989,1989-11-12,22.355999999999998,21.0,40.0,52.5,379.0,2.0,2.0,81.1,1.0,12.0,9.48,8.23
1989,1989-11-19,22.363000000000003,25.0,33.0,75.76,261.0,1.0,1.0,95.6,0.0,0.0,7.91,7.15
1989,1989-11-23,23.002,7.0,21.0,33.33,54.0,0.0,3.0,2.8,1.0,1.0,2.57,-3.86
1989,1989-12-03,23.011999999999997,19.0,34.0,55.88,179.0,4.0,1.0,97.5,2.0,14.0,5.26,6.29
1989,1989-12-10,23.019000000000002,17.0,30.0,56.67,152.0,1.0,0.0,81.5,5.0,45.0,5.07,5.73
1989,1989-12-16,23.025,11.0,22.0,50.0,84.0,0.0,1.0,40.7,2.0,17.0,3.82,1.77
1989,1989-12-24,23.033,18.0,28.0,64.29,125.0,0.0,4.0,34.7,2.0,9.0,4.46,-1.96
1990,1990-09-09,23.291999999999998,13.0,29.0,44.83,193.0,1.0,1.0,64.3,5.0,32.0,6.66,5.79
1990,1990-09-16,23.299,10.0,18.0,55.56,109.0,0.0,2.0,34.0,2.0,13.0,6.06,1.06
1990,1990-09-23,23.305999999999997,23.0,43.0,53.49,207.0,0.0,2.0,47.3,8.0,64.0,4.81,2.72
1990,1990-09-30,23.313000000000002,21.0,26.0,80.77,233.0,1.0,1.0,100.8,0.0,0.0,8.96,8.0
1990,1990-10-07,23.32,17.0,24.0,70.83,173.0,1.0,1.0,87.7,3.0,24.0,7.21,6.17
1990,1990-10-14,23.326999999999998,9.0,25.0,36.0,61.0,0.0,2.0,11.2,4.0,27.0,2.44,-1.16
1990,1990-10-21,23.334,13.0,29.0,44.83,159.0,1.0,1.0,59.4,2.0,14.0,5.48,4.62
1990,1990-10-28,23.340999999999998,22.0,41.0,53.66,233.0,1.0,1.0,68.4,2.0,18.0,5.68,5.07
1990,1990-11-04,23.348000000000003,25.0,40.0,62.5,249.0,0.0,2.0,59.3,3.0,23.0,6.23,3.98
1990,1990-11-11,23.355,9.0,21.0,42.86,96.0,0.0,1.0,37.0,2.0,16.0,4.57,2.43
1990,1990-11-18,23.362,17.0,32.0,53.13,303.0,3.0,1.0,104.0,1.0,8.0,9.47,9.94
1990,1990-11-22,24.000999999999998,20.0,31.0,64.52,222.0,1.0,2.0,69.6,3.0,14.0,7.16,4.9
1990,1990-12-02,24.011,15.0,21.0,71.43,177.0,1.0,0.0,112.6,2.0,16.0,8.43,9.38
1990,1990-12-16,24.025,12.0,18.0,66.67,164.0,1.0,1.0,91.0,1.0,8.0,9.11,7.72
1990,1990-12-23,24.031999999999996,0.0,1.0,0.0,0.0,0.0,0.0,39.6,1.0,11.0,0.0,0.0
1991,1991-09-01,24.284000000000002,24.0,37.0,64.86,274.0,2.0,0.0,105.0,2.0,9.0,7.41,8.49
1991,1991-09-09,24.291999999999998,27.0,42.0,64.29,242.0,3.0,0.0,103.5,2.0,18.0,5.76,7.19
1991,1991-09-15,24.298000000000002,11.0,25.0,44.0,112.0,0.0,3.0,17.8,11.0,67.0,4.48,-0.92
1991,1991-09-22,24.305,12.0,20.0,60.0,150.0,0.0,0.0,83.3,1.0,11.0,7.5,7.5
1991,1991-09-29,24.311999999999998,20.0,27.0,74.07,277.0,1.0,0.0,118.9,1.0,8.0,10.26,11.0
1991,1991-10-06,24.319000000000003,31.0,41.0,75.61,287.0,1.0,0.0,102.4,0.0,0.0,7.0,7.49
1991,1991-10-13,24.326,14.0,22.0,63.64,276.0,1.0,2.0,84.5,1.0,12.0,12.55,9.36
1991,1991-10-27,24.34,28.0,42.0,66.67,331.0,1.0,2.0,78.6,2.0,16.0,7.88,6.21
1991,1991-11-03,24.346999999999998,17.0,23.0,73.91,191.0,0.0,2.0,62.0,4.0,26.0,8.3,4.39
1991,1991-11-10,24.354,24.0,39.0,61.54,260.0,1.0,0.0,89.7,3.0,19.0,6.67,7.18
1991,1991-11-17,24.361,16.0,25.0,64.0,150.0,0.0,0.0,80.4,1.0,8.0,6.0,6.0
1991,1991-11-24,25.003,13.0,20.0,65.0,204.0,1.0,1.0,94.6,4.0,30.0,10.2,8.95
1992,1992-09-07,25.291,18.0,31.0,58.06,216.0,1.0,2.0,63.4,0.0,0.0,6.97,4.71
1992,1992-09-13,25.296999999999997,22.0,35.0,62.86,238.0,2.0,0.0,101.8,2.0,9.0,6.8,7.94
1992,1992-09-20,25.304000000000002,14.0,21.0,66.67,263.0,3.0,0.0,149.3,0.0,0.0,12.52,15.38
1992,1992-10-05,25.319000000000003,19.0,38.0,50.0,256.0,1.0,3.0,47.7,4.0,25.0,6.74,3.71
