Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2000,2000-10-08,24.198,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2000,2000-11-05,24.226,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2000,2000-11-19,24.24,14.0,22.0,63.64,187.0,2.0,1.0,101.9,3.0,26.0,8.5,8.27
2000,2000-11-26,24.247,17.0,29.0,58.62,190.0,1.0,2.0,61.0,1.0,5.0,6.55,4.14
2000,2000-12-03,24.254,30.0,48.0,62.5,441.0,2.0,2.0,89.0,3.0,16.0,9.19,8.15
2000,2000-12-10,24.261,12.0,29.0,41.38,203.0,2.0,0.0,88.7,5.0,31.0,7.0,8.38
2000,2000-12-17,24.268,24.0,35.0,68.57,285.0,0.0,0.0,93.2,1.0,4.0,8.14,8.14
2000,2000-12-24,24.275,16.0,31.0,51.61,208.0,2.0,1.0,81.1,2.0,12.0,6.71,6.55
2001,2001-09-09,25.169,18.0,29.0,62.07,209.0,3.0,0.0,118.3,2.0,17.0,7.21,9.28
2001,2001-09-30,25.19,28.0,54.0,51.85,291.0,1.0,1.0,66.2,4.0,35.0,5.39,4.93
2001,2001-10-07,25.197,15.0,30.0,50.0,210.0,0.0,1.0,59.0,0.0,0.0,7.0,5.5
2001,2001-10-14,25.204,14.0,40.0,35.0,180.0,2.0,1.0,56.2,2.0,20.0,4.5,4.38
2001,2001-10-21,25.211,23.0,39.0,58.97,249.0,1.0,1.0,75.7,5.0,36.0,6.38,5.74
2001,2001-10-28,25.218000000000004,20.0,31.0,64.52,254.0,3.0,0.0,122.2,4.0,16.0,8.19,10.13
2001,2001-11-04,25.225,12.0,28.0,42.86,164.0,0.0,2.0,32.4,6.0,26.0,5.86,2.64
2001,2001-11-11,25.232,22.0,37.0,59.46,347.0,2.0,0.0,108.7,1.0,11.0,9.38,10.46
2001,2001-11-18,25.239,19.0,22.0,86.36,249.0,2.0,0.0,144.1,4.0,28.0,11.32,13.14
2001,2001-11-25,25.246,16.0,39.0,41.03,307.0,1.0,2.0,56.2,1.0,0.0,7.87,6.08
2001,2001-12-02,25.253,26.0,40.0,65.0,330.0,3.0,1.0,105.2,3.0,23.0,8.25,8.63
2001,2001-12-09,25.26,20.0,30.0,66.67,279.0,1.0,0.0,107.5,3.0,26.0,9.3,9.97
2001,2001-12-17,25.268,23.0,40.0,57.5,269.0,3.0,2.0,82.2,5.0,27.0,6.73,5.98
2001,2001-12-23,25.274,21.0,38.0,55.26,248.0,3.0,4.0,62.1,3.0,18.0,6.53,3.37
2001,2001-12-30,25.281,14.0,28.0,50.0,127.0,1.0,3.0,35.0,4.0,14.0,4.54,0.43
2001,2002-01-06,25.288,21.0,33.0,63.64,119.0,0.0,4.0,30.6,3.0,33.0,3.61,-1.85
2002,2002-09-08,26.168000000000003,24.0,42.0,57.14,260.0,2.0,1.0,81.4,2.0,10.0,6.19,6.07
