Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2005,2005-10-09,21.311,1.0,1.0,100.0,0.0,0.0,0.0,79.2,0.0,0.0,0.0,0.0
2005,2005-12-19,22.017,8.0,15.0,53.33,65.0,0.0,1.0,36.8,3.0,28.0,4.33,1.33
2005,2006-01-01,22.03,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-10-02,22.304000000000002,2.0,3.0,66.67,14.0,0.0,0.0,77.1,0.0,0.0,4.67,4.67
2006,2006-11-19,22.351999999999997,4.0,12.0,33.33,32.0,0.0,0.0,42.4,3.0,18.0,2.67,2.67
2007,2007-11-11,23.344,2.0,2.0,100.0,17.0,0.0,0.0,102.1,0.0,0.0,8.5,8.5
2007,2007-11-29,23.362,18.0,26.0,69.23,201.0,1.0,0.0,104.8,3.0,24.0,7.73,8.5
2008,2008-09-08,24.281,18.0,22.0,81.82,178.0,1.0,0.0,115.5,0.0,0.0,8.09,9.0
2008,2008-09-14,24.287,24.0,38.0,63.16,328.0,3.0,0.0,117.0,1.0,4.0,8.63,10.21
2008,2008-09-21,24.294,22.0,39.0,56.41,290.0,0.0,0.0,80.1,5.0,40.0,7.44,7.44
2008,2008-09-28,24.301,14.0,27.0,51.85,165.0,2.0,3.0,55.9,3.0,18.0,6.11,2.59
2008,2008-10-05,24.308000000000003,25.0,37.0,67.57,313.0,3.0,1.0,109.4,2.0,9.0,8.46,8.86
2008,2008-10-12,24.315,21.0,30.0,70.0,208.0,2.0,0.0,111.5,2.0,8.0,6.93,8.27
2008,2008-10-19,24.322,21.0,28.0,75.0,186.0,1.0,0.0,104.2,0.0,0.0,6.64,7.36
2008,2008-11-02,24.336,22.0,41.0,53.66,314.0,1.0,1.0,76.7,4.0,26.0,7.66,7.05
2008,2008-11-09,24.343000000000004,15.0,26.0,57.69,142.0,0.0,0.0,72.9,4.0,32.0,5.46,5.46
2008,2008-11-16,24.35,23.0,30.0,76.67,227.0,2.0,1.0,105.8,0.0,0.0,7.57,7.4
2008,2008-11-24,24.358,23.0,41.0,56.1,248.0,2.0,3.0,59.8,2.0,14.0,6.05,3.73
2008,2008-11-30,24.364,29.0,45.0,64.44,298.0,3.0,1.0,96.3,2.0,5.0,6.62,6.96
2008,2008-12-07,25.005,19.0,30.0,63.33,295.0,2.0,1.0,104.2,2.0,16.0,9.83,9.67
2008,2008-12-14,25.011999999999997,20.0,32.0,62.5,278.0,1.0,1.0,87.8,3.0,24.0,8.69,7.91
2008,2008-12-22,25.02,24.0,39.0,61.54,260.0,2.0,1.0,87.6,0.0,0.0,6.67,6.54
2008,2008-12-28,25.026,21.0,31.0,67.74,308.0,3.0,0.0,132.2,4.0,35.0,9.94,11.87
2009,2009-09-13,25.285,17.0,28.0,60.71,184.0,1.0,0.0,92.0,4.0,34.0,6.57,7.29
2009,2009-09-20,25.291999999999998,21.0,39.0,53.85,261.0,1.0,0.0,83.4,6.0,39.0,6.69,7.21
2009,2009-09-27,25.299,13.0,23.0,56.52,269.0,2.0,0.0,126.9,2.0,19.0,11.7,13.43
2009,2009-10-05,25.307,26.0,37.0,70.27,384.0,2.0,1.0,110.6,8.0,42.0,10.38,10.24
2009,2009-10-18,25.32,29.0,37.0,78.38,358.0,2.0,1.0,113.7,5.0,30.0,9.68,9.54
2009,2009-10-25,25.326999999999998,15.0,20.0,75.0,246.0,3.0,0.0,155.4,0.0,0.0,12.3,15.3
2009,2009-11-01,25.334,26.0,41.0,63.41,287.0,3.0,0.0,108.5,6.0,29.0,7.0,8.46
2009,2009-11-08,25.340999999999998,17.0,35.0,48.57,266.0,2.0,3.0,57.6,6.0,32.0,7.6,4.89
2009,2009-11-15,25.348000000000003,25.0,36.0,69.44,189.0,1.0,0.0,91.1,4.0,11.0,5.25,5.81
2009,2009-11-22,25.355,32.0,45.0,71.11,344.0,2.0,0.0,108.0,2.0,18.0,7.64,8.53
2009,2009-11-26,25.359,28.0,39.0,71.79,348.0,3.0,0.0,124.7,1.0,6.0,8.92,10.46
2009,2009-12-07,26.005,26.0,40.0,65.0,263.0,3.0,2.0,87.8,1.0,7.0,6.58,5.83
2009,2009-12-13,26.011,16.0,24.0,66.67,180.0,0.0,0.0,88.9,3.0,23.0,7.5,7.5
2009,2009-12-20,26.018,26.0,48.0,54.17,383.0,3.0,0.0,101.3,1.0,7.0,7.98,9.23
2009,2009-12-27,26.025,12.0,23.0,52.17,237.0,1.0,0.0,103.0,1.0,9.0,10.3,11.17
2009,2010-01-03,26.031999999999996,21.0,26.0,80.77,235.0,1.0,0.0,117.1,0.0,0.0,9.04,9.81
2010,2010-09-12,26.284000000000002,19.0,31.0,61.29,188.0,2.0,2.0,73.1,3.0,21.0,6.06,4.45
