Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1999,1999-09-12,24.022,1.0,2.0,50.0,11.0,0.0,0.0,66.7,0.0,0.0,5.5,5.5
1999,1999-09-19,24.029,10.0,17.0,58.82,100.0,0.0,1.0,51.1,2.0,17.0,5.88,3.24
1999,1999-10-03,24.043000000000003,7.0,18.0,38.89,77.0,0.0,1.0,29.2,0.0,0.0,4.28,1.78
1999,1999-10-10,24.05,25.0,42.0,59.52,221.0,2.0,0.0,89.5,4.0,17.0,5.26,6.21
1999,1999-10-17,24.057,19.0,38.0,50.0,207.0,0.0,2.0,44.5,4.0,30.0,5.45,3.08
1999,1999-10-24,24.064,12.0,24.0,50.0,122.0,0.0,0.0,64.9,5.0,25.0,5.08,5.08
1999,1999-10-31,24.070999999999998,6.0,12.0,50.0,67.0,0.0,2.0,27.4,4.0,21.0,5.58,-1.92
2000,2000-09-10,25.02,15.0,43.0,34.88,250.0,1.0,2.0,43.8,7.0,43.0,5.81,4.19
2000,2000-09-17,25.026999999999997,18.0,41.0,43.9,183.0,0.0,2.0,36.9,5.0,21.0,4.46,2.27
2000,2000-09-24,25.034000000000002,1.0,1.0,100.0,8.0,0.0,0.0,100.0,2.0,5.0,8.0,8.0
2000,2000-10-01,25.041,20.0,38.0,52.63,178.0,1.0,0.0,74.2,3.0,19.0,4.68,5.21
2000,2000-10-08,25.048000000000002,10.0,23.0,43.48,85.0,0.0,0.0,53.7,1.0,1.0,3.7,3.7
2000,2000-10-15,25.055,10.0,20.0,50.0,97.0,0.0,0.0,64.0,3.0,20.0,4.85,4.85
2000,2000-10-22,25.061999999999998,2.0,9.0,22.22,34.0,0.0,0.0,42.8,1.0,11.0,3.78,3.78
2000,2000-10-29,25.069000000000003,7.0,20.0,35.0,84.0,0.0,1.0,27.9,4.0,23.0,4.2,1.95
2000,2000-11-05,25.076,15.0,27.0,55.56,137.0,0.0,0.0,69.5,3.0,7.0,5.07,5.07
2000,2000-11-12,25.083000000000002,10.0,25.0,40.0,68.0,0.0,1.0,31.2,3.0,12.0,2.72,0.92
2000,2000-11-26,25.096999999999998,10.0,20.0,50.0,129.0,1.0,0.0,87.3,4.0,29.0,6.45,7.45
2000,2000-12-24,25.125,,,,,,,,0.0,,,
2001,2001-11-25,26.096,1.0,2.0,50.0,2.0,0.0,0.0,56.2,1.0,3.0,1.0,1.0
2001,2001-12-16,26.116999999999997,4.0,6.0,66.67,35.0,0.0,0.0,81.9,0.0,0.0,5.83,5.83
2002,2002-09-29,27.039,12.0,33.0,36.36,117.0,0.0,1.0,34.5,3.0,23.0,3.55,2.18
