Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1995,1995-12-24,25.237,10.0,18.0,55.56,106.0,2.0,0.0,110.0,0.0,0.0,5.89,8.11
1996,1996-09-22,26.144000000000002,2.0,5.0,40.0,9.0,0.0,0.0,47.9,0.0,0.0,1.8,1.8
1997,1997-10-12,27.164,3.0,7.0,42.86,22.0,0.0,2.0,11.3,0.0,0.0,3.14,-9.71
1997,1997-10-26,27.178,12.0,24.0,50.0,177.0,2.0,1.0,84.9,1.0,12.0,7.38,7.17
1997,1997-11-02,27.185,13.0,22.0,59.09,89.0,0.0,0.0,68.2,1.0,3.0,4.05,4.05
1997,1997-11-09,27.191999999999997,3.0,12.0,25.0,38.0,0.0,3.0,0.7,1.0,8.0,3.17,-8.08
1997,1997-12-14,27.226999999999997,6.0,15.0,40.0,103.0,0.0,1.0,36.3,0.0,0.0,6.87,3.87
1997,1997-12-20,27.233,23.0,44.0,52.27,255.0,0.0,3.0,41.4,1.0,10.0,5.8,2.73
1998,1998-12-27,28.24,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
1999,1999-09-26,29.148000000000003,1.0,1.0,100.0,9.0,0.0,0.0,104.2,0.0,0.0,9.0,9.0
2000,2000-09-03,30.125,4.0,8.0,50.0,67.0,0.0,0.0,78.6,0.0,0.0,8.38,8.38
2001,2001-09-30,31.151999999999997,3.0,5.0,60.0,44.0,0.0,1.0,49.2,0.0,0.0,8.8,-0.2
2001,2001-10-07,31.159000000000002,23.0,41.0,56.1,268.0,3.0,1.0,90.3,1.0,7.0,6.54,6.9
2001,2001-10-28,31.18,2.0,2.0,100.0,6.0,0.0,0.0,79.2,0.0,0.0,3.0,3.0
2001,2001-11-11,31.194000000000003,2.0,7.0,28.57,37.0,1.0,1.0,49.1,0.0,0.0,5.29,1.71
2001,2001-11-18,31.201,28.0,42.0,66.67,316.0,2.0,0.0,104.9,2.0,13.0,7.52,8.48
2001,2001-11-25,31.208000000000002,21.0,34.0,61.76,309.0,3.0,1.0,108.6,4.0,14.0,9.09,9.53
2001,2001-12-02,31.215,21.0,38.0,55.26,168.0,0.0,4.0,27.0,2.0,6.0,4.42,-0.32
2001,2001-12-09,31.221999999999998,20.0,29.0,68.97,277.0,1.0,1.0,96.5,2.0,10.0,9.55,8.69
2001,2001-12-16,31.229,22.0,44.0,50.0,219.0,0.0,1.0,55.0,1.0,7.0,4.98,3.95
2001,2001-12-23,31.236,17.0,31.0,54.84,208.0,1.0,0.0,86.5,0.0,0.0,6.71,7.35
2001,2001-12-30,31.243000000000002,16.0,27.0,59.26,185.0,1.0,0.0,92.4,1.0,9.0,6.85,7.59
2001,2002-01-06,31.25,3.0,7.0,42.86,19.0,0.0,1.0,10.7,1.0,7.0,2.71,-3.71
2002,2002-11-24,32.207,2.0,2.0,100.0,5.0,0.0,0.0,79.2,0.0,0.0,2.5,2.5
2002,2002-12-29,32.242,,,,,,,,0.0,,,
2003,2003-09-07,33.129,,,,,,,,0.0,,,
2003,2003-09-14,33.135999999999996,1.0,2.0,50.0,14.0,0.0,0.0,72.9,0.0,0.0,7.0,7.0
2003,2003-10-12,33.164,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
2003,2003-10-19,33.171,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2003,2003-10-26,33.178000000000004,2.0,4.0,50.0,12.0,0.0,2.0,16.7,0.0,0.0,3.0,-19.5
2003,2003-11-30,33.213,2.0,5.0,40.0,23.0,0.0,0.0,54.6,1.0,7.0,4.6,4.6
