Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2006,2006-09-11,24.123,2.0,5.0,40.0,28.0,0.0,0.0,58.7,2.0,11.0,5.6,5.6
2006,2006-09-17,24.129,10.0,27.0,37.04,162.0,0.0,3.0,18.4,6.0,39.0,6.0,1.0
2006,2006-10-01,24.143,9.0,23.0,39.13,68.0,1.0,1.0,43.6,4.0,22.0,2.96,1.87
2006,2006-10-08,24.15,14.0,23.0,60.87,164.0,1.0,2.0,60.8,1.0,0.0,7.13,4.09
2006,2006-10-15,24.156999999999996,13.0,26.0,50.0,189.0,0.0,1.0,58.0,4.0,30.0,7.27,5.54
2006,2006-10-22,24.164,17.0,30.0,56.67,263.0,1.0,1.0,83.1,5.0,21.0,8.77,7.93
2006,2006-10-29,24.171,5.0,14.0,35.71,51.0,0.0,1.0,17.3,6.0,34.0,3.64,0.43
2006,2006-11-06,24.179000000000002,16.0,35.0,45.71,166.0,0.0,0.0,59.9,9.0,45.0,4.74,4.74
2006,2006-11-12,24.185,18.0,33.0,54.55,214.0,0.0,0.0,74.6,3.0,16.0,6.48,6.48
2006,2006-11-19,24.191999999999997,2.0,3.0,66.67,15.0,0.0,0.0,78.5,1.0,1.0,5.0,5.0
2006,2006-12-17,24.22,14.0,20.0,70.0,131.0,0.0,2.0,48.1,1.0,6.0,6.55,2.05
2006,2006-12-23,24.226,27.0,37.0,72.97,226.0,0.0,2.0,65.8,4.0,31.0,6.11,3.68
2007,2007-12-09,25.212,5.0,8.0,62.5,38.0,0.0,0.0,74.0,0.0,0.0,4.75,4.75
2008,2008-11-09,26.182,14.0,32.0,43.75,143.0,0.0,2.0,31.1,3.0,19.0,4.47,1.66
2008,2008-12-04,26.206999999999997,8.0,17.0,47.06,61.0,0.0,1.0,31.7,2.0,20.0,3.59,0.94
