Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2011,2011-09-11,23.316999999999997,10.0,15.0,66.67,81.0,1.0,0.0,102.4,3.0,11.0,5.4,6.73
2011,2011-09-18,23.324,27.0,41.0,65.85,332.0,2.0,0.0,107.0,2.0,22.0,8.1,9.07
2011,2011-09-25,23.331,17.0,32.0,53.13,157.0,0.0,2.0,40.8,1.0,8.0,4.91,2.09
2011,2011-10-02,23.338,18.0,36.0,50.0,298.0,1.0,2.0,64.4,2.0,11.0,8.28,6.33
2011,2011-10-09,23.345,21.0,33.0,63.64,179.0,2.0,1.0,85.3,2.0,17.0,5.42,5.27
2011,2011-10-16,23.351999999999997,25.0,32.0,78.13,264.0,1.0,0.0,111.5,0.0,0.0,8.25,8.88
2011,2011-10-30,24.000999999999998,18.0,29.0,62.07,168.0,2.0,2.0,72.2,1.0,8.0,5.79,4.07
2011,2011-11-06,24.008000000000003,22.0,39.0,56.41,217.0,3.0,0.0,97.9,1.0,7.0,5.56,7.1
2011,2011-11-13,24.015,15.0,30.0,50.0,170.0,2.0,2.0,61.8,0.0,0.0,5.67,4.0
2011,2011-11-20,24.022,24.0,45.0,53.33,373.0,1.0,3.0,60.7,2.0,9.0,8.29,5.73
2011,2011-11-27,24.029,21.0,31.0,67.74,270.0,1.0,0.0,105.6,2.0,13.0,8.71,9.35
2011,2011-12-04,24.035999999999998,11.0,24.0,45.83,135.0,1.0,0.0,77.6,3.0,24.0,5.63,6.46
2011,2011-12-11,24.043000000000003,16.0,28.0,57.14,189.0,1.0,0.0,89.7,1.0,5.0,6.75,7.46
2011,2011-12-18,24.05,15.0,26.0,57.69,179.0,0.0,1.0,62.8,1.0,6.0,6.88,5.15
2011,2011-12-24,24.055999999999997,18.0,31.0,58.06,154.0,2.0,0.0,92.7,2.0,18.0,4.97,6.26
2011,2012-01-01,24.064,22.0,44.0,50.0,232.0,0.0,0.0,65.7,1.0,1.0,5.27,5.27
2012,2012-09-10,24.316999999999997,22.0,37.0,59.46,221.0,0.0,1.0,65.3,4.0,28.0,5.97,4.76
2012,2012-09-16,24.323,24.0,31.0,77.42,318.0,3.0,1.0,128.2,6.0,23.0,10.26,10.74
2012,2012-09-23,24.33,19.0,27.0,70.37,328.0,3.0,1.0,132.9,2.0,16.0,12.15,12.7
2012,2012-09-30,24.337,20.0,31.0,64.52,244.0,2.0,1.0,96.7,0.0,0.0,7.87,7.71
2012,2012-10-07,24.344,26.0,43.0,60.47,234.0,1.0,2.0,63.5,3.0,16.0,5.44,3.81
2012,2012-10-14,24.351,31.0,46.0,67.39,381.0,3.0,3.0,87.3,2.0,19.0,8.28,6.65
2012,2012-10-21,24.358,14.0,28.0,50.0,105.0,1.0,1.0,56.4,0.0,0.0,3.75,2.86
2012,2012-11-04,25.006,26.0,42.0,61.9,299.0,1.0,1.0,81.3,5.0,24.0,7.12,6.52
2012,2012-11-11,25.013,21.0,30.0,70.0,199.0,4.0,0.0,127.6,0.0,0.0,6.63,9.3
2012,2012-11-18,25.02,18.0,29.0,62.07,230.0,2.0,0.0,109.8,2.0,10.0,7.93,9.31
2012,2012-11-25,25.026999999999997,16.0,30.0,53.33,210.0,3.0,0.0,109.0,2.0,16.0,7.0,9.0
2012,2012-12-02,25.034000000000002,25.0,38.0,65.79,211.0,1.0,2.0,66.9,1.0,0.0,5.55,3.71
2012,2012-12-09,25.041,20.0,33.0,60.61,206.0,1.0,1.0,76.1,5.0,16.0,6.24,5.48
2012,2012-12-13,25.045,13.0,27.0,48.15,127.0,1.0,0.0,74.2,6.0,35.0,4.7,5.44
2012,2012-12-23,25.055,24.0,41.0,58.54,278.0,0.0,2.0,58.8,6.0,25.0,6.78,4.59
2012,2012-12-30,25.061999999999998,10.0,15.0,66.67,78.0,1.0,0.0,101.5,2.0,1.0,5.2,6.53
2013,2013-09-08,25.314,26.0,33.0,78.79,282.0,2.0,2.0,97.2,1.0,5.0,8.55,7.03
2013,2013-09-16,25.322,25.0,45.0,55.56,280.0,1.0,0.0,81.7,0.0,0.0,6.22,6.67
2013,2013-09-22,25.328000000000003,20.0,28.0,71.43,235.0,2.0,1.0,105.5,4.0,20.0,8.39,8.21
2013,2013-09-29,25.335,23.0,42.0,54.76,206.0,0.0,1.0,58.2,2.0,3.0,4.9,3.83
2013,2013-10-06,25.342,20.0,27.0,74.07,212.0,0.0,1.0,81.1,4.0,33.0,7.85,6.19
2013,2013-10-13,25.349,26.0,40.0,65.0,337.0,3.0,1.0,105.9,3.0,19.0,8.43,8.8
2013,2013-10-20,25.355999999999998,24.0,34.0,70.59,372.0,3.0,0.0,135.9,1.0,8.0,10.94,12.71
2013,2013-10-27,25.363000000000003,19.0,30.0,63.33,325.0,5.0,1.0,125.7,1.0,2.0,10.83,12.67
2013,2013-10-31,26.002,32.0,53.0,60.38,338.0,0.0,3.0,55.4,5.0,36.0,6.38,3.83
2013,2013-11-10,26.011999999999997,24.0,51.0,47.06,274.0,2.0,3.0,52.2,5.0,30.0,5.37,3.51
2013,2013-11-17,26.019000000000002,13.0,27.0,48.15,93.0,3.0,2.0,62.7,0.0,0.0,3.44,2.33
2013,2013-12-01,26.033,14.0,23.0,60.87,190.0,1.0,1.0,83.6,0.0,0.0,8.26,7.17
2013,2013-12-08,26.04,24.0,35.0,68.57,275.0,3.0,0.0,120.5,0.0,0.0,7.86,9.57
2013,2013-12-15,26.046999999999997,25.0,44.0,56.82,230.0,2.0,0.0,86.4,1.0,8.0,5.23,6.14
2013,2013-12-22,26.054000000000002,27.0,38.0,71.05,363.0,4.0,0.0,136.2,2.0,18.0,9.55,11.66
2013,2013-12-29,26.061,21.0,36.0,58.33,281.0,2.0,4.0,62.2,0.0,0.0,7.81,3.92
2014,2014-09-07,26.313000000000002,25.0,38.0,65.79,301.0,1.0,0.0,98.7,0.0,0.0,7.92,8.45
2014,2014-09-14,26.32,15.0,23.0,65.22,252.0,1.0,0.0,116.6,0.0,0.0,10.96,11.83
2014,2014-09-21,26.326999999999998,15.0,23.0,65.22,169.0,0.0,1.0,68.9,0.0,0.0,7.35,5.39
2014,2014-10-05,26.340999999999998,15.0,24.0,62.5,204.0,2.0,0.0,117.4,1.0,8.0,8.5,10.17
2014,2014-10-12,26.348000000000003,33.0,43.0,76.74,323.0,2.0,2.0,93.5,1.0,3.0,7.51,6.35
2014,2014-10-19,26.355,18.0,38.0,47.37,126.0,0.0,0.0,55.4,3.0,17.0,3.32,3.32
2014,2014-10-26,26.362,21.0,28.0,75.0,266.0,0.0,1.0,89.3,2.0,27.0,9.5,7.89
2014,2014-11-02,27.004,19.0,31.0,61.29,233.0,2.0,2.0,79.1,2.0,1.0,7.52,5.9
2014,2014-11-06,27.008000000000003,10.0,33.0,30.3,86.0,0.0,3.0,2.0,2.0,14.0,2.61,-1.48
2014,2014-11-16,27.018,16.0,22.0,72.73,220.0,3.0,0.0,143.9,1.0,1.0,10.0,12.73
2014,2014-11-23,27.025,24.0,35.0,68.57,233.0,1.0,1.0,84.6,0.0,0.0,6.66,5.94
2014,2014-11-30,27.031999999999996,19.0,27.0,70.37,176.0,1.0,3.0,60.6,2.0,11.0,6.52,2.26
2014,2014-12-07,27.039,21.0,29.0,72.41,302.0,2.0,0.0,128.8,2.0,5.0,10.41,11.79
2014,2014-12-14,27.046,14.0,24.0,58.33,117.0,0.0,1.0,53.6,2.0,14.0,4.88,3.0
2014,2014-12-22,27.054000000000002,17.0,25.0,68.0,146.0,2.0,1.0,93.1,0.0,0.0,5.84,5.64
2014,2014-12-28,27.06,27.0,38.0,71.05,244.0,2.0,2.0,83.7,3.0,23.0,6.42,5.11
2015,2015-09-13,27.319000000000003,25.0,34.0,73.53,269.0,2.0,0.0,115.9,0.0,0.0,7.91,9.09
2015,2015-09-20,27.326,16.0,26.0,61.54,214.0,3.0,0.0,126.1,0.0,0.0,8.23,10.54
2015,2015-09-27,27.333000000000002,20.0,32.0,62.5,383.0,3.0,1.0,122.3,2.0,11.0,11.97,12.44
2015,2015-10-04,27.34,17.0,24.0,70.83,321.0,1.0,0.0,127.1,0.0,0.0,13.38,14.21
2015,2015-10-11,27.346999999999998,30.0,44.0,68.18,331.0,2.0,1.0,95.9,4.0,21.0,7.52,7.41
2015,2015-10-18,27.354,22.0,33.0,66.67,243.0,3.0,0.0,118.6,0.0,0.0,7.36,9.18
2015,2015-11-01,28.003,23.0,38.0,60.53,231.0,1.0,2.0,64.7,3.0,13.0,6.08,4.24
2015,2015-11-05,28.006999999999998,21.0,27.0,77.78,234.0,3.0,0.0,139.8,2.0,15.0,8.67,10.89
2015,2015-11-16,28.018,22.0,38.0,57.89,197.0,0.0,1.0,61.0,4.0,15.0,5.18,4.0
2015,2015-11-22,28.024,22.0,39.0,56.41,315.0,2.0,0.0,99.8,4.0,37.0,8.08,9.1
2015,2015-11-29,28.031,20.0,27.0,74.07,233.0,3.0,1.0,121.4,0.0,0.0,8.63,9.19
2015,2015-12-06,28.038,14.0,19.0,73.68,220.0,2.0,0.0,146.8,1.0,6.0,11.58,13.68
2015,2015-12-13,28.045,3.0,5.0,60.0,59.0,0.0,1.0,61.7,0.0,0.0,11.8,2.8
2016,2016-09-11,28.318,23.0,30.0,76.67,366.0,1.0,1.0,114.0,7.0,42.0,12.2,11.37
2016,2016-09-18,28.325,31.0,54.0,57.41,366.0,1.0,0.0,84.3,1.0,0.0,6.78,7.15
2016,2016-09-25,28.331999999999997,21.0,31.0,67.74,206.0,0.0,1.0,72.8,4.0,17.0,6.65,5.19
2016,2016-09-29,28.336,22.0,31.0,70.97,296.0,1.0,0.0,111.8,1.0,11.0,9.55,10.19
2016,2016-10-09,28.346,29.0,41.0,70.73,269.0,2.0,0.0,104.6,4.0,20.0,6.56,7.54
2016,2016-10-16,28.353,21.0,31.0,67.74,254.0,1.0,0.0,103.4,2.0,17.0,8.19,8.84
2016,2016-10-23,28.36,19.0,28.0,67.86,308.0,2.0,0.0,128.3,3.0,20.0,11.0,12.43
2016,2016-10-30,29.000999999999998,27.0,42.0,64.29,284.0,1.0,1.0,81.8,3.0,21.0,6.76,6.17
2016,2016-11-14,29.016,16.0,29.0,55.17,204.0,1.0,1.0,74.5,3.0,18.0,7.03,6.17
2016,2016-11-20,29.022,24.0,43.0,55.81,207.0,1.0,2.0,57.0,1.0,0.0,4.81,3.19
2016,2016-11-27,29.029,26.0,48.0,54.17,283.0,1.0,0.0,78.7,3.0,22.0,5.9,6.31
2016,2016-12-04,29.035999999999998,23.0,31.0,74.19,332.0,2.0,0.0,130.0,0.0,0.0,10.71,12.0
2016,2016-12-11,29.043000000000003,20.0,28.0,71.43,180.0,2.0,0.0,112.2,4.0,33.0,6.43,7.86
2016,2016-12-18,29.05,16.0,27.0,59.26,157.0,0.0,1.0,60.3,1.0,11.0,5.81,4.15
2016,2016-12-24,29.055999999999997,28.0,41.0,68.29,268.0,1.0,1.0,84.2,3.0,24.0,6.54,5.93
2016,2017-01-01,29.064,18.0,28.0,64.29,226.0,1.0,0.0,101.2,1.0,8.0,8.07,8.79
2017,2017-09-10,29.316,16.0,31.0,51.61,170.0,0.0,4.0,28.4,5.0,26.0,5.48,-0.32
2017,2017-09-14,29.32,20.0,35.0,57.14,224.0,0.0,0.0,76.4,3.0,11.0,6.4,6.4
2017,2017-09-24,29.33,21.0,27.0,77.78,212.0,2.0,0.0,124.1,3.0,21.0,7.85,9.33
2017,2017-10-01,29.337,25.0,30.0,83.33,286.0,4.0,0.0,146.0,3.0,22.0,9.53,12.2
2017,2017-10-08,29.344,22.0,36.0,61.11,328.0,1.0,2.0,77.1,1.0,5.0,9.11,7.17
2017,2017-10-22,29.358,17.0,30.0,56.67,140.0,2.0,2.0,63.2,4.0,32.0,4.67,3.0
2017,2017-10-29,30.0,17.0,29.0,58.62,243.0,2.0,0.0,108.8,3.0,25.0,8.38,9.76
2017,2017-11-05,30.006999999999998,10.0,18.0,55.56,136.0,0.0,0.0,79.9,2.0,17.0,7.56,7.56
2017,2017-11-12,30.014,20.0,35.0,57.14,265.0,2.0,0.0,100.3,1.0,10.0,7.57,8.71
2017,2017-11-19,30.021,15.0,25.0,60.0,154.0,3.0,0.0,117.3,2.0,13.0,6.16,8.56
2017,2017-11-26,30.028000000000002,18.0,28.0,64.29,214.0,2.0,0.0,111.3,1.0,5.0,7.64,9.07
2017,2017-12-04,30.035999999999998,21.0,36.0,58.33,234.0,2.0,0.0,96.3,2.0,11.0,6.5,7.61
2017,2017-12-10,30.041999999999998,14.0,29.0,48.28,141.0,1.0,1.0,59.7,2.0,15.0,4.86,4.0
2017,2017-12-17,30.049,11.0,22.0,50.0,113.0,0.0,2.0,27.3,3.0,17.0,5.14,1.05
2017,2017-12-24,30.055999999999997,27.0,41.0,65.85,238.0,1.0,1.0,79.1,3.0,16.0,5.8,5.2
2017,2017-12-31,30.063000000000002,23.0,44.0,52.27,222.0,3.0,0.0,89.4,1.0,9.0,5.05,6.41
2018,2018-09-09,30.315,21.0,28.0,75.0,243.0,2.0,1.0,109.7,2.0,14.0,8.68,8.5
2018,2018-09-13,30.319000000000003,24.0,42.0,57.14,265.0,4.0,0.0,107.7,0.0,0.0,6.31,8.21
2018,2018-09-23,30.329,29.0,46.0,63.04,352.0,2.0,4.0,64.8,2.0,22.0,7.65,4.61
2018,2018-09-30,30.336,29.0,41.0,70.73,337.0,3.0,1.0,109.5,3.0,29.0,8.22,8.59
2018,2018-10-07,30.343000000000004,20.0,30.0,66.67,248.0,1.0,1.0,89.3,2.0,19.0,8.27,7.43
2018,2018-10-14,30.35,26.0,42.0,61.9,229.0,2.0,0.0,92.3,3.0,16.0,5.45,6.4
2018,2018-10-21,30.357,15.0,29.0,51.72,148.0,1.0,1.0,63.6,2.0,13.0,5.1,4.24
2018,2018-10-28,30.364,21.0,34.0,61.76,280.0,2.0,0.0,107.5,2.0,16.0,8.24,9.41
2018,2018-11-11,31.013,12.0,20.0,60.0,153.0,1.0,2.0,61.0,4.0,24.0,7.65,4.15
2018,2018-11-18,31.02,19.0,36.0,52.78,211.0,2.0,0.0,89.0,1.0,4.0,5.86,6.97
