Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2000,2000-12-03,24.293000000000003,1.0,3.0,33.33,10.0,0.0,0.0,43.7,0.0,0.0,3.33,3.33
2000,2000-12-10,24.3,3.0,5.0,60.0,73.0,0.0,0.0,104.2,3.0,17.0,14.6,14.6
2000,2000-12-17,24.307,13.0,25.0,52.0,119.0,0.0,1.0,48.6,5.0,49.0,4.76,2.96
2000,2000-12-25,24.315,5.0,20.0,25.0,35.0,0.0,2.0,0.0,4.0,26.0,1.75,-2.75
2001,2001-09-23,25.221,12.0,25.0,48.0,193.0,3.0,3.0,74.2,1.0,5.0,7.72,4.72
2001,2001-09-30,25.228,7.0,23.0,30.43,33.0,0.0,1.0,21.8,2.0,16.0,1.43,-0.52
2001,2001-10-07,25.235,14.0,22.0,63.64,126.0,2.0,0.0,109.3,1.0,7.0,5.73,7.55
2001,2001-10-15,25.243000000000002,15.0,28.0,53.57,177.0,0.0,1.0,58.2,1.0,2.0,6.32,4.71
2003,2003-11-16,27.275,14.0,25.0,56.0,112.0,0.0,2.0,34.1,2.0,3.0,4.48,0.88
2003,2003-11-23,27.281999999999996,20.0,37.0,54.05,319.0,4.0,0.0,119.1,6.0,43.0,8.62,10.78
2003,2003-11-30,27.289,14.0,25.0,56.0,177.0,2.0,1.0,88.2,1.0,12.0,7.08,6.88
2003,2003-12-07,27.296,8.0,19.0,42.11,145.0,1.0,2.0,46.9,2.0,15.0,7.63,3.95
2003,2003-12-14,27.303,12.0,27.0,44.44,193.0,1.0,1.0,65.8,3.0,23.0,7.15,6.22
2003,2003-12-21,27.31,10.0,18.0,55.56,90.0,1.0,1.0,64.6,3.0,17.0,5.0,3.61
2003,2003-12-28,27.316999999999997,16.0,27.0,59.26,163.0,0.0,1.0,61.2,2.0,12.0,6.04,4.37
2005,2005-09-11,29.209,19.0,31.0,61.29,214.0,1.0,2.0,65.8,2.0,21.0,6.9,4.65
2005,2005-09-18,29.215999999999998,25.0,40.0,62.5,212.0,1.0,1.0,74.2,6.0,44.0,5.3,4.68
2005,2005-10-02,29.23,15.0,21.0,71.43,144.0,0.0,1.0,70.3,0.0,0.0,6.86,4.71
2005,2005-10-09,29.237,20.0,37.0,54.05,230.0,2.0,2.0,68.5,1.0,2.0,6.22,4.86
2005,2005-10-16,29.244,23.0,31.0,74.19,213.0,1.0,1.0,89.9,1.0,12.0,6.87,6.06
2005,2005-10-23,29.250999999999998,18.0,32.0,56.25,164.0,0.0,0.0,70.3,4.0,31.0,5.13,5.13
2005,2005-10-31,29.259,25.0,44.0,56.82,252.0,1.0,2.0,61.9,2.0,6.0,5.73,4.14
2005,2005-11-06,29.265,19.0,30.0,63.33,153.0,0.0,0.0,76.1,3.0,31.0,5.1,5.1
2005,2005-12-19,29.308000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-09-24,30.221999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2006,2006-10-01,30.229,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-11-26,30.285,2.0,2.0,100.0,25.0,0.0,0.0,118.7,0.0,0.0,12.5,12.5
2006,2006-12-10,30.299,1.0,1.0,100.0,6.0,0.0,0.0,91.7,0.0,0.0,6.0,6.0
2006,2006-12-31,30.32,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-09-16,31.214000000000002,1.0,6.0,16.67,12.0,0.0,0.0,39.6,0.0,0.0,2.0,2.0
2007,2007-10-15,31.243000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-10-21,31.249000000000002,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2007,2007-12-09,31.298000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
