Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1971,1971-09-19,22.123,16.0,29.0,55.17,218.0,1.0,1.0,76.5,7.0,64.0,7.52,6.66
1971,1971-09-26,22.13,8.0,14.0,57.14,155.0,2.0,0.0,135.4,6.0,37.0,11.07,13.93
1971,1971-10-03,22.136999999999997,8.0,20.0,40.0,112.0,1.0,2.0,35.8,5.0,33.0,5.6,2.1
1971,1971-10-10,22.144000000000002,2.0,8.0,25.0,45.0,0.0,1.0,10.9,4.0,36.0,5.63,0.0
1971,1971-10-17,22.151,6.0,15.0,40.0,83.0,1.0,1.0,52.9,4.0,34.0,5.53,3.87
1971,1971-10-24,22.158,12.0,30.0,40.0,138.0,0.0,2.0,26.8,2.0,12.0,4.6,1.6
1971,1971-10-31,22.165,3.0,6.0,50.0,29.0,0.0,0.0,63.9,4.0,42.0,4.83,4.83
1971,1971-11-07,22.171999999999997,0.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0,-22.5
1971,1971-11-21,22.186,5.0,9.0,55.56,81.0,1.0,1.0,83.3,,,9.0,6.22
1971,1971-11-28,22.193,3.0,7.0,42.86,38.0,0.0,0.0,60.4,,,5.43,5.43
1971,1971-12-12,22.206999999999997,6.0,11.0,54.55,91.0,0.0,0.0,82.0,3.0,35.0,8.27,8.27
1971,1971-12-19,22.214000000000002,17.0,26.0,65.38,174.0,0.0,0.0,84.5,5.0,39.0,6.69,6.69
1972,1972-09-17,23.121,21.0,46.0,45.65,249.0,2.0,1.0,68.1,3.0,31.0,5.41,5.3
1972,1972-09-25,23.129,10.0,24.0,41.67,115.0,1.0,0.0,70.7,4.0,22.0,4.79,5.63
1972,1972-10-01,23.135,13.0,35.0,37.14,128.0,0.0,4.0,8.7,5.0,51.0,3.66,-1.49
1972,1972-10-08,23.142,18.0,31.0,58.06,276.0,3.0,4.0,80.2,4.0,48.0,8.9,5.03
1972,1972-10-15,23.149,6.0,18.0,33.33,51.0,0.0,0.0,42.4,3.0,31.0,2.83,2.83
1972,1972-10-22,23.156,17.0,27.0,62.96,287.0,2.0,1.0,108.1,2.0,14.0,10.63,10.44
1972,1972-10-29,23.163,20.0,35.0,57.14,295.0,2.0,1.0,92.0,2.0,11.0,8.43,8.29
1972,1972-11-05,23.17,19.0,35.0,54.29,155.0,0.0,3.0,30.1,1.0,8.0,4.43,0.57
1972,1972-11-12,23.177,13.0,31.0,41.94,173.0,1.0,0.0,71.0,3.0,18.0,5.58,6.23
1972,1972-11-19,23.184,20.0,30.0,66.67,250.0,2.0,2.0,86.8,2.0,8.0,8.33,6.67
1972,1972-11-26,23.191,15.0,29.0,51.72,202.0,1.0,0.0,85.7,6.0,44.0,6.97,7.66
1972,1972-12-03,23.198,20.0,31.0,64.52,204.0,1.0,1.0,80.6,2.0,10.0,6.58,5.77
1972,1972-12-10,23.205,24.0,52.0,46.15,254.0,1.0,3.0,43.3,2.0,11.0,4.88,2.67
1972,1972-12-17,23.212,14.0,24.0,58.33,142.0,2.0,1.0,85.8,4.0,40.0,5.92,5.71
