Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2014,2014-09-07,25.096999999999998,16.0,23.0,69.57,192.0,0.0,1.0,76.7,4.0,21.0,8.35,6.39
2014,2014-09-14,25.104,22.0,29.0,75.86,235.0,0.0,0.0,99.1,2.0,15.0,8.1,8.1
2014,2014-09-21,25.111,30.0,42.0,71.43,327.0,3.0,2.0,98.0,0.0,0.0,7.79,7.07
2014,2014-10-05,25.125,29.0,49.0,59.18,375.0,3.0,0.0,103.7,4.0,34.0,7.65,8.88
2014,2014-10-13,25.133000000000003,21.0,42.0,50.0,236.0,1.0,1.0,65.2,5.0,20.0,5.62,5.02
2014,2014-10-19,25.139,17.0,20.0,85.0,155.0,2.0,0.0,132.3,0.0,0.0,7.75,9.75
2014,2014-10-26,25.146,15.0,25.0,60.0,160.0,1.0,1.0,75.4,7.0,44.0,6.4,5.4
2014,2014-11-02,25.153000000000002,13.0,24.0,54.17,105.0,1.0,2.0,44.6,1.0,3.0,4.38,1.46
2014,2014-11-09,25.16,17.0,30.0,56.67,216.0,1.0,2.0,62.6,6.0,42.0,7.2,4.87
2014,2014-11-30,25.180999999999997,,,,,,,,,,,
2015,2015-11-30,26.180999999999997,7.0,10.0,70.0,77.0,1.0,0.0,125.8,1.0,8.0,7.7,9.7
2015,2015-12-06,26.186999999999998,25.0,38.0,65.79,230.0,0.0,1.0,71.2,3.0,25.0,6.05,4.87
2015,2016-01-03,26.215,24.0,46.0,52.17,240.0,0.0,2.0,49.2,7.0,63.0,5.22,3.26
2017,2017-10-22,28.142,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2017,2017-11-09,28.16,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2017,2017-12-17,28.198,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
