Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2018,2018-09-20,23.159000000000002,17.0,23.0,73.91,201.0,0.0,0.0,100.1,1.0,8.0,8.74,8.74
2018,2018-09-30,23.169,21.0,41.0,51.22,295.0,2.0,2.0,70.7,2.0,16.0,7.2,5.98
2018,2018-10-07,23.176,25.0,43.0,58.14,342.0,1.0,1.0,81.7,5.0,38.0,7.95,7.37
2018,2018-10-14,23.183000000000003,22.0,46.0,47.83,238.0,1.0,2.0,52.6,5.0,24.0,5.17,3.65
2018,2018-10-21,23.19,23.0,34.0,67.65,215.0,2.0,0.0,104.4,5.0,29.0,6.32,7.5
2018,2018-10-28,23.197,22.0,36.0,61.11,180.0,2.0,1.0,80.8,2.0,17.0,5.0,4.86
2018,2018-11-04,23.204,29.0,42.0,69.05,297.0,2.0,1.0,95.0,2.0,22.0,7.07,6.95
2018,2018-11-11,23.211,17.0,20.0,85.0,216.0,3.0,0.0,151.2,0.0,0.0,10.8,13.8
2018,2018-11-25,23.225,19.0,26.0,73.08,258.0,4.0,0.0,143.9,0.0,0.0,9.92,13.0
2018,2018-12-02,23.232,29.0,43.0,67.44,397.0,1.0,3.0,75.4,0.0,0.0,9.23,6.56
2018,2018-12-09,23.239,18.0,22.0,81.82,238.0,1.0,0.0,126.9,1.0,6.0,10.82,11.73
2018,2018-12-15,23.245,18.0,31.0,58.06,188.0,2.0,1.0,83.8,2.0,13.0,6.06,5.9
2018,2018-12-23,23.253,27.0,37.0,72.97,284.0,3.0,0.0,121.9,0.0,0.0,7.68,9.3
2018,2018-12-30,23.26,23.0,42.0,54.76,376.0,3.0,3.0,79.1,0.0,0.0,8.95,7.17
2019,2019-09-08,24.147,25.0,38.0,65.79,285.0,1.0,3.0,64.0,5.0,41.0,7.5,4.47
2019,2019-09-16,24.155,19.0,35.0,54.29,325.0,1.0,1.0,83.6,3.0,20.0,9.29,8.57
2019,2019-09-22,24.160999999999998,18.0,36.0,50.0,195.0,1.0,1.0,64.0,3.0,20.0,5.42,4.72
2019,2019-09-29,24.168000000000003,20.0,30.0,66.67,342.0,1.0,1.0,102.4,1.0,5.0,11.4,10.57
2019,2019-10-07,24.176,8.0,22.0,36.36,100.0,0.0,2.0,13.4,4.0,42.0,4.55,0.45
2019,2019-10-13,24.182,22.0,37.0,59.46,249.0,1.0,3.0,54.9,0.0,0.0,6.73,3.62
2019,2019-10-27,24.195999999999998,20.0,31.0,64.52,194.0,1.0,1.0,79.2,5.0,43.0,6.26,5.45
2019,2019-11-03,24.203000000000003,27.0,42.0,64.29,273.0,1.0,0.0,90.7,2.0,12.0,6.5,6.98
2019,2019-11-10,24.21,26.0,38.0,68.42,238.0,2.0,0.0,102.7,2.0,17.0,6.26,7.32
2019,2019-11-14,24.214000000000002,17.0,32.0,53.13,193.0,2.0,0.0,92.3,1.0,4.0,6.03,7.28
2019,2019-11-24,24.224,24.0,34.0,70.59,327.0,3.0,1.0,118.1,1.0,7.0,9.62,10.06
2019,2019-12-01,24.230999999999998,18.0,32.0,56.25,196.0,1.0,1.0,71.9,5.0,23.0,6.13,5.34
2019,2019-12-08,24.238000000000003,11.0,24.0,45.83,192.0,0.0,2.0,38.9,1.0,5.0,8.0,4.25
2019,2019-12-15,24.245,30.0,43.0,69.77,247.0,2.0,1.0,90.0,1.0,6.0,5.74,5.63
2019,2019-12-22,24.252,20.0,33.0,60.61,192.0,2.0,1.0,84.4,0.0,0.0,5.82,5.67
2019,2019-12-29,24.259,12.0,27.0,44.44,279.0,3.0,3.0,79.6,6.0,40.0,10.33,7.56
2020,2020-09-13,25.151999999999997,21.0,39.0,53.85,189.0,1.0,1.0,65.0,2.0,21.0,4.85,4.21
2020,2020-09-17,25.156,16.0,23.0,69.57,219.0,2.0,1.0,110.6,0.0,0.0,9.52,9.3
2020,2020-09-27,25.166,16.0,23.0,69.57,156.0,2.0,0.0,117.3,2.0,14.0,6.78,8.52
2020,2020-10-04,25.173000000000002,19.0,30.0,63.33,165.0,2.0,0.0,100.0,2.0,1.0,5.5,6.83
2020,2020-10-11,25.18,21.0,37.0,56.76,247.0,2.0,2.0,72.7,1.0,4.0,6.68,5.32
2020,2020-10-18,25.186999999999998,10.0,18.0,55.56,119.0,1.0,2.0,54.9,4.0,20.0,6.61,2.72
2020,2020-10-25,25.194000000000003,22.0,28.0,78.57,297.0,5.0,1.0,135.6,0.0,0.0,10.61,12.57
2020,2020-11-01,25.201,12.0,25.0,48.0,122.0,0.0,0.0,62.4,0.0,0.0,4.88,4.88
2020,2020-11-15,25.215,12.0,20.0,60.0,132.0,0.0,0.0,79.6,1.0,7.0,6.6,6.6
2020,2020-11-22,25.221999999999998,12.0,22.0,54.55,204.0,0.0,0.0,86.2,3.0,17.0,9.27,9.27
2020,2020-11-29,25.229,19.0,29.0,65.52,258.0,2.0,0.0,116.7,2.0,6.0,8.9,10.28
2020,2020-12-06,25.236,25.0,33.0,75.76,334.0,4.0,0.0,147.0,0.0,0.0,10.12,12.55
2020,2020-12-14,25.244,28.0,47.0,59.57,343.0,2.0,1.0,87.5,0.0,0.0,7.3,7.19
2020,2020-12-20,25.25,27.0,32.0,84.38,297.0,2.0,0.0,126.2,1.0,11.0,9.28,10.53
2020,2020-12-27,25.256999999999998,28.0,53.0,52.83,285.0,0.0,0.0,68.5,4.0,31.0,5.38,5.38
