Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2004,2004-09-19,22.201,12.0,20.0,60.0,176.0,2.0,2.0,82.5,2.0,16.0,8.8,6.3
2004,2004-09-26,22.208000000000002,12.0,22.0,54.55,163.0,1.0,1.0,74.6,1.0,2.0,7.41,6.27
2004,2004-10-03,22.215,17.0,25.0,68.0,174.0,1.0,0.0,101.1,1.0,6.0,6.96,7.76
2004,2004-10-10,22.221999999999998,16.0,21.0,76.19,231.0,1.0,1.0,107.4,0.0,0.0,11.0,9.81
2004,2004-10-17,22.229,21.0,25.0,84.0,193.0,2.0,0.0,125.5,3.0,21.0,7.72,9.32
2004,2004-10-31,22.243000000000002,18.0,24.0,75.0,196.0,2.0,0.0,126.4,0.0,0.0,8.17,9.83
2004,2004-11-07,22.25,11.0,18.0,61.11,183.0,2.0,1.0,109.3,2.0,15.0,10.17,9.89
2004,2004-11-14,22.256999999999998,10.0,16.0,62.5,134.0,0.0,1.0,63.0,2.0,14.0,8.38,5.56
2004,2004-11-21,22.264,15.0,21.0,71.43,138.0,1.0,0.0,104.9,7.0,54.0,6.57,7.52
2004,2004-11-28,22.271,9.0,20.0,45.0,131.0,0.0,0.0,66.9,4.0,31.0,6.55,6.55
2004,2004-12-05,22.278000000000002,14.0,17.0,82.35,221.0,2.0,0.0,158.0,3.0,25.0,13.0,15.35
2004,2004-12-12,22.285,9.0,19.0,47.37,144.0,0.0,2.0,33.6,2.0,12.0,7.58,2.84
2004,2004-12-18,22.291,18.0,28.0,64.29,316.0,1.0,2.0,84.8,3.0,17.0,11.29,8.79
2004,2004-12-26,22.299,14.0,19.0,73.68,221.0,2.0,1.0,125.1,0.0,0.0,11.63,11.37
2005,2005-09-11,23.193,9.0,11.0,81.82,218.0,2.0,0.0,158.3,0.0,0.0,19.82,23.45
2005,2005-09-18,23.2,14.0,21.0,66.67,254.0,2.0,0.0,139.8,1.0,1.0,12.1,14.0
2005,2005-09-25,23.206999999999997,12.0,28.0,42.86,216.0,2.0,0.0,93.7,4.0,26.0,7.71,9.14
2005,2005-10-10,23.221999999999998,17.0,26.0,65.38,225.0,1.0,0.0,105.4,3.0,18.0,8.65,9.42
2005,2005-10-23,23.235,9.0,14.0,64.29,93.0,2.0,1.0,93.2,1.0,10.0,6.64,6.29
2005,2005-10-31,23.243000000000002,18.0,30.0,60.0,177.0,2.0,1.0,85.0,2.0,17.0,5.9,5.73
2005,2005-11-28,23.271,17.0,26.0,65.38,133.0,1.0,2.0,58.7,3.0,22.0,5.12,2.42
2005,2005-12-04,23.276999999999997,29.0,41.0,70.73,386.0,3.0,3.0,94.2,2.0,7.0,9.41,7.59
2005,2005-12-11,23.284000000000002,13.0,20.0,65.0,173.0,1.0,0.0,109.0,0.0,0.0,8.65,9.65
2005,2005-12-18,23.291,10.0,15.0,66.67,149.0,0.0,0.0,99.0,4.0,16.0,9.93,9.93
2005,2005-12-24,23.296999999999997,13.0,20.0,65.0,226.0,1.0,0.0,120.0,2.0,9.0,11.3,12.3
2005,2006-01-01,23.305,7.0,16.0,43.75,135.0,0.0,2.0,34.1,1.0,3.0,8.44,2.81
2006,2006-09-18,24.2,17.0,32.0,53.13,141.0,0.0,2.0,38.7,2.0,14.0,4.41,1.59
2006,2006-09-24,24.206,18.0,39.0,46.15,208.0,0.0,3.0,30.7,3.0,13.0,5.33,1.87
2006,2006-10-08,24.22,20.0,31.0,64.52,220.0,0.0,2.0,58.5,5.0,23.0,7.1,4.19
2006,2006-10-15,24.226999999999997,16.0,19.0,84.21,238.0,2.0,0.0,153.8,1.0,6.0,12.53,14.63
2006,2006-10-22,24.234,16.0,22.0,72.73,238.0,3.0,0.0,147.3,3.0,15.0,10.82,13.55
2006,2006-10-29,24.241,25.0,37.0,67.57,301.0,1.0,4.0,61.7,5.0,30.0,8.14,3.81
2006,2006-11-05,24.248,38.0,54.0,70.37,433.0,1.0,3.0,77.2,4.0,30.0,8.02,5.89
2006,2006-11-12,24.255,17.0,28.0,60.71,264.0,3.0,0.0,127.7,2.0,14.0,9.43,11.57
2006,2006-11-19,24.261999999999997,25.0,44.0,56.82,272.0,2.0,3.0,61.9,2.0,11.0,6.18,4.02
2006,2006-11-26,24.269000000000002,21.0,41.0,51.22,214.0,0.0,2.0,46.2,9.0,73.0,5.22,3.02
2006,2006-12-03,24.276,12.0,25.0,48.0,198.0,2.0,1.0,85.1,1.0,7.0,7.92,7.72
