Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1985,1985-10-06,21.315,9.0,15.0,60.0,104.0,0.0,1.0,53.2,0.0,0.0,6.93,3.93
1985,1985-10-13,21.322,8.0,19.0,42.11,208.0,1.0,1.0,78.4,0.0,0.0,10.95,9.63
1985,1985-10-20,21.329,10.0,22.0,45.45,140.0,1.0,0.0,81.6,2.0,17.0,6.36,7.27
1985,1985-10-27,21.336,7.0,17.0,41.18,84.0,0.0,2.0,17.4,0.0,0.0,4.94,-0.35
1985,1985-11-03,21.343000000000004,13.0,19.0,68.42,96.0,0.0,0.0,80.2,1.0,9.0,5.05,5.05
1985,1985-11-10,21.35,16.0,32.0,50.0,229.0,1.0,2.0,57.9,3.0,16.0,7.16,4.97
1985,1985-11-17,21.357,12.0,25.0,48.0,103.0,1.0,0.0,72.6,2.0,10.0,4.12,4.92
1985,1985-11-24,21.364,1.0,1.0,100.0,-3.0,0.0,0.0,79.2,0.0,0.0,-3.0,-3.0
1985,1985-12-01,22.006,6.0,16.0,37.5,86.0,0.0,0.0,55.7,2.0,12.0,5.38,5.38
1985,1985-12-08,22.013,18.0,31.0,58.06,249.0,1.0,0.0,94.7,6.0,35.0,8.03,8.68
1985,1985-12-15,22.02,14.0,28.0,50.0,161.0,3.0,0.0,103.4,1.0,5.0,5.75,7.89
1985,1985-12-22,22.026999999999997,10.0,23.0,43.48,121.0,0.0,1.0,42.1,2.0,17.0,5.26,3.3
1986,1986-09-07,22.285999999999998,23.0,40.0,57.5,289.0,1.0,1.0,78.0,1.0,9.0,7.23,6.6
1986,1986-09-14,22.293000000000003,11.0,26.0,42.31,180.0,1.0,0.0,79.0,3.0,24.0,6.92,7.69
1986,1986-09-18,22.296999999999997,28.0,40.0,70.0,293.0,0.0,0.0,90.9,4.0,38.0,7.33,7.33
1986,1986-09-28,22.307,17.0,27.0,62.96,139.0,0.0,0.0,76.0,1.0,4.0,5.15,5.15
1986,1986-10-05,22.314,14.0,23.0,60.87,186.0,1.0,0.0,101.0,3.0,24.0,8.09,8.96
