Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1973,1973-09-16,22.009,6.0,22.0,27.27,56.0,1.0,1.0,35.8,5.0,52.0,2.55,1.41
1973,1973-09-23,22.016,12.0,23.0,52.17,176.0,1.0,4.0,52.4,1.0,15.0,7.65,0.7
1973,1973-09-30,22.023000000000003,7.0,16.0,43.75,91.0,1.0,4.0,43.5,,,5.69,-4.31
1973,1973-10-07,22.03,8.0,19.0,42.11,109.0,1.0,0.0,78.6,3.0,28.0,5.74,6.79
1973,1973-10-14,22.037,7.0,15.0,46.67,71.0,0.0,2.0,21.1,1.0,11.0,4.73,-1.27
1973,1973-10-28,22.051,0.0,2.0,0.0,0.0,0.0,0.0,39.6,1.0,2.0,0.0,0.0
1973,1973-11-11,22.065,3.0,11.0,27.27,36.0,0.0,1.0,2.8,3.0,18.0,3.27,-0.82
1973,1973-11-18,22.072,0.0,0.0,,0.0,0.0,0.0,,,,,
1974,1974-09-15,23.008000000000003,8.0,17.0,47.06,100.0,0.0,2.0,26.2,6.0,54.0,5.88,0.59
1974,1974-09-22,23.015,7.0,16.0,43.75,88.0,1.0,1.0,56.2,1.0,11.0,5.5,3.94
1974,1974-09-29,23.022,12.0,22.0,54.55,141.0,1.0,1.0,70.5,1.0,8.0,6.41,5.27
1974,1974-10-06,23.029,22.0,41.0,53.66,215.0,0.0,1.0,58.5,5.0,35.0,5.24,4.15
1974,1974-10-13,23.035999999999998,6.0,16.0,37.5,44.0,0.0,1.0,19.8,5.0,43.0,2.75,-0.06
1974,1974-10-20,23.043000000000003,11.0,17.0,64.71,106.0,1.0,0.0,101.6,2.0,17.0,6.24,7.41
1974,1974-10-27,23.05,7.0,17.0,41.18,73.0,0.0,0.0,54.3,2.0,15.0,4.29,4.29
1974,1974-11-03,23.057,9.0,18.0,50.0,108.0,0.0,1.0,45.6,2.0,26.0,6.0,3.5
1974,1974-12-01,23.085,11.0,27.0,40.74,170.0,0.0,1.0,46.8,8.0,72.0,6.3,4.63
1974,1974-12-08,23.092,14.0,26.0,53.85,180.0,1.0,0.0,88.6,3.0,35.0,6.92,7.69
1974,1974-12-15,23.099,36.0,53.0,67.92,385.0,4.0,4.0,82.7,1.0,12.0,7.26,5.38
1975,1975-09-21,24.014,15.0,24.0,62.5,177.0,2.0,0.0,112.7,4.0,41.0,7.38,9.04
1975,1975-09-28,24.021,21.0,43.0,48.84,307.0,1.0,1.0,70.6,6.0,55.0,7.14,6.56
1975,1975-10-05,24.028000000000002,14.0,25.0,56.0,155.0,2.0,2.0,67.9,1.0,4.0,6.2,4.2
1975,1975-10-12,24.035,11.0,23.0,47.83,155.0,2.0,1.0,80.9,1.0,2.0,6.74,6.52
1975,1975-10-19,24.041999999999998,12.0,24.0,50.0,70.0,0.0,0.0,56.2,6.0,57.0,2.92,2.92
1975,1975-10-26,24.049,17.0,25.0,68.0,209.0,2.0,0.0,120.2,2.0,21.0,8.36,9.96
1975,1975-11-02,24.055999999999997,16.0,26.0,61.54,153.0,2.0,1.0,87.5,5.0,42.0,5.88,5.69
1975,1975-11-09,24.063000000000002,14.0,22.0,63.64,306.0,2.0,1.0,118.6,2.0,22.0,13.91,13.68
1975,1975-11-16,24.07,16.0,22.0,72.73,277.0,3.0,1.0,135.4,,,12.59,13.27
1975,1975-11-23,24.076999999999998,4.0,10.0,40.0,26.0,0.0,0.0,47.9,4.0,24.0,2.6,2.6
1975,1975-11-30,24.084,12.0,13.0,92.31,145.0,1.0,0.0,138.8,1.0,4.0,11.15,12.69
1975,1975-12-07,24.090999999999998,10.0,17.0,58.82,90.0,0.0,0.0,73.2,2.0,17.0,5.29,5.29
1975,1975-12-14,24.098000000000003,23.0,39.0,58.97,232.0,0.0,0.0,76.0,3.0,26.0,5.95,5.95
1975,1975-12-21,24.105,18.0,31.0,58.06,181.0,1.0,1.0,72.1,1.0,10.0,5.84,5.03
1976,1976-09-12,25.005,17.0,23.0,73.91,190.0,2.0,0.0,127.1,2.0,40.0,8.26,10.0
1976,1976-09-19,25.011999999999997,14.0,29.0,48.28,301.0,3.0,3.0,80.5,4.0,31.0,10.38,7.79
1976,1976-09-26,25.019000000000002,13.0,31.0,41.94,237.0,0.0,0.0,68.9,2.0,21.0,7.65,7.65
1976,1976-10-03,25.026,15.0,24.0,62.5,186.0,2.0,0.0,114.2,3.0,25.0,7.75,9.42
1976,1976-10-10,25.033,11.0,14.0,78.57,177.0,1.0,0.0,142.6,2.0,14.0,12.64,14.07
1976,1976-10-17,25.04,13.0,22.0,59.09,207.0,2.0,0.0,120.8,1.0,5.0,9.41,11.23
1976,1976-10-24,25.046999999999997,16.0,27.0,59.26,297.0,2.0,1.0,106.6,1.0,16.0,11.0,10.81
1976,1976-11-01,25.055,19.0,28.0,67.86,197.0,0.0,0.0,87.9,1.0,7.0,7.04,7.04
1976,1976-11-07,25.061,18.0,25.0,72.0,275.0,3.0,1.0,130.8,,,11.0,11.6
1976,1976-11-14,25.068,10.0,25.0,40.0,139.0,1.0,2.0,38.6,5.0,44.0,5.56,2.76
1976,1976-11-22,25.076,13.0,20.0,65.0,234.0,1.0,0.0,121.7,5.0,57.0,11.7,12.7
1976,1976-11-28,25.081999999999997,22.0,32.0,68.75,175.0,3.0,0.0,113.4,,,5.47,7.34
1976,1976-12-04,25.088,13.0,23.0,56.52,241.0,1.0,1.0,89.2,3.0,24.0,10.48,9.39
1976,1976-12-12,25.096,13.0,20.0,65.0,248.0,3.0,1.0,126.7,,,12.4,13.15
1977,1977-09-18,26.011,17.0,26.0,65.38,220.0,1.0,0.0,104.6,,,8.46,9.23
1977,1977-09-25,26.018,9.0,15.0,60.0,78.0,0.0,1.0,46.0,2.0,16.0,5.2,2.2
1977,1977-10-02,26.025,20.0,30.0,66.67,175.0,1.0,0.0,93.1,2.0,21.0,5.83,6.5
1977,1977-10-09,26.031999999999996,18.0,30.0,60.0,205.0,4.0,0.0,120.1,1.0,15.0,6.83,9.5
1977,1977-10-16,26.039,11.0,20.0,55.0,90.0,0.0,0.0,66.7,1.0,10.0,4.5,4.5
1977,1977-10-23,26.046,6.0,18.0,33.33,64.0,0.0,0.0,44.7,5.0,53.0,3.56,3.56
1977,1977-10-30,26.053,10.0,20.0,50.0,170.0,2.0,0.0,112.5,1.0,12.0,8.5,10.5
1977,1977-11-07,26.061,13.0,27.0,48.15,180.0,1.0,2.0,51.5,2.0,17.0,6.67,4.07
1977,1977-11-13,26.066999999999997,12.0,23.0,52.17,180.0,0.0,2.0,41.9,1.0,9.0,7.83,3.91
1977,1977-11-20,26.074,23.0,36.0,63.89,322.0,3.0,1.0,108.8,2.0,7.0,8.94,9.36
1977,1977-11-27,26.081,27.0,46.0,58.7,252.0,1.0,3.0,53.9,3.0,12.0,5.48,2.98
1977,1977-12-05,26.089000000000002,18.0,34.0,52.94,189.0,0.0,0.0,69.4,,,5.56,5.56
1977,1977-12-11,26.095,21.0,38.0,55.26,221.0,1.0,2.0,59.2,2.0,20.0,5.82,3.97
1977,1977-12-18,26.101999999999997,19.0,30.0,63.33,340.0,3.0,0.0,135.4,4.0,29.0,11.33,13.33
1978,1978-10-15,27.038,5.0,6.0,83.33,51.0,0.0,0.0,102.1,1.0,24.0,8.5,8.5
1978,1978-11-06,27.06,10.0,19.0,52.63,191.0,3.0,1.0,105.5,3.0,31.0,10.05,10.84
1978,1978-11-12,27.066,12.0,17.0,70.59,128.0,1.0,0.0,111.9,2.0,7.0,7.53,8.71
1979,1979-09-02,27.36,14.0,26.0,53.85,120.0,0.0,1.0,50.2,2.0,16.0,4.62,2.88
1979,1979-10-21,28.044,8.0,25.0,32.0,164.0,1.0,1.0,52.7,1.0,13.0,6.56,5.56
1979,1979-10-28,28.051,17.0,30.0,56.67,280.0,1.0,1.0,85.4,5.0,37.0,9.33,8.5
1979,1979-11-04,28.058000000000003,4.0,11.0,36.36,79.0,1.0,0.0,92.6,2.0,11.0,7.18,9.0
1980,1980-09-07,29.0,24.0,42.0,57.14,257.0,0.0,1.0,65.3,2.0,18.0,6.12,5.05
1980,1980-09-14,29.006999999999998,19.0,34.0,55.88,250.0,1.0,1.0,76.8,,,7.35,6.62
1980,1980-09-21,29.014,11.0,29.0,37.93,137.0,1.0,0.0,64.9,5.0,36.0,4.72,5.41
1980,1980-09-28,29.021,18.0,25.0,72.0,275.0,3.0,2.0,114.2,,,11.0,9.8
1980,1980-10-05,29.028000000000002,18.0,26.0,69.23,282.0,3.0,0.0,143.4,,,10.85,13.15
1980,1980-10-12,29.035,10.0,21.0,47.62,206.0,1.0,1.0,78.7,,,9.81,8.62
1980,1980-10-19,29.041999999999998,15.0,21.0,71.43,180.0,2.0,2.0,89.5,2.0,20.0,8.57,6.19
1980,1980-10-26,29.049,19.0,43.0,44.19,250.0,1.0,2.0,51.5,12.0,73.0,5.81,4.19
1980,1980-11-02,29.055999999999997,17.0,29.0,58.62,211.0,2.0,2.0,75.5,,,7.28,5.55
1980,1980-11-09,29.063000000000002,27.0,39.0,69.23,289.0,3.0,1.0,105.6,5.0,43.0,7.41,7.79
1980,1980-11-16,29.07,9.0,17.0,52.94,150.0,0.0,3.0,43.4,,,8.82,0.88
1980,1980-11-23,29.076999999999998,2.0,6.0,33.33,24.0,0.0,2.0,6.9,1.0,9.0,4.0,-11.0
1980,1980-12-07,29.090999999999998,21.0,40.0,52.5,249.0,2.0,1.0,78.0,3.0,30.0,6.23,6.1
1980,1980-12-14,29.098000000000003,16.0,35.0,45.71,149.0,1.0,2.0,43.6,1.0,9.0,4.26,2.26
1980,1980-12-21,29.105,22.0,39.0,56.41,225.0,3.0,1.0,88.1,3.0,24.0,5.77,6.15
1981,1981-09-06,29.364,12.0,20.0,60.0,113.0,0.0,0.0,75.6,2.0,16.0,5.65,5.65
1981,1981-09-13,30.006,5.0,11.0,45.45,30.0,0.0,1.0,14.6,1.0,11.0,2.73,-1.36
1981,1981-09-20,30.013,7.0,19.0,36.84,65.0,0.0,1.0,25.1,2.0,17.0,3.42,1.05
1981,1981-09-27,30.02,20.0,27.0,74.07,357.0,3.0,1.0,137.5,1.0,9.0,13.22,13.78
1981,1981-10-04,30.026999999999997,22.0,36.0,61.11,275.0,2.0,1.0,91.8,4.0,30.0,7.64,7.5
1981,1981-10-11,30.034000000000002,22.0,30.0,73.33,310.0,1.0,2.0,89.6,3.0,27.0,10.33,8.0
1981,1981-10-18,30.041,20.0,37.0,54.05,255.0,2.0,2.0,71.3,6.0,59.0,6.89,5.54
1981,1981-10-25,30.048000000000002,17.0,37.0,45.95,249.0,3.0,2.0,72.9,2.0,10.0,6.73,5.92
1981,1981-11-01,30.055,23.0,37.0,62.16,248.0,1.0,2.0,68.3,1.0,8.0,6.7,4.81
