Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1980,1980-12-07,25.322,12.0,18.0,66.67,142.0,2.0,1.0,104.4,1.0,10.0,7.89,7.61
1980,1980-12-14,25.329,8.0,23.0,34.78,84.0,0.0,1.0,28.2,2.0,18.0,3.65,1.7
1980,1980-12-21,25.336,17.0,28.0,60.71,316.0,3.0,0.0,135.4,2.0,15.0,11.29,13.43
1981,1981-09-06,26.229,14.0,26.0,53.85,242.0,2.0,1.0,95.4,3.0,28.0,9.31,9.12
1981,1981-09-13,26.236,12.0,25.0,48.0,99.0,0.0,0.0,58.6,0.0,0.0,3.96,3.96
1981,1981-09-20,26.243000000000002,22.0,41.0,53.66,303.0,1.0,5.0,46.1,3.0,25.0,7.39,2.39
1981,1981-09-27,26.25,16.0,25.0,64.0,239.0,0.0,0.0,95.2,1.0,12.0,9.56,9.56
1981,1981-10-04,26.256999999999998,9.0,20.0,45.0,108.0,0.0,3.0,22.5,0.0,0.0,5.4,-1.35
1981,1981-10-11,26.264,15.0,23.0,65.22,287.0,2.0,0.0,137.4,1.0,9.0,12.48,14.22
1981,1981-10-18,26.271,6.0,12.0,50.0,100.0,1.0,2.0,66.7,0.0,0.0,8.33,2.5
1981,1981-10-25,26.278000000000002,8.0,25.0,32.0,132.0,0.0,3.0,11.2,2.0,10.0,5.28,-0.12
1981,1981-11-01,26.285,13.0,22.0,59.09,190.0,1.0,0.0,102.5,5.0,35.0,8.64,9.55
1981,1981-11-08,26.291999999999998,5.0,14.0,35.71,25.0,0.0,0.0,44.3,1.0,7.0,1.79,1.79
1981,1981-11-15,26.299,6.0,11.0,54.55,39.0,0.0,0.0,62.3,2.0,14.0,3.55,3.55
1981,1981-11-22,26.305999999999997,17.0,22.0,77.27,181.0,2.0,0.0,131.1,0.0,0.0,8.23,10.05
1981,1981-11-26,26.31,4.0,8.0,50.0,38.0,0.0,2.0,24.0,2.0,20.0,4.75,-6.5
1982,1982-09-12,27.235,14.0,30.0,46.67,149.0,0.0,1.0,47.8,3.0,24.0,4.97,3.47
1982,1982-09-19,27.241999999999997,22.0,30.0,73.33,203.0,0.0,1.0,77.5,3.0,21.0,6.77,5.27
1982,1982-11-21,27.305,6.0,11.0,54.55,114.0,1.0,1.0,83.1,5.0,31.0,10.36,8.09
1982,1982-12-12,27.326,9.0,15.0,60.0,134.0,0.0,0.0,89.3,3.0,23.0,8.93,8.93
1982,1982-12-19,27.333000000000002,12.0,26.0,46.15,188.0,2.0,1.0,80.3,2.0,16.0,7.23,7.04
1982,1982-12-26,27.34,14.0,30.0,46.67,181.0,1.0,1.0,63.3,5.0,37.0,6.03,5.2
1982,1983-01-02,27.346999999999998,18.0,27.0,66.67,223.0,3.0,1.0,113.7,2.0,14.0,8.26,8.81
1983,1983-09-04,28.226999999999997,19.0,32.0,59.38,247.0,1.0,0.0,94.1,2.0,20.0,7.72,8.34
1983,1983-09-12,28.235,23.0,30.0,76.67,188.0,1.0,1.0,89.3,2.0,14.0,6.27,5.43
1983,1983-09-18,28.241,20.0,46.0,43.48,330.0,0.0,2.0,50.1,5.0,33.0,7.17,5.22
1983,1983-09-25,28.248,10.0,22.0,45.45,105.0,0.0,4.0,20.3,3.0,13.0,4.77,-3.41
1983,1983-10-02,28.255,17.0,32.0,53.13,173.0,1.0,1.0,66.3,2.0,13.0,5.41,4.63
1983,1983-10-09,28.261999999999997,25.0,45.0,55.56,272.0,1.0,0.0,81.0,5.0,36.0,6.04,6.49
1983,1983-10-16,28.269000000000002,25.0,36.0,69.44,342.0,4.0,1.0,125.0,2.0,7.0,9.5,10.47
1983,1983-10-23,28.276,25.0,43.0,58.14,264.0,1.0,0.0,83.9,4.0,34.0,6.14,6.6
1983,1983-10-30,28.283,27.0,52.0,51.92,365.0,1.0,2.0,65.0,3.0,29.0,7.02,5.67
1983,1983-11-06,28.29,24.0,45.0,53.33,292.0,1.0,2.0,62.5,2.0,16.0,6.49,4.93
1983,1983-11-13,28.296999999999997,23.0,34.0,67.65,244.0,1.0,0.0,98.2,3.0,10.0,7.18,7.76
1983,1983-11-20,28.304000000000002,23.0,40.0,57.5,337.0,2.0,2.0,80.9,3.0,25.0,8.43,7.18
1983,1983-11-27,28.311,21.0,38.0,55.26,311.0,4.0,0.0,117.3,1.0,7.0,8.18,10.29
1983,1983-12-04,28.318,22.0,43.0,51.16,306.0,0.0,2.0,55.0,3.0,22.0,7.12,5.02
1983,1983-12-11,28.325,31.0,41.0,75.61,411.0,4.0,1.0,129.2,1.0,5.0,10.02,10.88
1983,1983-12-18,28.331999999999997,11.0,24.0,45.83,161.0,2.0,0.0,96.0,0.0,0.0,6.71,8.38
1984,1984-10-14,29.268,13.0,22.0,59.09,238.0,2.0,2.0,88.8,0.0,0.0,10.82,8.55
1984,1984-10-21,29.275,12.0,25.0,48.0,124.0,1.0,1.0,59.4,4.0,40.0,4.96,3.96
1984,1984-10-28,29.281999999999996,26.0,46.0,56.52,332.0,2.0,2.0,75.6,2.0,19.0,7.22,6.13
1984,1984-11-04,29.289,8.0,18.0,44.44,86.0,0.0,2.0,19.4,1.0,6.0,4.78,-0.22
1984,1984-11-18,29.303,19.0,37.0,51.35,194.0,1.0,1.0,64.5,4.0,32.0,5.24,4.57
1984,1984-11-25,29.31,18.0,36.0,50.0,286.0,3.0,1.0,93.1,1.0,10.0,7.94,8.36
1984,1984-12-02,29.316999999999997,20.0,38.0,52.63,281.0,1.0,1.0,74.6,6.0,56.0,7.39,6.74
1984,1984-12-09,29.324,18.0,37.0,48.65,312.0,2.0,0.0,95.8,0.0,0.0,8.43,9.51
1984,1984-12-16,29.331,17.0,23.0,73.91,245.0,3.0,0.0,147.6,0.0,0.0,10.65,13.26
1985,1985-09-08,30.230999999999998,22.0,34.0,64.71,397.0,3.0,1.0,121.8,2.0,2.0,11.68,12.12
1985,1985-09-12,30.235,18.0,38.0,47.37,259.0,2.0,0.0,87.5,2.0,18.0,6.82,7.87
1985,1985-09-22,30.245,19.0,38.0,50.0,205.0,0.0,2.0,44.3,3.0,18.0,5.39,3.03
1985,1985-09-29,30.252,8.0,19.0,42.11,116.0,2.0,1.0,75.8,3.0,28.0,6.11,5.84
1985,1985-10-06,30.259,14.0,28.0,50.0,231.0,1.0,1.0,75.1,6.0,50.0,8.25,7.36
1985,1985-10-13,30.266,24.0,36.0,66.67,304.0,2.0,2.0,88.2,4.0,33.0,8.44,7.06
1985,1985-10-20,30.273000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-10-27,30.28,14.0,28.0,50.0,195.0,0.0,0.0,72.8,2.0,15.0,6.96,6.96
1985,1985-11-03,30.287,18.0,33.0,54.55,271.0,2.0,1.0,89.3,3.0,35.0,8.21,8.06
1985,1985-11-10,30.294,22.0,39.0,56.41,259.0,3.0,1.0,91.7,0.0,0.0,6.64,7.03
1985,1985-11-17,30.301,12.0,26.0,46.15,74.0,0.0,0.0,53.0,2.0,19.0,2.85,2.85
1985,1985-11-24,30.308000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-12-01,30.315,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-12-08,30.322,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-12-14,30.328000000000003,1.0,3.0,33.33,25.0,0.0,0.0,64.6,0.0,0.0,8.33,8.33
1985,1985-12-22,30.336,9.0,16.0,56.25,200.0,2.0,0.0,140.6,1.0,5.0,12.5,15.0
1986,1986-09-07,31.23,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-09-14,31.237,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-09-21,31.244,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-09-28,31.250999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-10-05,31.258000000000003,3.0,8.0,37.5,37.0,0.0,0.0,52.6,2.0,4.0,4.63,4.63
1986,1986-10-12,31.265,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-10-19,31.272,6.0,9.0,66.67,97.0,1.0,0.0,139.6,0.0,0.0,10.78,13.0
1986,1986-10-26,31.279,15.0,29.0,51.72,230.0,1.0,1.0,75.4,1.0,8.0,7.93,7.07
1986,1986-11-02,31.285999999999998,21.0,32.0,65.63,287.0,2.0,0.0,115.0,7.0,54.0,8.97,10.22
1986,1986-11-09,31.293000000000003,22.0,41.0,53.66,256.0,3.0,3.0,66.7,2.0,8.0,6.24,4.41
1986,1986-11-16,31.3,18.0,42.0,42.86,179.0,2.0,1.0,61.5,4.0,49.0,4.26,4.14
1986,1986-11-23,31.307,24.0,43.0,55.81,223.0,2.0,2.0,66.3,2.0,14.0,5.19,4.02
1986,1986-11-30,31.314,25.0,50.0,50.0,286.0,1.0,3.0,49.2,3.0,13.0,5.72,3.42
1986,1986-12-14,31.328000000000003,15.0,31.0,48.39,180.0,1.0,0.0,77.4,2.0,16.0,5.81,6.45
1986,1986-12-21,31.335,12.0,23.0,52.17,147.0,0.0,1.0,54.1,2.0,14.0,6.39,4.43
1987,1987-09-13,32.236,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
