Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1989,1989-10-29,23.264,6.0,17.0,35.29,41.0,0.0,1.0,19.5,2.0,20.0,2.41,-0.24
1989,1989-12-03,23.299,24.0,51.0,47.06,230.0,1.0,2.0,50.3,5.0,43.0,4.51,3.14
1989,1989-12-10,23.305999999999997,24.0,39.0,61.54,350.0,2.0,0.0,107.9,0.0,0.0,8.97,10.0
1989,1989-12-17,23.313000000000002,13.0,30.0,43.33,171.0,2.0,1.0,70.3,2.0,12.0,5.7,5.53
1989,1989-12-24,23.32,22.0,48.0,45.83,305.0,0.0,4.0,32.0,0.0,0.0,6.35,2.6
1990,1990-09-09,24.214000000000002,1.0,3.0,33.33,3.0,0.0,0.0,42.4,1.0,13.0,1.0,1.0
1990,1990-09-16,24.221,20.0,38.0,52.63,284.0,2.0,1.0,83.7,1.0,6.0,7.47,7.34
1990,1990-09-23,24.228,12.0,29.0,41.38,139.0,2.0,2.0,50.8,1.0,10.0,4.79,3.07
1990,1990-09-30,24.235,14.0,25.0,56.0,174.0,1.0,2.0,57.7,1.0,7.0,6.96,4.16
1990,1990-10-07,24.241999999999997,11.0,29.0,37.93,121.0,1.0,3.0,23.0,3.0,25.0,4.17,0.21
1990,1990-10-14,24.249000000000002,12.0,18.0,66.67,169.0,1.0,0.0,115.3,2.0,12.0,9.39,10.5
1990,1990-10-21,24.256,14.0,28.0,50.0,169.0,0.0,0.0,68.9,2.0,19.0,6.04,6.04
1990,1990-10-28,24.263,11.0,24.0,45.83,157.0,1.0,0.0,81.4,0.0,0.0,6.54,7.38
1990,1990-11-04,24.27,11.0,24.0,45.83,145.0,2.0,0.0,93.2,0.0,0.0,6.04,7.71
1990,1990-11-11,24.276999999999997,16.0,27.0,59.26,172.0,0.0,0.0,78.0,2.0,13.0,6.37,6.37
1990,1990-11-18,24.284000000000002,21.0,38.0,55.26,203.0,1.0,2.0,57.2,2.0,16.0,5.34,3.5
1990,1990-11-25,24.291,15.0,22.0,68.18,145.0,1.0,2.0,63.6,1.0,5.0,6.59,3.41
1990,1990-12-02,24.298000000000002,14.0,27.0,51.85,220.0,2.0,1.0,88.5,0.0,0.0,8.15,7.96
1990,1990-12-16,24.311999999999998,26.0,51.0,50.98,308.0,1.0,1.0,68.1,1.0,10.0,6.04,5.55
1990,1990-12-23,24.319000000000003,18.0,27.0,66.67,165.0,1.0,2.0,64.6,2.0,14.0,6.11,3.52
1991,1991-10-27,25.261999999999997,5.0,5.0,100.0,45.0,0.0,0.0,104.2,1.0,4.0,9.0,9.0
1991,1991-11-03,25.269000000000002,11.0,22.0,50.0,120.0,2.0,0.0,96.8,0.0,0.0,5.45,7.27
1991,1991-11-10,25.276,14.0,31.0,45.16,243.0,2.0,1.0,80.4,5.0,23.0,7.84,7.68
1991,1991-11-17,25.283,1.0,2.0,50.0,24.0,0.0,0.0,93.7,0.0,0.0,12.0,12.0
1991,1991-12-01,25.296999999999997,8.0,19.0,42.11,95.0,0.0,1.0,36.1,1.0,2.0,5.0,2.63
1991,1991-12-08,25.304000000000002,1.0,3.0,33.33,4.0,0.0,0.0,42.4,0.0,0.0,1.33,1.33
1991,1991-12-15,25.311,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-10-18,26.254,5.0,10.0,50.0,60.0,0.0,0.0,68.7,2.0,7.0,6.0,6.0
1992,1992-11-01,26.268,6.0,11.0,54.55,86.0,1.0,0.0,110.4,0.0,0.0,7.82,9.64
1992,1992-11-09,26.276,16.0,25.0,64.0,178.0,0.0,3.0,45.5,2.0,13.0,7.12,1.72
1992,1992-11-15,26.281999999999996,16.0,24.0,66.67,209.0,2.0,1.0,104.3,4.0,17.0,8.71,8.5
1992,1992-11-22,26.289,8.0,23.0,34.78,47.0,0.0,1.0,25.5,1.0,8.0,2.04,0.09
1992,1992-11-29,26.296,9.0,18.0,50.0,107.0,2.0,0.0,105.6,1.0,9.0,5.94,8.17
1992,1992-12-03,26.3,6.0,11.0,54.55,55.0,0.0,0.0,68.4,5.0,34.0,5.0,5.0
1992,1992-12-13,26.31,3.0,4.0,75.0,15.0,0.0,0.0,80.2,0.0,0.0,3.75,3.75
1992,1992-12-21,26.318,4.0,5.0,80.0,30.0,0.0,0.0,91.7,1.0,10.0,6.0,6.0
1993,1993-09-27,27.232,5.0,13.0,38.46,64.0,0.0,2.0,15.1,1.0,2.0,4.92,-2.0
1993,1993-10-03,27.238000000000003,8.0,13.0,61.54,69.0,0.0,0.0,75.5,1.0,8.0,5.31,5.31
1993,1993-10-14,27.249000000000002,18.0,34.0,52.94,213.0,3.0,1.0,89.5,1.0,5.0,6.26,6.71
1993,1993-10-24,27.259,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1993,1993-12-19,27.315,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1993,1993-12-26,27.322,3.0,5.0,60.0,52.0,0.0,1.0,55.8,0.0,0.0,10.4,1.4
1993,1994-01-02,27.329,5.0,8.0,62.5,66.0,0.0,1.0,49.0,0.0,0.0,8.25,2.63
1994,1994-10-13,28.248,9.0,17.0,52.94,115.0,1.0,1.0,69.5,2.0,14.0,6.76,5.29
1994,1994-10-24,28.259,5.0,11.0,45.45,67.0,0.0,0.0,65.3,1.0,1.0,6.09,6.09
