Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2001,2001-12-09,25.225,0.0,3.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2003,2003-09-14,27.139,6.0,9.0,66.67,61.0,0.0,1.0,46.3,2.0,13.0,6.78,1.78
2003,2003-10-12,27.166999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2003,2003-10-19,27.174,1.0,2.0,50.0,50.0,1.0,0.0,135.4,0.0,0.0,25.0,35.0
2003,2003-11-09,27.195,2.0,2.0,100.0,22.0,0.0,0.0,112.5,0.0,0.0,11.0,11.0
2003,2003-11-23,27.209,9.0,15.0,60.0,117.0,1.0,0.0,106.8,0.0,0.0,7.8,9.13
2003,2003-12-01,27.217,,,,,,,,0.0,,,
2003,2003-12-14,27.23,26.0,41.0,63.41,295.0,2.0,0.0,101.2,4.0,32.0,7.2,8.17
2004,2004-09-26,28.151,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2004,2004-10-03,28.158,39.0,58.0,67.24,279.0,2.0,0.0,89.7,3.0,21.0,4.81,5.5
2004,2004-10-24,28.179000000000002,17.0,36.0,47.22,190.0,0.0,3.0,28.7,2.0,10.0,5.28,1.53
2004,2004-10-31,28.186,21.0,32.0,65.63,210.0,2.0,1.0,91.9,2.0,15.0,6.56,6.41
2004,2004-11-14,28.2,27.0,44.0,61.36,334.0,2.0,1.0,90.5,3.0,16.0,7.59,7.48
2004,2004-12-05,28.221,21.0,35.0,60.0,269.0,3.0,2.0,88.9,7.0,44.0,7.69,6.83
2004,2004-12-13,28.229,29.0,43.0,67.44,426.0,4.0,0.0,130.6,5.0,47.0,9.91,11.77
2004,2004-12-19,28.235,40.0,60.0,66.67,492.0,4.0,1.0,107.1,3.0,26.0,8.2,8.78
2004,2004-12-25,28.241,8.0,20.0,40.0,111.0,0.0,2.0,19.0,5.0,37.0,5.55,1.05
2004,2005-01-02,28.249000000000002,16.0,28.0,57.14,175.0,1.0,0.0,87.6,0.0,0.0,6.25,6.96
2005,2005-09-11,29.136,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
2005,2005-10-09,29.164,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-10-23,29.178,18.0,32.0,56.25,198.0,1.0,1.0,72.1,3.0,11.0,6.19,5.41
2005,2005-12-04,29.22,4.0,6.0,66.67,30.0,0.0,0.0,78.5,2.0,10.0,5.0,5.0
2005,2005-12-24,29.24,14.0,24.0,58.33,132.0,1.0,0.0,87.5,4.0,24.0,5.5,6.33
2005,2006-01-01,29.248,14.0,25.0,56.0,114.0,2.0,0.0,94.4,0.0,0.0,4.56,6.16
2006,2006-12-31,30.247,1.0,2.0,50.0,4.0,0.0,0.0,56.2,1.0,6.0,2.0,2.0
2007,2007-10-07,31.162,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-12-09,31.225,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,-22.5
2007,2007-12-16,31.232,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2007,2007-12-24,31.24,1.0,3.0,33.33,1.0,0.0,0.0,42.4,1.0,0.0,0.33,0.33
2007,2007-12-30,31.246,2.0,4.0,50.0,5.0,0.0,0.0,56.2,0.0,0.0,1.25,1.25
2009,2009-10-25,33.18,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2009,2009-11-29,33.215,1.0,1.0,100.0,15.0,0.0,0.0,118.7,0.0,0.0,15.0,15.0
2009,2009-12-25,33.241,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2009,2010-01-03,33.25,19.0,30.0,63.33,216.0,1.0,1.0,82.1,1.0,1.0,7.2,6.37
2010,2010-09-19,34.144,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2010,2010-10-03,34.158,1.0,1.0,100.0,8.0,0.0,0.0,100.0,0.0,0.0,8.0,8.0
2010,2010-12-16,34.232,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2011,2011-12-05,35.221,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2011,2011-12-11,35.227,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
