Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2011,2011-09-18,21.338,5.0,6.0,83.33,52.0,0.0,0.0,102.8,1.0,10.0,8.67,8.67
2011,2011-09-25,21.345,12.0,21.0,57.14,139.0,1.0,1.0,73.3,2.0,10.0,6.62,5.43
2011,2011-10-02,21.351999999999997,16.0,42.0,38.1,196.0,1.0,1.0,51.3,3.0,26.0,4.67,4.07
2011,2011-10-09,21.359,15.0,28.0,53.57,221.0,1.0,0.0,91.5,3.0,21.0,7.89,8.61
2011,2011-10-16,22.000999999999998,12.0,26.0,46.15,109.0,1.0,0.0,70.8,5.0,33.0,4.19,4.96
2011,2011-10-24,22.009,9.0,20.0,45.0,93.0,0.0,0.0,59.0,4.0,20.0,4.65,4.65
2011,2011-10-30,22.015,10.0,30.0,33.33,97.0,1.0,2.0,26.7,1.0,7.0,3.23,0.9
2011,2011-11-13,22.029,14.0,21.0,66.67,118.0,1.0,1.0,77.1,2.0,8.0,5.62,4.43
2011,2011-11-20,22.035999999999998,22.0,41.0,53.66,210.0,0.0,0.0,68.1,1.0,15.0,5.12,5.12
2011,2011-11-27,22.043000000000003,13.0,29.0,44.83,136.0,0.0,1.0,44.6,6.0,35.0,4.69,3.14
2011,2011-12-05,22.051,19.0,33.0,57.58,195.0,2.0,1.0,82.3,2.0,18.0,5.91,5.76
2011,2011-12-11,22.057,19.0,33.0,57.58,217.0,2.0,2.0,72.4,1.0,8.0,6.58,5.06
2011,2011-12-15,22.061,12.0,22.0,54.55,141.0,1.0,1.0,70.5,5.0,50.0,6.41,5.27
2011,2011-12-24,22.07,21.0,42.0,50.0,198.0,0.0,1.0,53.5,1.0,11.0,4.71,3.64
2011,2012-01-01,22.078000000000003,11.0,19.0,57.89,92.0,1.0,0.0,88.0,3.0,21.0,4.84,5.89
2012,2012-09-09,22.33,23.0,39.0,58.97,260.0,2.0,0.0,96.1,2.0,18.0,6.67,7.69
2012,2012-09-16,22.337,7.0,19.0,36.84,53.0,1.0,0.0,62.8,3.0,24.0,2.79,3.84
2012,2012-09-23,22.344,10.0,21.0,47.62,155.0,1.0,0.0,88.4,1.0,7.0,7.38,8.33
2012,2012-09-30,22.351,23.0,34.0,67.65,186.0,1.0,1.0,78.8,6.0,43.0,5.47,4.74
2012,2012-10-07,22.358,17.0,33.0,51.52,142.0,0.0,2.0,37.7,3.0,13.0,4.3,1.58
