Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2014,2014-09-21,22.146,14.0,24.0,58.33,223.0,2.0,2.0,82.5,1.0,6.0,9.29,7.21
2014,2014-09-28,22.153000000000002,29.0,37.0,78.38,254.0,1.0,2.0,81.8,3.0,19.0,6.86,4.97
2014,2014-10-05,22.16,22.0,36.0,61.11,191.0,0.0,2.0,52.0,1.0,4.0,5.31,2.81
2014,2014-10-12,22.166999999999998,32.0,46.0,69.57,336.0,1.0,1.0,88.7,6.0,39.0,7.3,6.76
2014,2014-10-19,22.174,17.0,31.0,54.84,159.0,1.0,3.0,40.3,2.0,8.0,5.13,1.42
2014,2014-10-26,22.180999999999997,18.0,34.0,52.94,221.0,1.0,2.0,58.6,4.0,20.0,6.5,4.44
2014,2014-11-02,22.188000000000002,22.0,33.0,66.67,247.0,2.0,1.0,96.4,2.0,14.0,7.48,7.33
2014,2014-11-09,22.195,22.0,37.0,59.46,290.0,0.0,1.0,73.0,4.0,28.0,7.84,6.62
2014,2014-11-23,22.209,15.0,27.0,55.56,146.0,0.0,1.0,55.5,4.0,32.0,5.41,3.74
2014,2014-11-30,22.215999999999998,21.0,35.0,60.0,194.0,1.0,0.0,84.7,7.0,54.0,5.54,6.11
2014,2014-12-07,22.223000000000003,20.0,39.0,51.28,205.0,1.0,1.0,64.6,4.0,17.0,5.26,4.62
2014,2014-12-14,22.23,21.0,37.0,56.76,210.0,0.0,1.0,61.8,8.0,63.0,5.68,4.46
2014,2014-12-18,22.234,13.0,26.0,50.0,115.0,1.0,0.0,75.0,4.0,13.0,4.42,5.19
2014,2014-12-28,22.244,14.0,33.0,42.42,117.0,0.0,0.0,52.2,5.0,28.0,3.55,3.55
2015,2015-09-13,23.138,22.0,40.0,55.0,183.0,1.0,2.0,54.5,5.0,14.0,4.58,2.83
2015,2015-09-20,23.145,18.0,33.0,54.55,273.0,2.0,0.0,102.2,0.0,0.0,8.27,9.48
2015,2015-09-27,23.151999999999997,17.0,33.0,51.52,242.0,2.0,1.0,83.1,2.0,6.0,7.33,7.18
2015,2015-10-04,23.159000000000002,28.0,50.0,56.0,298.0,1.0,0.0,80.2,1.0,9.0,5.96,6.36
2015,2015-10-11,23.166,23.0,33.0,69.7,303.0,4.0,1.0,125.4,6.0,33.0,9.18,10.24
2015,2015-10-18,23.173000000000002,30.0,53.0,56.6,331.0,3.0,3.0,70.6,3.0,20.0,6.25,4.83
2015,2015-10-25,23.18,13.0,29.0,44.83,182.0,2.0,1.0,74.2,2.0,7.0,6.28,6.1
2015,2015-11-08,23.194000000000003,24.0,40.0,60.0,381.0,2.0,2.0,87.6,6.0,43.0,9.53,8.28
2015,2015-11-15,23.201,22.0,45.0,48.89,188.0,2.0,1.0,65.8,3.0,20.0,4.18,4.07
2015,2015-11-19,23.205,21.0,30.0,70.0,242.0,1.0,1.0,91.3,4.0,24.0,8.07,7.23
2015,2015-11-29,23.215,30.0,49.0,61.22,329.0,2.0,1.0,86.2,2.0,11.0,6.71,6.61
2015,2015-12-06,23.221999999999998,24.0,36.0,66.67,322.0,5.0,0.0,134.5,2.0,20.0,8.94,11.72
2015,2015-12-13,23.229,16.0,30.0,53.33,250.0,3.0,0.0,114.6,3.0,24.0,8.33,10.33
2015,2015-12-20,23.236,23.0,38.0,60.53,297.0,1.0,1.0,82.9,2.0,12.0,7.82,7.16
2015,2015-12-27,23.243000000000002,27.0,35.0,77.14,368.0,4.0,2.0,124.5,2.0,21.0,10.51,10.23
2015,2016-01-03,23.25,17.0,32.0,53.13,239.0,0.0,2.0,51.4,8.0,56.0,7.47,4.66
2016,2016-09-11,24.136,24.0,39.0,61.54,320.0,1.0,1.0,85.4,3.0,20.0,8.21,7.56
2016,2016-09-18,24.143,31.0,50.0,62.0,329.0,2.0,2.0,77.8,2.0,10.0,6.58,5.58
2016,2016-09-25,24.15,24.0,38.0,63.16,194.0,2.0,3.0,60.6,4.0,26.0,5.11,2.61
2016,2016-10-02,24.156999999999996,19.0,33.0,57.58,207.0,2.0,0.0,96.4,3.0,12.0,6.27,7.48
2016,2016-10-16,24.171,20.0,33.0,60.61,271.0,1.0,1.0,84.3,2.0,8.0,8.21,7.45
2016,2016-10-23,24.178,23.0,43.0,53.49,246.0,1.0,2.0,58.9,1.0,7.0,5.72,4.09
2016,2016-10-27,24.182,33.0,54.0,61.11,337.0,3.0,0.0,97.5,2.0,15.0,6.24,7.35
2016,2016-11-06,24.191999999999997,22.0,41.0,53.66,252.0,2.0,1.0,78.5,2.0,8.0,6.15,6.02
2016,2016-11-13,24.199,32.0,49.0,65.31,265.0,2.0,1.0,84.1,2.0,18.0,5.41,5.31
2016,2016-11-20,24.206,22.0,35.0,62.86,202.0,2.0,2.0,73.7,0.0,0.0,5.77,4.34
2016,2016-11-27,24.213,13.0,26.0,50.0,126.0,2.0,0.0,89.6,2.0,8.0,4.85,6.38
2016,2016-12-04,24.22,19.0,42.0,45.24,181.0,0.0,2.0,37.9,1.0,2.0,4.31,2.17
2016,2016-12-11,24.226999999999997,23.0,37.0,62.16,257.0,1.0,0.0,91.8,4.0,27.0,6.95,7.49
2016,2016-12-18,24.234,12.0,28.0,42.86,92.0,0.0,1.0,36.6,2.0,9.0,3.29,1.68
2016,2016-12-24,24.24,26.0,38.0,68.42,325.0,1.0,0.0,103.5,2.0,14.0,8.55,9.08
2016,2017-01-01,24.248,25.0,39.0,64.1,301.0,1.0,0.0,96.2,2.0,13.0,7.72,8.23
2017,2017-09-10,25.135,11.0,21.0,52.38,125.0,1.0,0.0,86.4,0.0,0.0,5.95,6.9
2017,2017-09-17,25.142,20.0,34.0,58.82,223.0,1.0,2.0,63.7,2.0,12.0,6.56,4.5
2017,2017-09-24,25.149,20.0,31.0,64.52,244.0,4.0,0.0,128.2,0.0,0.0,7.87,10.45
2017,2017-10-01,25.156,15.0,35.0,42.86,140.0,1.0,1.0,52.1,1.0,4.0,4.0,3.29
2017,2017-10-08,25.163,8.0,14.0,57.14,95.0,0.0,1.0,48.2,2.0,13.0,6.79,3.57
2017,2017-10-15,25.17,23.0,35.0,65.71,241.0,1.0,1.0,83.2,5.0,21.0,6.89,6.17
2017,2017-10-22,25.177,18.0,26.0,69.23,330.0,1.0,0.0,124.7,1.0,0.0,12.69,13.46
2017,2017-11-05,25.191,24.0,38.0,63.16,259.0,1.0,0.0,91.9,0.0,0.0,6.82,7.34
2017,2017-11-12,25.198,28.0,51.0,54.9,273.0,1.0,2.0,60.3,3.0,10.0,5.35,3.98
2017,2017-11-19,25.205,17.0,30.0,56.67,154.0,1.0,0.0,81.8,2.0,9.0,5.13,5.8
2017,2017-11-26,25.212,19.0,33.0,57.58,160.0,0.0,1.0,57.6,3.0,32.0,4.85,3.48
2017,2017-12-03,25.219,26.0,35.0,74.29,309.0,2.0,0.0,119.8,1.0,8.0,8.83,9.97
2017,2017-12-10,25.226,18.0,27.0,66.67,268.0,2.0,0.0,123.7,0.0,0.0,9.93,11.41
2017,2017-12-17,25.233,21.0,29.0,72.41,326.0,3.0,0.0,143.7,1.0,0.0,11.24,13.31
2017,2017-12-24,25.24,32.0,50.0,64.0,382.0,2.0,3.0,75.6,1.0,2.0,7.64,5.74
2017,2017-12-31,25.247,15.0,34.0,44.12,158.0,0.0,2.0,33.7,2.0,12.0,4.65,2.0
2018,2018-09-09,26.134,18.0,33.0,54.55,176.0,1.0,1.0,67.2,1.0,8.0,5.33,4.58
2018,2018-09-16,26.141,29.0,45.0,64.44,376.0,4.0,1.0,111.0,0.0,0.0,8.36,9.13
2018,2018-09-23,26.148000000000003,21.0,34.0,61.76,155.0,0.0,0.0,72.5,3.0,10.0,4.56,4.56
2018,2018-09-30,26.155,29.0,38.0,76.32,388.0,2.0,1.0,114.8,2.0,11.0,10.21,10.08
2018,2018-10-07,26.162,33.0,61.0,54.1,430.0,1.0,4.0,54.7,5.0,29.0,7.05,4.43
2018,2018-10-14,26.169,15.0,26.0,57.69,149.0,1.0,1.0,70.8,3.0,10.0,5.73,4.77
2018,2018-10-21,26.176,6.0,12.0,50.0,61.0,0.0,0.0,64.9,0.0,0.0,5.08,5.08
2018,2018-10-28,26.183000000000003,24.0,41.0,58.54,286.0,1.0,0.0,88.1,4.0,21.0,6.98,7.46
2018,2018-11-11,26.197,26.0,38.0,68.42,320.0,2.0,0.0,111.7,0.0,0.0,8.42,9.47
2018,2018-11-18,26.204,10.0,18.0,55.56,104.0,0.0,0.0,72.5,6.0,40.0,5.78,5.78
2018,2018-11-25,26.211,12.0,23.0,52.17,127.0,1.0,2.0,46.8,3.0,20.0,5.52,2.48
2018,2018-12-23,26.239,5.0,6.0,83.33,39.0,0.0,0.0,93.7,1.0,6.0,6.5,6.5
2018,2018-12-30,26.246,15.0,28.0,53.57,107.0,0.0,1.0,47.8,3.0,18.0,3.82,2.21
2019,2019-10-20,27.175,,,,,,,,,,,
2019,2019-11-10,27.195999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2019,2019-12-01,27.217,1.0,2.0,50.0,3.0,0.0,0.0,56.2,0.0,0.0,1.5,1.5
