Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1982,1982-12-26,24.112,1.0,1.0,100.0,7.0,0.0,0.0,95.8,0.0,0.0,7.0,7.0
1987,1987-10-05,29.03,12.0,21.0,57.14,150.0,0.0,0.0,79.5,2.0,11.0,7.14,7.14
1987,1987-10-11,29.035999999999998,4.0,8.0,50.0,79.0,1.0,1.0,84.9,2.0,11.0,9.88,6.75
1987,1987-12-20,29.105999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-09-10,31.005,7.0,20.0,35.0,116.0,0.0,0.0,55.4,2.0,17.0,5.8,5.8
1989,1989-09-17,31.011999999999997,21.0,31.0,67.74,344.0,1.0,3.0,75.9,4.0,29.0,11.1,7.39
1989,1989-09-24,31.019000000000002,9.0,19.0,47.37,126.0,0.0,3.0,29.6,4.0,19.0,6.63,-0.47
1989,1989-10-01,31.026,4.0,16.0,25.0,75.0,0.0,1.0,20.6,1.0,2.0,4.69,1.88
1989,1989-10-08,31.033,4.0,9.0,44.44,40.0,0.0,0.0,57.6,3.0,20.0,4.44,4.44
1989,1989-11-19,31.075,8.0,19.0,42.11,88.0,0.0,2.0,16.9,1.0,10.0,4.63,-0.11
1989,1989-11-23,31.079,9.0,19.0,47.37,143.0,1.0,0.0,90.5,4.0,18.0,7.53,8.58
1989,1989-12-03,31.089000000000002,6.0,13.0,46.15,166.0,1.0,0.0,118.3,0.0,0.0,12.77,14.31
1989,1989-12-10,31.096,13.0,23.0,56.52,168.0,0.0,1.0,61.5,0.0,0.0,7.3,5.35
1989,1989-12-17,31.103,19.0,33.0,57.58,192.0,2.0,1.0,81.9,3.0,22.0,5.82,5.67
1989,1989-12-24,31.11,17.0,30.0,56.67,213.0,1.0,1.0,76.1,3.0,16.0,7.1,6.27
1990,1990-09-09,32.004,4.0,10.0,40.0,61.0,1.0,2.0,54.6,1.0,5.0,6.1,-0.9
1990,1990-09-16,32.010999999999996,1.0,3.0,33.33,23.0,0.0,0.0,61.8,1.0,0.0,7.67,7.67
1990,1990-10-07,32.032,16.0,31.0,51.61,299.0,3.0,2.0,90.7,3.0,20.0,9.65,8.68
1990,1990-10-14,32.039,8.0,17.0,47.06,156.0,1.0,1.0,74.6,3.0,22.0,9.18,7.71
1990,1990-11-04,32.06,5.0,11.0,45.45,68.0,0.0,0.0,65.7,1.0,8.0,6.18,6.18
1990,1990-11-11,32.067,8.0,13.0,61.54,84.0,1.0,2.0,66.3,0.0,0.0,6.46,1.08
1990,1990-11-18,32.074,17.0,25.0,68.0,123.0,0.0,1.0,62.6,3.0,21.0,4.92,3.12
1990,1990-11-22,32.078,18.0,30.0,60.0,248.0,3.0,1.0,106.0,0.0,0.0,8.27,8.77
1990,1990-12-02,32.088,10.0,19.0,52.63,128.0,1.0,1.0,69.6,1.0,7.0,6.74,5.42
1991,1991-09-08,33.003,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1991,1991-11-24,33.08,9.0,22.0,40.91,76.0,0.0,1.0,31.6,3.0,22.0,3.45,1.41
1992,1992-09-06,34.001,7.0,20.0,35.0,55.0,0.0,2.0,4.2,5.0,50.0,2.75,-1.75
1992,1992-09-20,34.015,3.0,7.0,42.86,78.0,0.0,1.0,44.6,0.0,0.0,11.14,4.71
1992,1992-11-01,34.056999999999995,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-12-13,34.099000000000004,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-12-27,34.113,9.0,15.0,60.0,125.0,0.0,0.0,86.8,0.0,0.0,8.33,8.33
