Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1985,1985-11-17,25.09,18.0,36.0,50.0,186.0,0.0,0.0,65.3,6.0,61.0,5.17,5.17
1985,1985-11-24,25.096999999999998,10.0,14.0,71.43,147.0,1.0,1.0,99.4,1.0,10.0,10.5,8.71
1985,1985-12-01,25.104,13.0,22.0,59.09,208.0,1.0,0.0,105.9,2.0,12.0,9.45,10.36
1985,1985-12-08,25.111,19.0,39.0,48.72,225.0,1.0,2.0,53.9,2.0,17.0,5.77,3.97
1985,1985-12-15,25.118000000000002,20.0,34.0,58.82,254.0,1.0,0.0,92.0,5.0,40.0,7.47,8.06
1985,1985-12-22,25.125,17.0,36.0,47.22,188.0,1.0,1.0,60.9,1.0,10.0,5.22,4.53
1986,1986-09-07,26.019000000000002,13.0,33.0,39.39,115.0,0.0,2.0,24.2,2.0,14.0,3.48,0.76
1986,1986-09-14,26.026,9.0,14.0,64.29,200.0,1.0,2.0,92.0,1.0,9.0,14.29,9.29
1986,1986-09-21,26.033,0.0,0.0,,0.0,0.0,0.0,,1.0,8.0,,
1986,1986-12-14,26.116999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1986,1986-12-21,26.124000000000002,19.0,32.0,59.38,183.0,1.0,4.0,46.2,1.0,3.0,5.72,0.72
1987,1987-09-13,27.025,13.0,22.0,59.09,149.0,2.0,0.0,109.8,1.0,2.0,6.77,8.59
1987,1987-09-20,27.031999999999996,14.0,32.0,43.75,127.0,1.0,3.0,26.4,2.0,11.0,3.97,0.38
1987,1987-10-25,27.066999999999997,14.0,27.0,51.85,202.0,0.0,1.0,61.0,0.0,0.0,7.48,5.81
1987,1987-11-01,27.074,16.0,26.0,61.54,171.0,1.0,0.0,93.6,1.0,5.0,6.58,7.35
1987,1987-11-08,27.081,12.0,20.0,60.0,188.0,2.0,1.0,103.7,0.0,0.0,9.4,9.15
1987,1987-11-15,27.088,10.0,27.0,37.04,181.0,1.0,1.0,57.8,3.0,25.0,6.7,5.78
1987,1987-11-22,27.095,17.0,27.0,62.96,194.0,1.0,1.0,81.4,3.0,19.0,7.19,6.26
1987,1987-11-29,27.101999999999997,14.0,23.0,60.87,154.0,1.0,1.0,77.1,2.0,10.0,6.7,5.61
1987,1987-12-06,27.109,16.0,24.0,66.67,255.0,2.0,0.0,129.7,1.0,7.0,10.63,12.29
1987,1987-12-13,27.116,15.0,27.0,55.56,254.0,3.0,0.0,124.6,3.0,14.0,9.41,11.63
1987,1987-12-20,27.123,7.0,16.0,43.75,84.0,0.0,0.0,60.4,2.0,14.0,5.25,5.25
1987,1987-12-27,27.13,16.0,23.0,69.57,160.0,1.0,1.0,85.4,2.0,12.0,6.96,5.87
1988,1988-09-04,28.016,22.0,31.0,70.97,245.0,4.0,2.0,106.9,5.0,48.0,7.9,7.58
1988,1988-09-11,28.023000000000003,20.0,27.0,74.07,222.0,1.0,0.0,110.4,0.0,0.0,8.22,8.96
1988,1988-09-18,28.03,23.0,32.0,71.88,282.0,1.0,1.0,96.1,0.0,0.0,8.81,8.03
1988,1988-09-25,28.037,16.0,28.0,57.14,159.0,1.0,1.0,70.4,1.0,8.0,5.68,4.79
1988,1988-10-03,28.045,17.0,37.0,45.95,273.0,2.0,1.0,77.9,1.0,5.0,7.38,7.24
1988,1988-10-09,28.051,22.0,36.0,61.11,234.0,2.0,0.0,98.6,1.0,3.0,6.5,7.61
1988,1988-10-16,28.058000000000003,16.0,22.0,72.73,185.0,1.0,1.0,93.9,1.0,8.0,8.41,7.27
1988,1988-10-23,28.065,12.0,24.0,50.0,137.0,0.0,0.0,67.5,2.0,10.0,5.71,5.71
1988,1988-10-30,28.072,19.0,37.0,51.35,215.0,1.0,1.0,66.8,2.0,6.0,5.81,5.14
1988,1988-11-06,28.079,19.0,32.0,59.38,279.0,2.0,0.0,108.7,1.0,7.0,8.72,9.97
1988,1988-11-13,28.086,22.0,37.0,59.46,249.0,0.0,2.0,57.2,0.0,0.0,6.73,4.3
1988,1988-11-20,28.093000000000004,20.0,23.0,86.96,194.0,3.0,0.0,141.4,1.0,5.0,8.43,11.04
1988,1988-11-27,28.1,15.0,33.0,45.45,145.0,0.0,3.0,20.4,5.0,45.0,4.39,0.3
1988,1988-12-04,28.107,5.0,20.0,25.0,37.0,0.0,1.0,18.7,1.0,3.0,1.85,-0.4
1988,1988-12-11,28.114,19.0,34.0,55.88,170.0,1.0,1.0,67.0,2.0,15.0,5.0,4.26
1988,1988-12-18,28.121,13.0,25.0,52.0,130.0,1.0,1.0,63.7,1.0,8.0,5.2,4.2
1989,1989-09-10,29.022,16.0,19.0,84.21,153.0,0.0,0.0,100.2,1.0,8.0,8.05,8.05
1989,1989-09-17,29.029,23.0,32.0,71.88,282.0,3.0,1.0,116.9,0.0,0.0,8.81,9.28
1989,1989-09-24,29.035999999999998,15.0,23.0,65.22,169.0,0.0,1.0,68.9,3.0,30.0,7.35,5.39
1989,1989-10-01,29.043000000000003,16.0,25.0,64.0,259.0,1.0,1.0,95.2,2.0,14.0,10.36,9.36
1989,1989-10-08,29.05,31.0,49.0,63.27,308.0,2.0,0.0,94.6,1.0,9.0,6.29,7.1
1989,1989-10-15,29.057,18.0,28.0,64.29,281.0,3.0,1.0,118.3,1.0,5.0,10.04,10.57
1989,1989-10-22,29.064,15.0,22.0,68.18,276.0,3.0,1.0,131.6,1.0,9.0,12.55,13.23
1989,1989-10-29,29.070999999999998,18.0,30.0,60.0,272.0,1.0,1.0,87.1,2.0,11.0,9.07,8.23
