Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1996,1996-09-30,24.01,0.0,0.0,,0.0,0.0,0.0,,1.0,10.0,,
1997,1997-11-10,25.051,8.0,14.0,57.14,94.0,1.0,0.0,101.5,3.0,19.0,6.71,8.14
1997,1997-11-16,25.057,26.0,38.0,68.42,276.0,0.0,0.0,89.4,9.0,66.0,7.26,7.26
1997,1997-11-23,25.064,15.0,31.0,48.39,246.0,2.0,0.0,97.0,3.0,17.0,7.94,9.23
1997,1997-11-30,25.070999999999998,26.0,42.0,61.9,313.0,4.0,1.0,106.5,2.0,2.0,7.45,8.29
1997,1997-12-07,25.078000000000003,16.0,35.0,45.71,209.0,1.0,3.0,38.9,4.0,23.0,5.97,2.69
1997,1997-12-14,25.085,16.0,34.0,47.06,180.0,1.0,1.0,60.9,1.0,9.0,5.29,4.56
1997,1997-12-21,25.092,21.0,31.0,67.74,255.0,2.0,1.0,100.9,6.0,47.0,8.23,8.06
1998,1998-09-06,25.351,9.0,23.0,39.13,60.0,0.0,1.0,29.1,9.0,48.0,2.61,0.65
1998,1998-09-13,25.358,24.0,35.0,68.57,232.0,0.0,0.0,86.8,2.0,11.0,6.63,6.63
1998,1998-09-20,26.0,13.0,23.0,56.52,121.0,0.0,1.0,53.0,1.0,7.0,5.26,3.3
1998,1998-10-04,26.014,11.0,24.0,45.83,96.0,0.0,1.0,39.6,6.0,32.0,4.0,2.13
1998,1998-11-02,26.043000000000003,13.0,39.0,33.33,124.0,0.0,2.0,21.7,3.0,20.0,3.18,0.87
1998,1998-11-08,26.049,15.0,21.0,71.43,97.0,0.0,0.0,80.9,4.0,24.0,4.62,4.62
1998,1998-11-15,26.055999999999997,15.0,31.0,48.39,110.0,0.0,2.0,30.3,4.0,19.0,3.55,0.65
1998,1998-11-22,26.063000000000002,14.0,28.0,50.0,121.0,0.0,2.0,32.0,6.0,24.0,4.32,1.11
1999,1999-10-31,27.041,2.0,3.0,66.67,10.0,0.0,0.0,71.5,0.0,0.0,3.33,3.33
1999,1999-12-19,27.09,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2000,2000-09-17,27.363000000000003,,,,,,,,0.0,,,
2000,2000-09-24,28.004,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2000,2000-10-22,28.031999999999996,,,,,,,,0.0,,,
2000,2000-11-26,28.066999999999997,,,,,,,,0.0,,,
2000,2000-12-24,28.095,,,,,,,,0.0,,,
