Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1984,1984-09-16,23.151999999999997,4.0,7.0,57.14,31.0,0.0,0.0,68.2,0.0,0.0,4.43,4.43
1984,1984-10-01,23.166999999999998,1.0,3.0,33.33,9.0,0.0,0.0,42.4,0.0,0.0,3.0,3.0
1984,1984-10-07,23.173000000000002,13.0,24.0,54.17,159.0,0.0,2.0,40.1,0.0,0.0,6.63,2.88
1984,1984-10-14,23.18,13.0,26.0,50.0,174.0,2.0,0.0,97.3,2.0,20.0,6.69,8.23
1984,1984-10-21,23.186999999999998,1.0,7.0,14.29,4.0,0.0,0.0,39.6,1.0,15.0,0.57,0.57
1984,1984-11-18,23.215,1.0,2.0,50.0,14.0,0.0,1.0,33.3,1.0,11.0,7.0,-15.5
1984,1984-11-25,23.221999999999998,2.0,2.0,100.0,9.0,0.0,0.0,85.4,0.0,0.0,4.5,4.5
1984,1984-12-02,23.229,12.0,20.0,60.0,108.0,1.0,0.0,91.2,1.0,6.0,5.4,6.4
1984,1984-12-09,23.236,1.0,6.0,16.67,1.0,0.0,0.0,39.6,0.0,0.0,0.17,0.17
1984,1984-12-16,23.243000000000002,3.0,5.0,60.0,21.0,0.0,0.0,69.6,0.0,0.0,4.2,4.2
1985,1985-09-15,24.151,7.0,12.0,58.33,85.0,1.0,0.0,108.0,1.0,2.0,7.08,8.75
1985,1985-09-22,24.158,26.0,44.0,59.09,320.0,3.0,2.0,85.4,3.0,24.0,7.27,6.59
1985,1985-09-30,24.166,19.0,27.0,70.37,184.0,3.0,0.0,126.2,3.0,40.0,6.81,9.04
1985,1985-10-06,24.171999999999997,12.0,26.0,46.15,173.0,0.0,1.0,52.2,3.0,33.0,6.65,4.92
1985,1985-10-13,24.179000000000002,15.0,24.0,62.5,193.0,3.0,0.0,127.3,4.0,36.0,8.04,10.54
1985,1985-10-20,24.186,30.0,52.0,57.69,381.0,3.0,3.0,75.9,4.0,29.0,7.33,5.88
1985,1985-10-27,24.193,18.0,29.0,62.07,235.0,1.0,1.0,84.7,1.0,8.0,8.1,7.24
1985,1985-11-03,24.2,11.0,21.0,52.38,193.0,2.0,1.0,95.9,1.0,12.0,9.19,8.95
1985,1985-11-10,24.206999999999997,23.0,33.0,69.7,262.0,1.0,0.0,103.3,1.0,10.0,7.94,8.55
1985,1985-11-17,24.214000000000002,14.0,31.0,45.16,175.0,0.0,0.0,63.2,3.0,29.0,5.65,5.65
1985,1985-11-24,24.221,3.0,5.0,60.0,30.0,0.0,1.0,37.5,3.0,26.0,6.0,-3.0
1985,1985-12-01,24.228,18.0,24.0,75.0,320.0,3.0,0.0,156.2,1.0,3.0,13.33,15.83
1985,1985-12-08,24.235,15.0,25.0,60.0,265.0,3.0,0.0,135.8,0.0,0.0,10.6,13.0
1985,1985-12-15,24.241999999999997,22.0,39.0,56.41,357.0,2.0,2.0,83.0,3.0,35.0,9.15,7.87
1985,1985-12-22,24.249000000000002,18.0,39.0,46.15,270.0,2.0,1.0,75.8,1.0,2.0,6.92,6.79
1986,1986-09-07,25.143,22.0,41.0,53.66,263.0,2.0,1.0,79.6,3.0,40.0,6.41,6.29
1986,1986-09-14,25.15,17.0,29.0,58.62,252.0,2.0,1.0,95.8,1.0,12.0,8.69,8.52
1986,1986-09-18,25.154,12.0,21.0,57.14,152.0,0.0,1.0,60.0,1.0,10.0,7.24,5.1
1986,1986-09-28,25.164,14.0,30.0,46.67,212.0,1.0,4.0,41.9,3.0,23.0,7.07,1.73
1986,1986-10-05,25.171,15.0,24.0,62.5,207.0,3.0,0.0,129.7,3.0,24.0,8.63,11.13
1986,1986-10-13,25.179000000000002,15.0,30.0,50.0,231.0,2.0,1.0,84.2,3.0,20.0,7.7,7.53
1986,1986-10-19,25.185,13.0,25.0,52.0,192.0,1.0,0.0,90.7,1.0,4.0,7.68,8.48
1986,1986-10-26,25.191999999999997,19.0,33.0,57.58,259.0,0.0,1.0,70.1,2.0,10.0,7.85,6.48
1986,1986-11-02,25.199,13.0,27.0,48.15,167.0,0.0,1.0,52.5,1.0,0.0,6.19,4.52
1986,1986-11-09,25.206,19.0,29.0,65.52,272.0,3.0,1.0,115.9,0.0,0.0,9.38,9.9
1986,1986-11-16,25.213,22.0,33.0,66.67,334.0,1.0,1.0,97.3,2.0,14.0,10.12,9.36
1986,1986-11-23,25.22,17.0,25.0,68.0,252.0,1.0,1.0,97.4,1.0,4.0,10.08,9.08
1986,1986-11-30,25.226999999999997,21.0,30.0,70.0,306.0,2.0,1.0,111.2,1.0,4.0,10.2,10.03
1986,1986-12-07,25.234,17.0,31.0,54.84,284.0,1.0,0.0,96.7,0.0,0.0,9.16,9.81
1986,1986-12-14,25.241,14.0,31.0,45.16,151.0,0.0,2.0,33.1,2.0,20.0,4.87,1.97
1986,1986-12-21,25.248,23.0,30.0,76.67,425.0,5.0,1.0,143.8,2.0,9.0,14.17,16.0
1987,1987-09-13,26.149,17.0,26.0,65.38,236.0,2.0,0.0,120.0,2.0,20.0,9.08,10.62
1987,1987-09-20,26.156,14.0,29.0,48.28,180.0,1.0,1.0,65.3,3.0,16.0,6.21,5.34
1987,1987-10-25,26.191,20.0,32.0,62.5,303.0,2.0,2.0,88.4,1.0,11.0,9.47,7.91
