Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1994,1994-09-18,26.005,3.0,3.0,100.0,16.0,0.0,0.0,88.9,0.0,0.0,5.33,5.33
1994,1994-10-10,26.026999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-10-30,26.046999999999997,5.0,5.0,100.0,30.0,0.0,0.0,91.7,0.0,0.0,6.0,6.0
1994,1994-12-17,26.095,14.0,29.0,48.28,104.0,0.0,0.0,57.3,1.0,5.0,3.59,3.59
1995,1995-09-24,27.011,1.0,1.0,100.0,36.0,0.0,0.0,118.7,0.0,0.0,36.0,36.0
1995,1995-10-22,27.039,10.0,17.0,58.82,94.0,0.0,1.0,49.6,0.0,0.0,5.53,2.88
1995,1995-11-19,27.066999999999997,5.0,7.0,71.43,70.0,0.0,0.0,103.3,0.0,0.0,10.0,10.0
1995,1995-12-03,27.081,0.0,0.0,,0.0,0.0,0.0,,1.0,10.0,,
1995,1995-12-09,27.087,9.0,11.0,81.82,72.0,0.0,1.0,56.1,1.0,8.0,6.55,2.45
1996,1996-09-01,27.354,16.0,23.0,69.57,157.0,1.0,0.0,103.0,1.0,7.0,6.83,7.7
1996,1996-09-08,27.361,15.0,26.0,57.69,275.0,2.0,1.0,103.8,1.0,9.0,10.58,10.38
1996,1996-09-22,28.009,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1996,1996-10-28,28.045,10.0,15.0,66.67,79.0,0.0,0.0,79.6,1.0,0.0,5.27,5.27
1996,1996-11-03,28.051,22.0,42.0,52.38,218.0,1.0,2.0,55.5,1.0,8.0,5.19,3.52
1996,1996-11-10,28.058000000000003,8.0,12.0,66.67,123.0,1.0,0.0,128.1,0.0,0.0,10.25,11.92
1996,1996-11-17,28.065,20.0,33.0,60.61,275.0,1.0,2.0,72.2,1.0,12.0,8.33,6.21
1996,1996-11-24,28.072,24.0,35.0,68.57,266.0,2.0,2.0,86.1,2.0,20.0,7.6,6.17
1996,1996-12-01,28.079,19.0,26.0,73.08,238.0,4.0,0.0,140.7,1.0,6.0,9.15,12.23
1996,1996-12-08,28.086,19.0,29.0,65.52,195.0,3.0,0.0,119.2,2.0,22.0,6.72,8.79
1996,1996-12-15,28.093000000000004,25.0,35.0,71.43,221.0,1.0,2.0,73.6,3.0,27.0,6.31,4.31
1996,1996-12-22,28.1,17.0,34.0,50.0,211.0,1.0,1.0,67.2,2.0,8.0,6.21,5.47
1997,1997-08-31,28.351999999999997,17.0,30.0,56.67,218.0,2.0,1.0,87.9,3.0,18.0,7.27,7.1
1997,1997-09-07,28.359,33.0,44.0,75.0,285.0,2.0,1.0,97.3,3.0,24.0,6.48,6.36
1997,1997-09-14,29.000999999999998,29.0,44.0,65.91,334.0,1.0,0.0,96.2,3.0,24.0,7.59,8.05
1997,1997-09-21,29.008000000000003,19.0,34.0,55.88,217.0,3.0,2.0,80.1,3.0,9.0,6.38,5.5
1997,1997-09-28,29.015,17.0,32.0,53.13,221.0,3.0,1.0,93.4,0.0,0.0,6.91,7.38
1997,1997-10-05,29.022,25.0,39.0,64.1,292.0,2.0,2.0,82.4,2.0,20.0,7.49,6.21
1997,1997-10-12,29.029,17.0,34.0,50.0,203.0,2.0,1.0,76.0,0.0,0.0,5.97,5.82
1997,1997-10-26,29.043000000000003,20.0,29.0,68.97,230.0,0.0,0.0,92.6,2.0,16.0,7.93,7.93
1997,1997-11-02,29.05,18.0,31.0,58.06,227.0,1.0,0.0,91.7,1.0,5.0,7.32,7.97
1997,1997-11-09,29.057,22.0,33.0,66.67,203.0,1.0,2.0,68.1,2.0,10.0,6.15,4.03
1997,1997-11-16,29.064,19.0,37.0,51.35,177.0,0.0,1.0,53.5,1.0,3.0,4.78,3.57
1997,1997-11-23,29.070999999999998,24.0,35.0,68.57,312.0,3.0,0.0,124.9,0.0,0.0,8.91,10.63
1997,1997-12-01,29.079,15.0,30.0,50.0,117.0,0.0,1.0,46.1,6.0,35.0,3.9,2.4
1998,1998-09-06,29.358,15.0,25.0,60.0,189.0,4.0,1.0,106.5,1.0,8.0,7.56,8.96
1998,1998-09-13,30.0,18.0,31.0,58.06,208.0,1.0,2.0,62.3,2.0,14.0,6.71,4.45
1998,1998-11-08,30.055999999999997,28.0,38.0,73.68,316.0,1.0,2.0,85.0,1.0,8.0,8.32,6.47
1998,1998-12-20,30.098000000000003,4.0,7.0,57.14,34.0,1.0,0.0,109.5,0.0,0.0,4.86,7.71
1999,1999-09-12,30.364,20.0,33.0,60.61,382.0,2.0,0.0,121.0,2.0,13.0,11.58,12.79
1999,1999-09-19,31.006,20.0,28.0,71.43,231.0,3.0,0.0,131.7,0.0,0.0,8.25,10.39
1999,1999-09-26,31.013,17.0,28.0,60.71,241.0,0.0,0.0,88.5,1.0,4.0,8.61,8.61
1999,1999-10-03,31.02,20.0,33.0,60.61,337.0,4.0,0.0,134.7,3.0,29.0,10.21,12.64
1999,1999-10-17,31.034000000000002,24.0,40.0,60.0,248.0,1.0,2.0,65.4,1.0,5.0,6.2,4.45
1999,1999-10-24,31.041,23.0,35.0,65.71,218.0,2.0,0.0,101.8,1.0,7.0,6.23,7.37
1999,1999-10-31,31.048000000000002,15.0,25.0,60.0,204.0,2.0,0.0,112.7,0.0,0.0,8.16,9.76
1999,1999-11-07,31.055,19.0,37.0,51.35,232.0,1.0,1.0,68.8,2.0,10.0,6.27,5.59
1999,1999-11-14,31.061999999999998,18.0,33.0,54.55,313.0,2.0,3.0,69.4,4.0,19.0,9.48,6.61
1999,1999-11-21,31.069000000000003,17.0,29.0,58.62,158.0,0.0,1.0,59.3,1.0,1.0,5.45,3.9
1999,1999-11-28,31.076,25.0,36.0,69.44,218.0,1.0,1.0,82.9,0.0,0.0,6.06,5.36
1999,1999-12-05,31.083000000000002,26.0,43.0,60.47,249.0,1.0,2.0,65.0,5.0,32.0,5.79,4.16
1999,1999-12-12,31.09,17.0,31.0,54.84,191.0,2.0,2.0,68.1,2.0,11.0,6.16,4.55
1999,1999-12-19,31.096999999999998,16.0,30.0,53.33,237.0,1.0,0.0,90.6,4.0,29.0,7.9,8.57
1999,1999-12-26,31.104,32.0,47.0,68.09,471.0,2.0,1.0,105.9,3.0,17.0,10.02,9.91
1999,2000-01-02,31.111,7.0,11.0,63.64,75.0,0.0,0.0,83.5,0.0,0.0,6.82,6.82
2000,2000-09-03,31.355999999999998,25.0,36.0,69.44,234.0,0.0,0.0,87.0,0.0,0.0,6.5,6.5
2000,2000-09-10,31.363000000000003,23.0,35.0,65.71,245.0,1.0,4.0,56.0,1.0,16.0,7.0,2.43
2000,2000-09-18,32.005,30.0,49.0,61.22,241.0,1.0,1.0,71.9,3.0,17.0,4.92,4.41
2000,2000-09-24,32.010999999999996,14.0,20.0,70.0,289.0,2.0,0.0,145.8,1.0,5.0,14.45,16.45
2000,2000-10-01,32.018,20.0,32.0,62.5,207.0,1.0,0.0,91.5,3.0,22.0,6.47,7.09
2000,2000-10-08,32.025,25.0,36.0,69.44,289.0,0.0,1.0,81.8,3.0,23.0,8.03,6.78
2000,2000-10-15,32.032,18.0,27.0,66.67,158.0,0.0,1.0,66.6,1.0,13.0,5.85,4.19
2000,2000-10-22,32.039,16.0,24.0,66.67,269.0,3.0,1.0,126.6,0.0,0.0,11.21,11.83
2000,2000-10-30,32.047,21.0,40.0,52.5,202.0,2.0,3.0,52.3,3.0,26.0,5.05,2.68
2000,2000-12-03,32.080999999999996,14.0,29.0,48.28,126.0,0.0,2.0,31.7,2.0,8.0,4.34,1.24
2000,2000-12-16,32.094,3.0,5.0,60.0,53.0,0.0,0.0,96.2,1.0,5.0,10.6,10.6
2000,2000-12-24,32.102,19.0,32.0,59.38,192.0,1.0,2.0,60.9,2.0,15.0,6.0,3.81
2001,2001-09-09,32.361,25.0,34.0,73.53,195.0,0.0,1.0,75.0,2.0,3.0,5.74,4.41
2001,2001-09-30,33.016999999999996,20.0,34.0,58.82,224.0,0.0,1.0,66.3,1.0,1.0,6.59,5.26
2001,2001-10-07,33.024,23.0,29.0,79.31,184.0,0.0,0.0,93.1,5.0,30.0,6.34,6.34
2001,2001-10-14,33.031,24.0,50.0,48.0,287.0,3.0,1.0,77.7,1.0,5.0,5.74,6.04
2001,2001-10-21,33.038000000000004,24.0,40.0,60.0,283.0,1.0,1.0,79.5,10.0,69.0,7.08,6.45
2001,2001-10-28,33.045,18.0,25.0,72.0,214.0,2.0,0.0,124.4,1.0,7.0,8.56,10.16
2001,2001-11-04,33.052,18.0,30.0,60.0,177.0,2.0,0.0,98.9,7.0,44.0,5.9,7.23
2001,2001-11-11,33.059,20.0,36.0,55.56,188.0,1.0,0.0,79.4,2.0,13.0,5.22,5.78
2001,2001-11-18,33.066,40.0,56.0,71.43,399.0,0.0,2.0,76.4,2.0,9.0,7.13,5.52
2001,2001-11-26,33.074,21.0,34.0,61.76,185.0,0.0,1.0,64.0,2.0,12.0,5.44,4.12
2001,2001-12-02,33.08,26.0,33.0,78.79,231.0,0.0,0.0,95.8,6.0,32.0,7.0,7.0
2001,2001-12-09,33.086999999999996,31.0,54.0,57.41,305.0,1.0,2.0,64.2,4.0,30.0,5.65,4.35
2001,2001-12-16,33.094,18.0,40.0,45.0,191.0,0.0,2.0,38.6,1.0,14.0,4.78,2.53
2001,2001-12-23,33.101,16.0,31.0,51.61,207.0,3.0,0.0,105.2,0.0,0.0,6.68,8.61
2001,2001-12-29,33.107,13.0,29.0,44.83,90.0,0.0,0.0,52.4,0.0,0.0,3.1,3.1
2001,2002-01-06,33.115,3.0,4.0,75.0,46.0,0.0,0.0,112.5,0.0,0.0,11.5,11.5
2002,2002-09-08,33.36,28.0,52.0,53.85,278.0,2.0,0.0,82.1,3.0,17.0,5.35,6.12
2002,2002-09-15,34.001999999999995,24.0,31.0,77.42,211.0,0.0,0.0,95.0,1.0,6.0,6.81,6.81
2002,2002-09-23,34.01,23.0,32.0,71.88,199.0,1.0,0.0,98.3,1.0,10.0,6.22,6.84
2002,2002-09-29,34.016,19.0,30.0,63.33,277.0,3.0,2.0,98.9,2.0,15.0,9.23,8.23
2002,2002-10-06,34.023,17.0,31.0,54.84,261.0,1.0,1.0,80.2,2.0,8.0,8.42,7.61
2002,2002-10-13,34.03,15.0,32.0,46.88,194.0,0.0,1.0,53.4,0.0,0.0,6.06,4.66
2002,2002-10-20,34.037,19.0,31.0,61.29,124.0,0.0,1.0,56.4,5.0,27.0,4.0,2.55
2002,2002-11-03,34.051,24.0,31.0,77.42,313.0,5.0,0.0,148.3,0.0,0.0,10.1,13.32
2002,2002-11-17,34.065,22.0,40.0,55.0,253.0,2.0,0.0,90.9,2.0,6.0,6.33,7.33
2002,2002-11-24,34.071999999999996,15.0,25.0,60.0,134.0,2.0,0.0,101.1,0.0,0.0,5.36,6.96
2002,2002-12-01,34.079,28.0,44.0,63.64,276.0,2.0,1.0,86.9,4.0,27.0,6.27,6.16
2002,2002-12-08,34.086,23.0,31.0,74.19,276.0,4.0,0.0,140.6,1.0,5.0,8.9,11.48
2002,2002-12-15,34.093,24.0,41.0,58.54,253.0,0.0,0.0,76.6,0.0,0.0,6.17,6.17
2003,2003-09-08,34.36,27.0,36.0,75.0,238.0,2.0,1.0,99.1,0.0,0.0,6.61,6.47
2003,2003-09-14,35.001,34.0,61.0,55.74,339.0,1.0,1.0,70.3,1.0,2.0,5.56,5.15
2003,2003-09-21,35.008,16.0,24.0,66.67,192.0,2.0,0.0,118.7,0.0,0.0,8.0,9.67
2003,2003-10-06,35.023,26.0,39.0,66.67,318.0,3.0,1.0,106.6,0.0,0.0,8.15,8.54
2003,2003-10-12,35.029,22.0,30.0,73.33,268.0,4.0,0.0,140.0,0.0,0.0,8.93,11.6
2003,2003-10-19,35.036,21.0,34.0,61.76,241.0,1.0,3.0,56.1,2.0,7.0,7.09,3.71
2003,2003-10-26,35.043,13.0,26.0,50.0,151.0,1.0,0.0,80.8,2.0,18.0,5.81,6.58
2003,2003-11-02,35.05,27.0,46.0,58.7,323.0,2.0,2.0,76.6,4.0,27.0,7.02,5.93
2003,2003-11-09,35.056999999999995,24.0,43.0,55.81,275.0,2.0,1.0,81.1,3.0,17.0,6.4,6.28
2003,2003-11-16,35.064,17.0,28.0,60.71,149.0,1.0,2.0,57.0,3.0,18.0,5.32,2.82
2003,2003-11-24,35.071999999999996,22.0,32.0,68.75,269.0,1.0,1.0,91.8,2.0,4.0,8.41,7.63
2003,2003-11-30,35.078,21.0,38.0,55.26,156.0,0.0,1.0,54.3,2.0,12.0,4.11,2.92
2003,2003-12-07,35.085,20.0,34.0,58.82,213.0,2.0,1.0,84.6,1.0,6.0,6.26,6.12
2003,2003-12-14,35.092,17.0,28.0,60.71,237.0,0.0,0.0,87.9,0.0,0.0,8.46,8.46
2003,2003-12-20,35.098,34.0,48.0,70.83,346.0,4.0,4.0,84.2,0.0,0.0,7.21,5.13
2003,2003-12-28,35.106,13.0,23.0,56.52,96.0,0.0,3.0,27.0,0.0,0.0,4.17,-1.7
2004,2004-09-12,35.365,24.0,37.0,64.86,169.0,0.0,1.0,63.9,4.0,30.0,4.57,3.35
2004,2004-09-19,36.006,4.0,7.0,57.14,34.0,0.0,1.0,30.4,1.0,10.0,4.86,-1.57
2004,2004-09-26,36.013000000000005,22.0,36.0,61.11,309.0,2.0,1.0,95.7,2.0,12.0,8.58,8.44
2004,2004-10-03,36.02,15.0,23.0,65.22,162.0,1.0,0.0,100.3,1.0,3.0,7.04,7.91
2005,2005-09-11,36.363,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-09-25,37.012,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-10-02,37.019,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-10-16,37.033,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2005,2005-10-23,37.04,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-10-30,37.047,13.0,28.0,46.43,162.0,1.0,0.0,76.8,2.0,14.0,5.79,6.5
2005,2005-11-06,37.054,15.0,22.0,68.18,136.0,2.0,0.0,115.0,3.0,15.0,6.18,8.0
2005,2005-11-13,37.061,18.0,31.0,58.06,144.0,0.0,0.0,69.8,4.0,19.0,4.65,4.65
2005,2005-11-21,37.069,18.0,30.0,60.0,196.0,0.0,1.0,65.4,5.0,25.0,6.53,5.03
2005,2005-11-27,37.075,19.0,28.0,67.86,207.0,3.0,1.0,110.3,2.0,7.0,7.39,7.93
2005,2005-12-04,37.082,17.0,23.0,73.91,256.0,2.0,0.0,139.0,2.0,14.0,11.13,12.87
2005,2005-12-11,37.089,16.0,25.0,64.0,146.0,0.0,0.0,79.7,0.0,0.0,5.84,5.84
2005,2005-12-18,37.096,16.0,30.0,53.33,143.0,0.0,2.0,38.6,2.0,12.0,4.77,1.77
2005,2005-12-25,37.103,25.0,36.0,69.44,248.0,2.0,0.0,107.2,3.0,28.0,6.89,8.0
2005,2006-01-01,37.11,27.0,40.0,67.5,247.0,2.0,0.0,100.7,0.0,0.0,6.18,7.18
2006,2006-09-11,37.363,16.0,30.0,53.33,223.0,1.0,0.0,88.6,1.0,0.0,7.43,8.1
2006,2006-09-17,38.004,19.0,31.0,61.29,243.0,0.0,1.0,72.4,5.0,34.0,7.84,6.39
2006,2006-09-24,38.010999999999996,21.0,31.0,67.74,194.0,0.0,0.0,84.6,1.0,5.0,6.26,6.26
2006,2006-10-01,38.018,25.0,44.0,56.82,267.0,1.0,2.0,63.4,0.0,0.0,6.07,4.48
2006,2006-10-08,38.025,26.0,34.0,76.47,201.0,1.0,1.0,88.0,0.0,0.0,5.91,5.18
2006,2006-10-22,38.039,15.0,24.0,62.5,171.0,1.0,0.0,97.7,4.0,29.0,7.13,7.96
2006,2006-10-30,38.047,20.0,33.0,60.61,185.0,0.0,3.0,38.1,1.0,2.0,5.61,1.52
2006,2006-11-05,38.053000000000004,21.0,31.0,67.74,136.0,0.0,1.0,63.4,3.0,33.0,4.39,2.94
2006,2006-11-12,38.06,18.0,30.0,60.0,257.0,1.0,1.0,85.0,4.0,35.0,8.57,7.73
2006,2006-11-19,38.067,26.0,44.0,59.09,262.0,0.0,1.0,66.7,3.0,15.0,5.95,4.93
2006,2006-11-26,38.074,27.0,41.0,65.85,271.0,3.0,0.0,108.9,2.0,16.0,6.61,8.07
2006,2006-12-03,38.080999999999996,11.0,26.0,42.31,73.0,0.0,4.0,10.3,1.0,0.0,2.81,-4.12
2006,2006-12-10,38.088,14.0,22.0,63.64,159.0,0.0,1.0,66.3,1.0,3.0,7.23,5.18
2006,2006-12-17,38.095,10.0,17.0,58.82,96.0,1.0,0.0,94.2,3.0,28.0,5.65,6.82
2006,2006-12-31,38.109,1.0,1.0,100.0,12.0,0.0,0.0,116.7,0.0,0.0,12.0,12.0
2007,2007-09-09,38.361,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-09-16,39.003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-09-23,39.01,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-09-30,39.016999999999996,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-10-08,39.025,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-10-14,39.031,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-10-21,39.038000000000004,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-11-04,39.052,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-11-11,39.059,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-11-18,39.066,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-11-22,39.07,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-11-29,39.077,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-12-09,39.086999999999996,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-12-16,39.094,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-12-22,39.1,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-12-30,39.108000000000004,7.0,11.0,63.64,79.0,0.0,0.0,85.0,1.0,9.0,7.18,7.18
2008,2008-09-07,39.36,,,,,,,,0.0,,,
2008,2008-09-15,40.001999999999995,,,,,,,,0.0,,,
2008,2008-09-21,40.008,,,,,,,,0.0,,,
2008,2008-09-28,40.015,,,,,,,,0.0,,,
2008,2008-10-05,40.022,,,,,,,,0.0,,,
2008,2008-10-12,40.029,,,,,,,,0.0,,,
2008,2008-10-19,40.036,17.0,34.0,50.0,234.0,1.0,3.0,45.5,3.0,17.0,6.88,3.5
