Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2007,2007-09-23,22.331,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2007,2007-12-30,23.064,3.0,8.0,37.5,45.0,0.0,0.0,56.8,0.0,0.0,5.63,5.63
2008,2008-11-06,24.01,23.0,35.0,65.71,239.0,2.0,0.0,104.3,0.0,0.0,6.83,7.97
2008,2008-11-17,24.021,14.0,36.0,38.89,185.0,0.0,0.0,55.9,1.0,9.0,5.14,5.14
2008,2008-11-23,24.026999999999997,8.0,18.0,44.44,94.0,0.0,2.0,21.3,0.0,0.0,5.22,0.22
2009,2009-09-13,24.320999999999998,21.0,35.0,60.0,205.0,1.0,1.0,74.1,5.0,26.0,5.86,5.14
2009,2009-09-20,24.328000000000003,18.0,31.0,58.06,161.0,0.0,1.0,58.7,4.0,15.0,5.19,3.74
2009,2009-09-27,24.335,6.0,8.0,75.0,34.0,0.0,1.0,42.7,1.0,5.0,4.25,-1.38
2009,2009-11-01,25.005,1.0,3.0,33.33,9.0,0.0,0.0,42.4,0.0,0.0,3.0,3.0
2009,2009-11-16,25.02,13.0,31.0,41.94,99.0,0.0,2.0,23.5,4.0,25.0,3.19,0.29
2009,2009-11-22,25.026,21.0,33.0,63.64,304.0,4.0,0.0,133.1,1.0,6.0,9.21,11.64
2009,2009-11-29,25.033,15.0,34.0,44.12,100.0,0.0,0.0,51.3,1.0,7.0,2.94,2.94
2009,2009-12-06,25.04,25.0,45.0,55.56,271.0,3.0,0.0,95.7,2.0,14.0,6.02,7.36
2009,2009-12-10,25.044,6.0,19.0,31.58,90.0,0.0,0.0,48.1,1.0,6.0,4.74,4.74
2009,2009-12-20,25.054000000000002,10.0,17.0,58.82,66.0,0.0,2.0,27.7,0.0,0.0,3.88,-1.41
2012,2012-10-07,27.346,2.0,2.0,100.0,32.0,0.0,0.0,118.7,0.0,0.0,16.0,16.0
2012,2012-10-14,27.353,22.0,38.0,57.89,180.0,0.0,2.0,48.1,0.0,0.0,4.74,2.37
2012,2012-10-28,28.000999999999998,2.0,4.0,50.0,1.0,0.0,1.0,16.7,1.0,7.0,0.25,-11.0
2012,2012-11-18,28.022,9.0,14.0,64.29,95.0,0.0,0.0,83.9,3.0,16.0,6.79,6.79
2012,2012-11-25,28.029,13.0,25.0,52.0,126.0,0.0,1.0,49.7,2.0,10.0,5.04,3.24
2012,2012-12-02,28.035999999999998,19.0,23.0,82.61,201.0,2.0,0.0,132.1,1.0,4.0,8.74,10.48
2012,2012-12-09,28.043000000000003,10.0,21.0,47.62,159.0,0.0,1.0,53.5,5.0,29.0,7.57,5.43
2012,2012-12-16,28.05,18.0,32.0,56.25,136.0,0.0,1.0,53.6,4.0,27.0,4.25,2.84
2012,2012-12-23,28.057,10.0,22.0,45.45,162.0,0.0,2.0,32.8,1.0,7.0,7.36,3.27
2012,2012-12-30,28.064,7.0,16.0,43.75,49.0,0.0,0.0,51.3,4.0,23.0,3.06,3.06
