Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2012,2012-09-09,28.331,12.0,35.0,34.29,118.0,0.0,4.0,5.1,2.0,7.0,3.37,-1.77
2012,2012-09-16,28.338,26.0,37.0,70.27,322.0,2.0,0.0,114.9,2.0,13.0,8.7,9.78
2012,2012-09-23,28.345,27.0,43.0,62.79,237.0,1.0,2.0,65.7,4.0,30.0,5.51,3.88
2012,2012-09-27,28.349,25.0,52.0,48.08,320.0,0.0,1.0,59.8,1.0,6.0,6.15,5.29
2012,2012-10-07,28.359,22.0,35.0,62.86,291.0,2.0,2.0,84.3,0.0,0.0,8.31,6.89
2012,2012-10-14,29.0,17.0,29.0,58.62,231.0,2.0,1.0,92.7,2.0,13.0,7.97,7.79
2012,2012-10-21,29.006999999999998,25.0,41.0,60.98,264.0,2.0,0.0,96.0,0.0,0.0,6.44,7.41
2012,2012-10-28,29.014,11.0,27.0,40.74,129.0,0.0,0.0,55.9,2.0,12.0,4.78,4.78
2012,2012-11-04,29.021,20.0,37.0,54.05,176.0,0.0,2.0,44.4,1.0,2.0,4.76,2.32
2012,2012-11-18,29.035,20.0,35.0,57.14,210.0,2.0,0.0,93.7,2.0,18.0,6.0,7.14
2012,2012-11-25,29.041999999999998,17.0,26.0,65.38,158.0,1.0,1.0,78.7,4.0,28.0,6.08,5.12
2012,2012-12-02,29.049,25.0,36.0,69.44,364.0,1.0,2.0,88.2,1.0,11.0,10.11,8.17
2012,2012-12-09,29.055999999999997,17.0,30.0,56.67,217.0,0.0,0.0,79.4,3.0,19.0,7.23,7.23
2012,2012-12-16,29.063000000000002,21.0,35.0,60.0,244.0,1.0,2.0,66.8,2.0,11.0,6.97,4.97
2012,2012-12-23,29.07,12.0,19.0,63.16,104.0,0.0,0.0,77.5,2.0,16.0,5.47,5.47
2013,2013-09-08,29.329,26.0,53.0,49.06,289.0,1.0,3.0,48.4,6.0,45.0,5.45,3.28
2013,2013-09-15,29.336,21.0,33.0,63.64,227.0,0.0,0.0,83.8,5.0,39.0,6.88,6.88
2013,2013-10-03,29.354,13.0,24.0,54.17,197.0,1.0,0.0,95.3,5.0,23.0,8.21,9.04
2013,2013-10-13,29.364,26.0,43.0,60.47,292.0,2.0,2.0,76.9,2.0,23.0,6.79,5.63
2013,2013-10-20,30.006,17.0,42.0,40.48,149.0,1.0,1.0,48.6,3.0,16.0,3.55,2.95
2013,2013-11-03,30.02,1.0,2.0,50.0,-2.0,0.0,0.0,56.2,0.0,0.0,-1.0,-1.0
2013,2013-11-24,30.041,13.0,30.0,43.33,209.0,1.0,1.0,64.4,3.0,6.0,6.97,6.13
2013,2013-12-01,30.048000000000002,24.0,40.0,60.0,370.0,3.0,2.0,94.8,3.0,28.0,9.25,8.5
2014,2014-10-27,31.013,4.0,6.0,66.67,69.0,1.0,0.0,145.1,0.0,0.0,11.5,14.83
2014,2014-11-02,31.019000000000002,18.0,33.0,54.55,183.0,1.0,2.0,55.5,1.0,9.0,5.55,3.42
2014,2014-11-09,31.026,1.0,1.0,100.0,8.0,0.0,0.0,100.0,0.0,0.0,8.0,8.0
2014,2014-12-21,31.068,1.0,1.0,100.0,43.0,1.0,0.0,158.3,0.0,0.0,43.0,63.0
2014,2014-12-28,31.075,,,,,,,,,,,
2015,2015-09-20,31.340999999999998,7.0,7.0,100.0,73.0,1.0,0.0,149.7,0.0,0.0,10.43,13.29
2015,2015-09-27,31.348000000000003,22.0,26.0,84.62,232.0,0.0,1.0,87.8,2.0,12.0,8.92,7.19
2015,2015-10-04,31.355,16.0,26.0,61.54,246.0,1.0,0.0,105.6,3.0,26.0,9.46,10.23
2015,2015-10-11,31.362,26.0,39.0,66.67,187.0,0.0,1.0,66.9,3.0,24.0,4.79,3.64
2015,2015-12-20,32.067,11.0,18.0,61.11,105.0,1.0,0.0,95.8,1.0,10.0,5.83,6.94
2015,2015-12-27,32.074,15.0,24.0,62.5,200.0,2.0,0.0,116.7,1.0,5.0,8.33,10.0
2018,2018-10-25,35.010999999999996,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
