Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1991,1991-10-27,22.017,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1991,1991-11-10,22.031,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,-22.5
1992,1992-09-13,22.339000000000002,8.0,14.0,57.14,73.0,0.0,1.0,41.7,4.0,24.0,5.21,2.0
1992,1992-09-20,22.346,22.0,39.0,56.41,289.0,2.0,0.0,97.1,5.0,36.0,7.41,8.44
1992,1992-09-27,22.353,14.0,19.0,73.68,210.0,2.0,0.0,144.6,2.0,15.0,11.05,13.16
1992,1992-10-04,22.36,33.0,43.0,76.74,276.0,1.0,1.0,90.8,2.0,15.0,6.42,5.84
1992,1992-10-18,23.008000000000003,20.0,33.0,60.61,223.0,0.0,0.0,80.7,2.0,15.0,6.76,6.76
1992,1992-10-25,23.015,20.0,37.0,54.05,214.0,1.0,1.0,69.0,4.0,26.0,5.78,5.11
1992,1992-11-01,23.022,22.0,37.0,59.46,212.0,2.0,0.0,93.5,2.0,10.0,5.73,6.81
1992,1992-11-08,23.029,27.0,44.0,61.36,279.0,0.0,3.0,51.2,1.0,6.0,6.34,3.27
1992,1992-11-15,23.035999999999998,23.0,33.0,69.7,275.0,2.0,2.0,89.8,2.0,9.0,8.33,6.82
1992,1992-11-22,23.043000000000003,16.0,24.0,66.67,209.0,1.0,0.0,107.8,1.0,5.0,8.71,9.54
1992,1992-11-29,23.05,26.0,41.0,63.41,223.0,1.0,0.0,85.7,1.0,5.0,5.44,5.93
1992,1992-12-06,23.057,15.0,19.0,78.95,214.0,3.0,0.0,153.2,1.0,6.0,11.26,14.42
1992,1992-12-13,23.064,19.0,30.0,63.33,155.0,1.0,1.0,73.6,3.0,1.0,5.17,4.33
1992,1992-12-20,23.070999999999998,14.0,23.0,60.87,188.0,2.0,1.0,97.7,3.0,30.0,8.17,7.96
1992,1992-12-27,23.078000000000003,23.0,35.0,65.71,187.0,0.0,3.0,43.4,1.0,5.0,5.34,1.49
1993,1993-09-05,23.33,19.0,29.0,65.52,264.0,2.0,1.0,103.2,3.0,21.0,9.1,8.93
1993,1993-09-12,23.337,12.0,24.0,50.0,111.0,2.0,2.0,56.1,1.0,4.0,4.63,2.54
1993,1993-09-26,23.351,20.0,31.0,64.52,150.0,0.0,2.0,49.1,0.0,0.0,4.84,1.94
1993,1993-10-03,23.358,21.0,37.0,56.76,174.0,0.0,0.0,69.0,1.0,22.0,4.7,4.7
1993,1993-10-10,24.0,20.0,32.0,62.5,235.0,1.0,3.0,56.1,0.0,0.0,7.34,3.75
1993,1993-10-24,24.014,20.0,35.0,57.14,268.0,4.0,1.0,107.8,2.0,10.0,7.66,8.66
1993,1993-10-31,24.021,15.0,24.0,62.5,136.0,1.0,1.0,74.3,2.0,10.0,5.67,4.63
1993,1993-11-08,24.029,20.0,34.0,58.82,213.0,1.0,3.0,50.2,4.0,25.0,6.26,2.88
1993,1993-11-14,24.035,18.0,32.0,56.25,150.0,1.0,0.0,78.9,6.0,25.0,4.69,5.31
1993,1993-11-21,24.041999999999998,24.0,33.0,72.73,259.0,0.0,2.0,70.1,1.0,8.0,7.85,5.12
1993,1993-11-28,24.049,23.0,36.0,63.89,159.0,1.0,0.0,83.0,2.0,7.0,4.42,4.97
1993,1993-12-05,24.055999999999997,36.0,54.0,66.67,402.0,2.0,3.0,77.9,1.0,15.0,7.44,5.69
1993,1993-12-12,24.063000000000002,13.0,23.0,56.52,146.0,0.0,1.0,57.5,2.0,22.0,6.35,4.39
1993,1993-12-19,24.07,20.0,33.0,60.61,256.0,2.0,1.0,92.5,1.0,3.0,7.76,7.61
1993,1993-12-26,24.076999999999998,14.0,28.0,50.0,190.0,1.0,0.0,83.9,2.0,9.0,6.79,7.5
1993,1994-01-02,24.084,23.0,37.0,62.16,190.0,1.0,4.0,44.7,2.0,18.0,5.14,0.81
1994,1994-09-04,24.329,22.0,36.0,61.11,185.0,1.0,0.0,83.7,3.0,15.0,5.14,5.69
1994,1994-09-11,24.336,31.0,51.0,60.78,362.0,2.0,1.0,87.2,4.0,17.0,7.1,7.0
1994,1994-09-18,24.343000000000004,24.0,45.0,53.33,280.0,1.0,2.0,61.3,6.0,42.0,6.22,4.67
1994,1994-09-25,24.35,30.0,39.0,76.92,306.0,3.0,0.0,124.5,0.0,0.0,7.85,9.38
1994,1994-10-02,24.357,25.0,47.0,53.19,294.0,1.0,2.0,61.8,4.0,30.0,6.26,4.77
1994,1994-10-09,24.364,25.0,41.0,60.98,222.0,1.0,1.0,73.4,2.0,14.0,5.41,4.8
1994,1994-10-20,25.01,6.0,10.0,60.0,32.0,0.0,1.0,25.8,1.0,8.0,3.2,-1.3
1994,1994-10-31,25.021,6.0,15.0,40.0,82.0,1.0,0.0,80.4,0.0,0.0,5.47,6.8
1994,1994-11-06,25.026999999999997,24.0,36.0,66.67,237.0,3.0,1.0,101.3,1.0,7.0,6.58,7.0
1994,1994-11-13,25.034000000000002,20.0,28.0,71.43,183.0,2.0,0.0,112.6,1.0,11.0,6.54,7.96
1994,1994-11-20,25.041,22.0,40.0,55.0,214.0,3.0,1.0,84.8,1.0,9.0,5.35,5.73
1994,1994-11-24,25.045,27.0,40.0,67.5,257.0,4.0,0.0,118.4,2.0,9.0,6.43,8.43
1994,1994-12-04,25.055,29.0,43.0,67.44,366.0,3.0,2.0,97.6,1.0,7.0,8.51,7.81
1994,1994-12-11,25.061999999999998,19.0,31.0,61.29,250.0,3.0,1.0,105.6,2.0,7.0,8.06,8.55
1994,1994-12-18,25.069000000000003,29.0,44.0,65.91,321.0,2.0,1.0,93.1,2.0,11.0,7.3,7.18
1994,1994-12-24,25.075,24.0,36.0,66.67,291.0,3.0,1.0,107.5,1.0,1.0,8.08,8.5
1995,1995-09-03,25.328000000000003,29.0,51.0,56.86,299.0,2.0,3.0,62.5,4.0,37.0,5.86,4.0
1995,1995-09-11,25.336,21.0,37.0,56.76,312.0,3.0,1.0,100.3,2.0,6.0,8.43,8.84
1995,1995-09-17,25.342,14.0,25.0,56.0,141.0,2.0,0.0,98.9,4.0,28.0,5.64,7.24
1995,1995-09-24,25.349,20.0,30.0,66.67,202.0,2.0,1.0,94.0,2.0,9.0,6.73,6.57
1995,1995-10-08,25.363000000000003,21.0,41.0,51.22,295.0,1.0,1.0,72.7,0.0,0.0,7.2,6.59
1995,1995-10-15,26.005,23.0,34.0,67.65,342.0,2.0,0.0,120.0,2.0,15.0,10.06,11.24
1995,1995-10-22,26.011999999999997,22.0,43.0,51.16,295.0,4.0,0.0,104.3,3.0,18.0,6.86,8.72
1995,1995-10-29,26.019000000000002,26.0,43.0,60.47,304.0,1.0,3.0,60.6,1.0,6.0,7.07,4.4
1995,1995-11-05,26.026,17.0,30.0,56.67,177.0,0.0,2.0,46.1,4.0,36.0,5.9,2.9
1995,1995-11-12,26.033,25.0,33.0,75.76,336.0,5.0,0.0,147.2,3.0,23.0,10.18,13.21
1995,1995-11-19,26.04,23.0,28.0,82.14,210.0,3.0,0.0,133.6,2.0,7.0,7.5,9.64
1995,1995-11-26,26.046999999999997,16.0,24.0,66.67,267.0,3.0,0.0,143.6,1.0,6.0,11.13,13.63
1995,1995-12-03,26.054000000000002,31.0,43.0,72.09,339.0,3.0,1.0,108.6,1.0,0.0,7.88,8.23
1995,1995-12-10,26.061,27.0,46.0,58.7,285.0,1.0,1.0,75.0,0.0,0.0,6.2,5.65
1995,1995-12-16,26.066999999999997,21.0,30.0,70.0,308.0,4.0,0.0,142.8,2.0,14.0,10.27,12.93
1995,1995-12-24,26.075,23.0,32.0,71.88,301.0,2.0,0.0,122.0,2.0,12.0,9.41,10.66
1996,1996-09-01,26.326999999999998,20.0,27.0,74.07,247.0,4.0,0.0,141.5,1.0,4.0,9.15,12.11
1996,1996-09-09,26.335,17.0,31.0,54.84,261.0,3.0,0.0,115.1,1.0,0.0,8.42,10.35
1996,1996-09-15,26.340999999999998,22.0,33.0,66.67,231.0,3.0,1.0,104.5,2.0,27.0,7.0,7.45
1996,1996-09-22,26.348000000000003,14.0,27.0,51.85,198.0,2.0,1.0,85.1,7.0,41.0,7.33,7.15
1996,1996-09-29,26.355,20.0,34.0,58.82,209.0,4.0,0.0,115.9,2.0,7.0,6.15,8.5
1996,1996-10-06,26.362,18.0,27.0,66.67,246.0,4.0,1.0,119.8,2.0,8.0,9.11,10.41
1996,1996-10-14,27.004,28.0,61.0,45.9,395.0,1.0,2.0,59.1,2.0,17.0,6.48,5.33
1996,1996-10-27,27.017,19.0,31.0,61.29,178.0,0.0,1.0,63.6,2.0,9.0,5.74,4.29
1996,1996-11-03,27.024,24.0,35.0,68.57,281.0,4.0,1.0,118.9,4.0,27.0,8.03,9.03
1996,1996-11-10,27.031,27.0,49.0,55.1,314.0,2.0,1.0,79.8,4.0,25.0,6.41,6.31
1996,1996-11-18,27.039,21.0,37.0,56.76,194.0,1.0,0.0,80.2,4.0,30.0,5.24,5.78
1996,1996-11-24,27.045,25.0,38.0,65.79,192.0,2.0,2.0,73.6,1.0,7.0,5.05,3.74
1996,1996-12-01,27.052,19.0,27.0,70.37,231.0,1.0,0.0,108.7,2.0,15.0,8.56,9.3
1996,1996-12-08,27.059,20.0,38.0,52.63,280.0,4.0,2.0,89.8,1.0,4.0,7.37,7.11
1996,1996-12-15,27.066,16.0,25.0,64.0,240.0,1.0,1.0,92.1,3.0,15.0,9.6,8.6
1996,1996-12-22,27.073,15.0,23.0,65.22,202.0,3.0,0.0,132.6,2.0,5.0,8.78,11.39
1997,1997-09-01,27.326,15.0,22.0,68.18,226.0,2.0,1.0,113.1,2.0,18.0,10.27,10.05
1997,1997-09-07,27.331999999999997,19.0,41.0,46.34,279.0,0.0,1.0,58.9,1.0,6.0,6.8,5.71
1997,1997-09-14,27.339000000000002,24.0,37.0,64.86,253.0,2.0,0.0,102.6,1.0,3.0,6.84,7.92
1997,1997-09-21,27.346,18.0,31.0,58.06,266.0,5.0,2.0,98.9,2.0,9.0,8.58,8.9
1997,1997-09-28,27.353,22.0,43.0,51.16,295.0,1.0,3.0,52.0,2.0,6.0,6.86,4.19
1997,1997-10-05,27.36,21.0,31.0,67.74,191.0,2.0,0.0,105.7,3.0,21.0,6.16,7.45
1997,1997-10-12,28.002,19.0,35.0,54.29,177.0,3.0,1.0,85.1,0.0,0.0,5.06,5.49
1997,1997-10-27,28.017,23.0,34.0,67.65,239.0,3.0,0.0,117.2,1.0,12.0,7.03,8.79
1997,1997-11-02,28.023000000000003,15.0,28.0,53.57,181.0,1.0,1.0,70.7,2.0,18.0,6.46,5.57
1997,1997-11-09,28.03,18.0,37.0,48.65,306.0,1.0,2.0,63.6,2.0,15.0,8.27,6.38
1997,1997-11-16,28.037,18.0,25.0,72.0,363.0,3.0,2.0,120.4,3.0,29.0,14.52,13.32
1997,1997-11-23,28.044,22.0,35.0,62.86,203.0,4.0,1.0,104.8,2.0,14.0,5.8,6.8
1997,1997-12-01,28.052,15.0,29.0,51.72,196.0,1.0,0.0,84.8,1.0,9.0,6.76,7.45
1997,1997-12-07,28.058000000000003,25.0,33.0,75.76,280.0,2.0,1.0,108.1,0.0,0.0,8.48,8.33
1997,1997-12-14,28.065,18.0,34.0,52.94,256.0,3.0,1.0,94.7,3.0,16.0,7.53,7.97
1997,1997-12-20,28.070999999999998,12.0,18.0,66.67,156.0,2.0,0.0,130.8,0.0,0.0,8.67,10.89
1998,1998-09-06,28.331,24.0,32.0,75.0,277.0,2.0,0.0,121.5,2.0,10.0,8.66,9.91
1998,1998-09-13,28.338,22.0,33.0,66.67,237.0,2.0,0.0,107.8,4.0,14.0,7.18,8.39
1998,1998-09-20,28.345,23.0,35.0,65.71,274.0,1.0,1.0,87.1,3.0,32.0,7.83,7.11
1998,1998-09-27,28.351999999999997,27.0,45.0,60.0,388.0,5.0,3.0,97.3,2.0,10.0,8.62,7.84
1998,1998-10-05,28.36,13.0,23.0,56.52,114.0,0.0,3.0,30.3,2.0,13.0,4.96,-0.91
1998,1998-10-15,29.005,22.0,43.0,51.16,300.0,2.0,3.0,60.2,2.0,25.0,6.98,4.77
1998,1998-10-25,29.015,22.0,41.0,53.66,260.0,2.0,2.0,69.2,1.0,8.0,6.34,5.12
1998,1998-11-01,29.022,15.0,28.0,53.57,279.0,3.0,3.0,84.4,2.0,5.0,9.96,7.29
1998,1998-11-09,29.03,22.0,39.0,56.41,234.0,0.0,1.0,63.4,3.0,17.0,6.0,4.85
1998,1998-11-15,29.035999999999998,21.0,33.0,63.64,267.0,2.0,0.0,109.0,1.0,3.0,8.09,9.3
1998,1998-11-22,29.043000000000003,31.0,39.0,79.49,303.0,2.0,1.0,105.4,3.0,26.0,7.77,7.64
1998,1998-11-29,29.05,20.0,33.0,60.61,321.0,2.0,2.0,88.1,0.0,0.0,9.73,8.21
1998,1998-12-07,29.058000000000003,29.0,41.0,70.73,262.0,2.0,0.0,103.9,8.0,34.0,6.39,7.37
1998,1998-12-13,29.064,26.0,42.0,61.9,290.0,2.0,2.0,78.5,3.0,16.0,6.9,5.71
1998,1998-12-20,29.070999999999998,14.0,22.0,63.64,253.0,3.0,0.0,142.6,2.0,10.0,11.5,14.23
1998,1998-12-27,29.078000000000003,16.0,22.0,72.73,153.0,1.0,2.0,68.9,0.0,0.0,6.95,3.77
1999,1999-09-12,29.337,28.0,47.0,59.57,333.0,4.0,3.0,83.0,3.0,15.0,7.09,5.91
1999,1999-09-19,29.344,20.0,41.0,48.78,288.0,0.0,1.0,61.8,1.0,5.0,7.02,5.93
