Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2016,2016-11-13,23.151,1.0,4.0,25.0,8.0,0.0,0.0,39.6,0.0,0.0,2.0,2.0
2016,2016-11-20,23.158,1.0,3.0,33.33,9.0,0.0,1.0,2.8,0.0,0.0,3.0,-12.0
2016,2016-12-11,23.179000000000002,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2016,2016-12-24,23.191999999999997,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2017,2017-09-28,24.105,1.0,1.0,100.0,0.0,0.0,0.0,79.2,0.0,0.0,0.0,0.0
2017,2017-10-15,24.122,18.0,33.0,54.55,157.0,1.0,3.0,39.6,4.0,20.0,4.76,1.27
2017,2017-10-22,24.129,12.0,25.0,48.0,87.0,0.0,1.0,39.9,1.0,8.0,3.48,1.68
2017,2017-11-06,24.144000000000002,26.0,38.0,68.42,245.0,0.0,0.0,86.0,3.0,12.0,6.45,6.45
2017,2017-11-12,24.15,18.0,25.0,72.0,212.0,1.0,0.0,110.7,3.0,30.0,8.48,9.28
2017,2017-11-19,24.156999999999996,21.0,36.0,58.33,239.0,0.0,3.0,43.6,6.0,49.0,6.64,2.89
2017,2017-11-26,24.164,17.0,26.0,65.38,245.0,3.0,0.0,134.3,4.0,18.0,9.42,11.73
2017,2017-12-03,24.171,13.0,22.0,59.09,84.0,0.0,1.0,48.3,2.0,7.0,3.82,1.77
2017,2017-12-10,24.178,35.0,46.0,76.09,265.0,3.0,0.0,111.2,1.0,9.0,5.76,7.07
2017,2017-12-23,24.191,17.0,40.0,42.5,130.0,0.0,2.0,30.2,1.0,4.0,3.25,1.0
2017,2017-12-31,24.199,14.0,24.0,58.33,172.0,1.0,2.0,59.7,4.0,40.0,7.17,4.25
2019,2019-10-27,26.134,0.0,1.0,0.0,0.0,0.0,0.0,39.6,1.0,4.0,0.0,0.0
2019,2019-12-22,26.19,4.0,9.0,44.44,49.0,0.0,0.0,61.8,1.0,7.0,5.44,5.44
2019,2019-12-29,26.197,1.0,1.0,100.0,0.0,0.0,0.0,79.2,0.0,0.0,0.0,0.0
