Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1998,1998-10-04,23.2,1.0,3.0,33.33,2.0,0.0,1.0,2.8,0.0,0.0,0.67,-14.33
1999,1999-09-13,24.179000000000002,24.0,40.0,60.0,270.0,3.0,0.0,105.2,2.0,30.0,6.75,8.25
1999,1999-09-19,24.185,11.0,16.0,68.75,107.0,0.0,1.0,61.2,2.0,16.0,6.69,3.88
1999,1999-09-26,24.191999999999997,14.0,29.0,48.28,132.0,1.0,1.0,58.4,2.0,12.0,4.55,3.69
1999,1999-10-03,24.199,15.0,31.0,48.39,212.0,0.0,3.0,31.3,1.0,16.0,6.84,2.48
1999,1999-10-10,24.206,17.0,29.0,58.62,234.0,1.0,1.0,81.7,2.0,13.0,8.07,7.21
1999,1999-10-17,24.213,19.0,31.0,61.29,363.0,2.0,1.0,110.0,0.0,0.0,11.71,11.55
1999,1999-10-24,24.22,25.0,38.0,65.79,316.0,1.0,0.0,100.3,3.0,7.0,8.32,8.84
1999,1999-10-31,24.226999999999997,24.0,40.0,60.0,274.0,1.0,1.0,78.5,4.0,18.0,6.85,6.23
1999,1999-11-22,24.249000000000002,6.0,14.0,42.86,60.0,0.0,0.0,55.7,1.0,2.0,4.29,4.29
1999,1999-12-05,24.261999999999997,20.0,36.0,55.56,227.0,0.0,1.0,63.1,2.0,19.0,6.31,5.06
1999,1999-12-13,24.27,21.0,33.0,63.64,275.0,2.0,2.0,84.8,1.0,7.0,8.33,6.82
1999,1999-12-19,24.276,20.0,39.0,51.28,180.0,2.0,2.0,59.8,2.0,10.0,4.62,3.33
1999,1999-12-25,24.281999999999996,22.0,30.0,73.33,171.0,1.0,1.0,84.2,1.0,6.0,5.7,4.87
1999,2000-01-02,24.29,23.0,46.0,50.0,211.0,0.0,0.0,62.9,4.0,20.0,4.59,4.59
2000,2000-09-04,25.17,19.0,29.0,65.52,307.0,2.0,0.0,123.8,4.0,33.0,10.59,11.97
2000,2000-09-10,25.176,20.0,33.0,60.61,268.0,3.0,0.0,116.7,2.0,13.0,8.12,9.94
2000,2000-09-17,25.183000000000003,21.0,31.0,67.74,213.0,2.0,0.0,108.7,1.0,6.0,6.87,8.16
2000,2000-10-01,25.197,31.0,50.0,62.0,361.0,1.0,1.0,82.2,4.0,35.0,7.22,6.72
2000,2000-10-08,25.204,27.0,40.0,67.5,235.0,3.0,0.0,107.8,2.0,27.0,5.88,7.38
2000,2000-10-15,25.211,19.0,34.0,55.88,336.0,3.0,0.0,119.2,0.0,0.0,9.88,11.65
2000,2000-10-22,25.218000000000004,30.0,45.0,66.67,365.0,2.0,1.0,97.0,2.0,7.0,8.11,8.0
2000,2000-11-05,25.232,22.0,35.0,62.86,327.0,2.0,1.0,100.5,1.0,10.0,9.34,9.2
2000,2000-11-13,25.24,25.0,37.0,67.57,262.0,1.0,1.0,85.6,1.0,8.0,7.08,6.41
2000,2000-12-23,25.28,2.0,2.0,100.0,14.0,0.0,0.0,95.8,0.0,0.0,7.0,7.0
2001,2001-09-10,26.176,21.0,29.0,72.41,330.0,3.0,0.0,144.3,0.0,0.0,11.38,13.45
2001,2001-09-23,26.189,22.0,31.0,70.97,242.0,3.0,0.0,126.0,1.0,8.0,7.81,9.74
2001,2001-09-30,26.195999999999998,17.0,33.0,51.52,191.0,1.0,2.0,54.0,5.0,24.0,5.79,3.67
2001,2001-10-07,26.203000000000003,11.0,20.0,55.0,121.0,1.0,1.0,69.0,2.0,18.0,6.05,4.8
2001,2001-10-14,26.21,24.0,36.0,66.67,209.0,2.0,3.0,65.6,3.0,20.0,5.81,3.17
2001,2001-10-21,26.217,26.0,41.0,63.41,212.0,1.0,2.0,64.3,4.0,30.0,5.17,3.46
2001,2001-10-28,26.224,19.0,30.0,63.33,283.0,2.0,2.0,88.6,2.0,14.0,9.43,7.77
2001,2001-11-05,26.232,22.0,32.0,68.75,221.0,2.0,2.0,82.9,4.0,24.0,6.91,5.34
2001,2001-11-11,26.238000000000003,21.0,31.0,67.74,224.0,2.0,0.0,110.1,3.0,3.0,7.23,8.52
2001,2001-11-18,26.245,11.0,31.0,35.48,114.0,1.0,0.0,57.7,3.0,16.0,3.68,4.32
2001,2001-11-22,26.249000000000002,17.0,29.0,58.62,171.0,1.0,1.0,72.6,1.0,11.0,5.9,5.03
2001,2001-12-02,26.259,18.0,33.0,54.55,135.0,1.0,1.0,62.1,1.0,9.0,4.09,3.33
2001,2001-12-09,26.266,11.0,17.0,64.71,81.0,1.0,1.0,71.0,0.0,0.0,4.76,3.29
2001,2001-12-30,26.287,19.0,26.0,73.08,142.0,1.0,0.0,98.6,4.0,17.0,5.46,6.23
2001,2002-01-06,26.294,16.0,32.0,50.0,151.0,1.0,4.0,34.2,5.0,47.0,4.72,-0.28
2002,2002-09-08,27.174,18.0,27.0,66.67,202.0,2.0,2.0,82.6,4.0,15.0,7.48,5.63
2002,2002-09-15,27.180999999999997,14.0,19.0,73.68,119.0,2.0,0.0,124.7,4.0,21.0,6.26,8.37
2002,2002-09-22,27.188000000000002,19.0,31.0,61.29,211.0,2.0,0.0,103.0,4.0,32.0,6.81,8.1
2002,2002-09-30,27.195999999999998,35.0,53.0,66.04,328.0,1.0,3.0,65.6,3.0,22.0,6.19,4.02
2002,2002-10-06,27.201999999999998,26.0,35.0,74.29,316.0,2.0,1.0,108.8,2.0,16.0,9.03,8.89
2002,2002-10-13,27.209,27.0,46.0,58.7,335.0,1.0,2.0,70.5,3.0,36.0,7.28,5.76
2002,2002-10-20,27.215999999999998,30.0,50.0,60.0,376.0,2.0,0.0,96.7,1.0,10.0,7.52,8.32
2002,2002-10-27,27.223000000000003,18.0,23.0,78.26,229.0,1.0,1.0,104.5,2.0,14.0,9.96,8.87
2002,2002-11-11,27.238000000000003,34.0,47.0,72.34,293.0,0.0,1.0,79.5,4.0,28.0,6.23,5.28
2002,2002-11-17,27.244,17.0,27.0,62.96,194.0,0.0,1.0,69.1,1.0,10.0,7.19,5.52
2002,2002-12-08,27.265,28.0,37.0,75.68,266.0,1.0,1.0,92.8,2.0,8.0,7.19,6.51
2002,2002-12-15,27.272,18.0,26.0,69.23,297.0,1.0,1.0,104.2,2.0,12.0,11.42,10.46
2002,2002-12-22,27.279,7.0,15.0,46.67,48.0,0.0,2.0,14.7,2.0,13.0,3.2,-2.8
2003,2003-10-27,28.223000000000003,20.0,29.0,68.97,192.0,3.0,0.0,121.6,1.0,9.0,6.62,8.69
2003,2003-11-02,28.229,18.0,29.0,62.07,231.0,1.0,0.0,98.5,5.0,39.0,7.97,8.66
