Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2009,2009-10-18,24.005,9.0,11.0,81.82,52.0,0.0,0.0,86.4,0.0,0.0,4.73,4.73
2009,2009-10-25,24.011999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2009,2009-11-30,24.048000000000002,2.0,4.0,50.0,19.0,0.0,0.0,63.5,1.0,8.0,4.75,4.75
2009,2009-12-27,24.075,,,,,,,,0.0,,,
2009,2010-01-03,24.081999999999997,8.0,12.0,66.67,71.0,0.0,0.0,82.3,1.0,10.0,5.92,5.92
2010,2010-10-04,24.355999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2010,2010-11-07,25.025,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-22.5
2010,2010-12-12,25.06,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2010,2010-12-26,25.074,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2010,2011-01-02,25.081,7.0,13.0,53.85,122.0,1.0,0.0,111.7,0.0,0.0,9.38,10.92
2011,2011-11-27,26.045,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2011,2011-12-04,26.052,,,,,,,,,,,
2011,2012-01-01,26.08,1.0,1.0,100.0,22.0,0.0,0.0,118.7,0.0,0.0,22.0,22.0
2012,2012-12-23,27.070999999999998,11.0,19.0,57.89,105.0,0.0,1.0,51.4,2.0,12.0,5.53,3.16
2012,2012-12-30,27.078000000000003,19.0,34.0,55.88,225.0,1.0,1.0,73.8,2.0,18.0,6.62,5.88
2013,2013-09-22,27.344,30.0,54.0,55.56,321.0,3.0,3.0,68.5,3.0,26.0,5.94,4.56
2013,2013-09-29,27.351,25.0,38.0,65.79,269.0,2.0,0.0,103.9,3.0,22.0,7.08,8.13
2013,2013-10-03,27.355,2.0,4.0,50.0,25.0,0.0,0.0,69.8,0.0,0.0,6.25,6.25
