Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1974,1974-09-29,25.052,1.0,2.0,50.0,6.0,0.0,0.0,56.2,,,3.0,3.0
1974,1974-10-06,25.059,2.0,6.0,33.33,22.0,0.0,3.0,5.6,1.0,9.0,3.67,-18.83
1974,1974-10-20,25.073,,,,,,,,,,,
1974,1974-10-27,25.08,4.0,6.0,66.67,32.0,0.0,0.0,79.9,1.0,6.0,5.33,5.33
1974,1974-11-03,25.087,16.0,23.0,69.57,186.0,1.0,1.0,90.1,,,8.09,7.0
1974,1974-11-10,25.094,10.0,18.0,55.56,116.0,0.0,0.0,75.2,3.0,33.0,6.44,6.44
1974,1974-11-17,25.101,15.0,30.0,50.0,162.0,0.0,3.0,26.7,4.0,24.0,5.4,0.9
1974,1974-11-24,25.108,6.0,10.0,60.0,37.0,0.0,0.0,67.5,1.0,9.0,3.7,3.7
1974,1974-12-01,25.115,5.0,13.0,38.46,42.0,0.0,0.0,47.6,5.0,41.0,3.23,3.23
1974,1974-12-15,25.129,,,,,,,,,,,
1975,1975-09-28,26.051,6.0,11.0,54.55,46.0,0.0,3.0,25.4,1.0,10.0,4.18,-8.09
1975,1975-10-12,26.065,7.0,14.0,50.0,83.0,0.0,0.0,68.5,2.0,18.0,5.93,5.93
1975,1975-10-19,26.072,12.0,25.0,48.0,111.0,0.0,0.0,60.6,1.0,3.0,4.44,4.44
1975,1975-10-26,26.079,11.0,20.0,55.0,117.0,1.0,0.0,89.0,3.0,17.0,5.85,6.85
1975,1975-11-02,26.086,9.0,18.0,50.0,70.0,0.0,0.0,60.0,1.0,10.0,3.89,3.89
1975,1975-11-23,26.107,,,,,,,,,,,
1975,1975-12-14,26.128,,,,,,,,,,,
1976,1976-09-12,27.035,7.0,10.0,70.0,83.0,2.0,0.0,134.6,,,8.3,12.3
1976,1976-09-19,27.041999999999998,15.0,34.0,44.12,193.0,2.0,0.0,82.1,1.0,8.0,5.68,6.85
1976,1976-09-26,27.049,18.0,31.0,58.06,134.0,1.0,2.0,52.4,1.0,10.0,4.32,2.06
1976,1976-10-03,27.055999999999997,26.0,42.0,61.9,290.0,2.0,0.0,98.3,,,6.9,7.86
1976,1976-10-10,27.063000000000002,4.0,14.0,28.57,80.0,0.0,0.0,50.9,,,5.71,5.71
1976,1976-10-17,27.07,12.0,18.0,66.67,134.0,0.0,2.0,49.1,2.0,23.0,7.44,2.44
1976,1976-10-24,27.076999999999998,23.0,28.0,82.14,246.0,2.0,2.0,97.3,1.0,9.0,8.79,7.0
1976,1976-10-31,27.084,12.0,27.0,44.44,171.0,0.0,1.0,50.1,3.0,34.0,6.33,4.67
1976,1976-11-07,27.090999999999998,1.0,1.0,100.0,23.0,1.0,0.0,158.3,,,23.0,43.0
1976,1976-11-14,27.098000000000003,15.0,21.0,71.43,198.0,2.0,0.0,132.6,,,9.43,11.33
1976,1976-11-21,27.105,10.0,18.0,55.56,131.0,1.0,0.0,97.2,1.0,9.0,7.28,8.39
1976,1976-11-28,27.112,15.0,22.0,68.18,191.0,2.0,3.0,85.8,1.0,13.0,8.68,4.36
1976,1976-12-05,27.119,9.0,22.0,40.91,114.0,1.0,2.0,35.0,4.0,25.0,5.18,2.0
1976,1976-12-12,27.125999999999998,11.0,24.0,45.83,125.0,1.0,2.0,41.1,2.0,11.0,5.21,2.29
1977,1977-09-18,28.041,15.0,21.0,71.43,198.0,0.0,1.0,81.1,4.0,25.0,9.43,7.29
1977,1977-09-26,28.049,18.0,25.0,72.0,199.0,2.0,2.0,88.6,2.0,9.0,7.96,5.96
1977,1977-10-02,28.055,9.0,20.0,45.0,81.0,1.0,1.0,52.3,,,4.05,2.8
1977,1977-10-09,28.061999999999998,12.0,27.0,44.44,141.0,1.0,2.0,42.4,1.0,4.0,5.22,2.63
1977,1977-10-16,28.069000000000003,8.0,19.0,42.11,58.0,1.0,1.0,45.5,1.0,10.0,3.05,1.74
1977,1977-10-23,28.076,14.0,22.0,63.64,143.0,2.0,2.0,74.6,3.0,22.0,6.5,4.23
1977,1977-10-30,28.083000000000002,12.0,25.0,48.0,200.0,1.0,2.0,55.4,3.0,24.0,8.0,5.2
1977,1977-11-06,28.09,20.0,28.0,71.43,189.0,1.0,2.0,71.9,2.0,20.0,6.75,4.25
1977,1977-11-13,28.096999999999998,4.0,8.0,50.0,24.0,0.0,1.0,16.7,,,3.0,-2.63
1978,1978-09-03,29.026,12.0,25.0,48.0,190.0,1.0,0.0,87.1,1.0,10.0,7.6,8.4
1978,1978-09-10,29.033,16.0,32.0,50.0,219.0,1.0,1.0,69.7,4.0,33.0,6.84,6.06
1978,1978-09-17,29.04,20.0,35.0,57.14,219.0,2.0,0.0,94.8,3.0,21.0,6.26,7.4
1978,1978-09-24,29.046999999999997,14.0,32.0,43.75,139.0,0.0,2.0,30.6,5.0,37.0,4.34,1.53
1978,1978-10-01,29.054000000000002,12.0,32.0,37.5,106.0,1.0,3.0,18.5,,,3.31,-0.28
1978,1978-10-08,29.061,11.0,17.0,64.71,103.0,1.0,1.0,76.3,1.0,11.0,6.06,4.59
1978,1978-10-15,29.068,17.0,30.0,56.67,213.0,2.0,2.0,73.3,,,7.1,5.43
1978,1978-10-22,29.075,7.0,11.0,63.64,40.0,0.0,1.0,32.4,2.0,16.0,3.64,-0.45
1978,1978-10-29,29.081999999999997,12.0,15.0,80.0,217.0,3.0,0.0,158.3,1.0,11.0,14.47,18.47
1978,1978-11-05,29.089000000000002,15.0,28.0,53.57,220.0,0.0,1.0,64.6,7.0,54.0,7.86,6.25
1978,1978-11-12,29.096,16.0,27.0,59.26,152.0,0.0,2.0,44.1,2.0,7.0,5.63,2.3
1978,1978-11-19,29.103,15.0,22.0,68.18,309.0,4.0,0.0,150.6,,,14.05,17.68
1978,1978-11-26,29.11,15.0,23.0,65.22,246.0,1.0,0.0,115.5,2.0,19.0,10.7,11.57
1978,1978-12-03,29.116999999999997,20.0,36.0,55.56,250.0,3.0,1.0,93.5,1.0,10.0,6.94,7.36
1978,1978-12-10,29.124000000000002,20.0,32.0,62.5,283.0,2.0,1.0,98.8,,,8.84,8.69
1978,1978-12-17,29.131,0.0,2.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1979,1979-09-02,30.025,21.0,36.0,58.33,302.0,2.0,3.0,69.4,1.0,10.0,8.39,5.75
1979,1979-09-09,30.031999999999996,19.0,35.0,54.29,243.0,3.0,1.0,92.9,1.0,5.0,6.94,7.37
1979,1979-09-16,30.039,14.0,32.0,43.75,218.0,1.0,2.0,51.3,3.0,21.0,6.81,4.63
1979,1979-09-24,30.046999999999997,15.0,28.0,53.57,239.0,2.0,1.0,91.2,1.0,10.0,8.54,8.36
1979,1979-09-30,30.053,18.0,35.0,51.43,222.0,0.0,2.0,47.6,5.0,52.0,6.34,3.77
1979,1979-10-07,30.06,22.0,41.0,53.66,351.0,5.0,3.0,91.6,,,8.56,7.71
1979,1979-10-14,30.066999999999997,13.0,25.0,52.0,160.0,0.0,1.0,55.4,3.0,23.0,6.4,4.6
1979,1979-10-21,30.074,18.0,34.0,52.94,197.0,4.0,3.0,72.8,1.0,6.0,5.79,4.18
1979,1979-10-28,30.081,20.0,28.0,71.43,208.0,1.0,0.0,104.5,2.0,16.0,7.43,8.14
1979,1979-11-04,30.088,20.0,35.0,57.14,222.0,2.0,3.0,59.5,4.0,35.0,6.34,3.63
1979,1979-11-11,30.095,13.0,29.0,44.83,177.0,0.0,2.0,36.1,2.0,19.0,6.1,3.0
1979,1979-11-18,30.101999999999997,23.0,42.0,54.76,358.0,3.0,0.0,107.0,1.0,13.0,8.52,9.95
1979,1979-11-25,30.109,23.0,38.0,60.53,333.0,3.0,1.0,104.4,7.0,50.0,8.76,9.16
1979,1979-12-02,30.116,13.0,26.0,50.0,172.0,1.0,1.0,68.1,5.0,35.0,6.62,5.65
1979,1979-12-09,30.123,14.0,29.0,48.28,153.0,0.0,2.0,35.6,5.0,48.0,5.28,2.17
1979,1979-12-16,30.13,20.0,42.0,47.62,238.0,1.0,1.0,63.4,2.0,4.0,5.67,5.07
1980,1980-09-07,31.03,22.0,35.0,62.86,233.0,2.0,0.0,101.2,1.0,18.0,6.66,7.8
1980,1980-09-15,31.038,12.0,25.0,48.0,106.0,1.0,1.0,56.4,,,4.24,3.24
1980,1980-09-21,31.044,23.0,36.0,63.89,295.0,2.0,1.0,96.4,1.0,13.0,8.19,8.06
1980,1980-09-28,31.051,22.0,32.0,68.75,318.0,3.0,1.0,119.0,1.0,10.0,9.94,10.41
1980,1980-10-05,31.058000000000003,20.0,40.0,50.0,258.0,1.0,1.0,68.5,1.0,3.0,6.45,5.83
1980,1980-10-12,31.065,12.0,24.0,50.0,211.0,1.0,0.0,94.3,,,8.79,9.63
1980,1980-10-19,31.072,24.0,39.0,61.54,391.0,2.0,0.0,112.2,1.0,7.0,10.03,11.05
1980,1980-10-26,31.079,28.0,46.0,60.87,349.0,4.0,1.0,104.3,1.0,1.0,7.59,8.35
1980,1980-11-03,31.087,23.0,39.0,58.97,298.0,1.0,2.0,70.2,3.0,36.0,7.64,5.85
1980,1980-11-09,31.093000000000004,22.0,29.0,75.86,212.0,2.0,0.0,118.7,2.0,20.0,7.31,8.69
1980,1980-11-16,31.1,15.0,34.0,44.12,178.0,2.0,1.0,68.0,1.0,7.0,5.24,5.09
1980,1980-11-23,31.107,27.0,36.0,75.0,310.0,4.0,1.0,125.9,1.0,9.0,8.61,9.58
1980,1980-11-30,31.114,13.0,21.0,61.9,93.0,0.0,1.0,52.3,2.0,20.0,4.43,2.29
1980,1980-12-07,31.121,30.0,41.0,73.17,340.0,1.0,1.0,95.6,2.0,21.0,8.29,7.68
1980,1980-12-14,31.128,20.0,33.0,60.61,232.0,1.0,1.0,79.4,,,7.03,6.27
1980,1980-12-21,31.135,24.0,44.0,54.55,308.0,3.0,2.0,80.5,6.0,52.0,7.0,6.32
