Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2012,2012-09-30,21.313000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-10-28,21.340999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-12-16,22.024,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-12-23,22.031,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-12-30,22.038,2.0,4.0,50.0,12.0,0.0,0.0,56.2,0.0,0.0,3.0,3.0
2013,2013-09-29,22.311,2.0,3.0,66.67,10.0,0.0,0.0,71.5,0.0,0.0,3.33,3.33
2013,2013-11-24,23.002,,,,,,,,,,,
2013,2013-12-22,23.03,,,,,,,,,,,
2013,2013-12-29,23.037,9.0,13.0,69.23,85.0,0.0,0.0,87.0,2.0,8.0,6.54,6.54
2014,2014-10-19,23.331,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2014,2014-11-09,23.351999999999997,2.0,5.0,40.0,13.0,0.0,0.0,47.9,0.0,0.0,2.6,2.6
2014,2014-12-14,24.022,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2014,2014-12-28,24.035999999999998,2.0,2.0,100.0,39.0,1.0,0.0,158.3,0.0,0.0,19.5,29.5
2015,2015-11-08,24.351,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2015,2015-11-15,24.358,14.0,24.0,58.33,146.0,1.0,1.0,72.6,3.0,20.0,6.08,5.04
2015,2015-11-22,25.0,20.0,27.0,74.07,250.0,2.0,0.0,127.1,5.0,31.0,9.26,10.74
2015,2015-11-29,25.006999999999998,23.0,42.0,54.76,270.0,1.0,1.0,72.5,3.0,16.0,6.43,5.83
2015,2015-12-06,25.014,16.0,26.0,61.54,166.0,1.0,1.0,76.8,1.0,7.0,6.38,5.42
2015,2015-12-13,25.021,35.0,51.0,68.63,308.0,0.0,0.0,84.4,5.0,32.0,6.04,6.04
2015,2015-12-20,25.028000000000002,21.0,44.0,47.73,296.0,3.0,1.0,83.1,2.0,15.0,6.73,7.07
2015,2015-12-28,25.035999999999998,27.0,39.0,69.23,299.0,1.0,0.0,100.3,3.0,22.0,7.67,8.18
2015,2016-01-03,25.041999999999998,14.0,22.0,63.64,232.0,1.0,2.0,76.3,1.0,8.0,10.55,7.36
2016,2016-09-11,25.294,22.0,35.0,62.86,231.0,2.0,1.0,89.1,2.0,16.0,6.6,6.46
2016,2016-09-18,25.301,19.0,33.0,57.58,268.0,1.0,2.0,68.8,2.0,14.0,8.12,6.0
2016,2016-09-22,25.305,24.0,41.0,58.54,196.0,0.0,1.0,60.6,2.0,21.0,4.78,3.68
2016,2016-10-02,25.315,25.0,37.0,67.57,254.0,2.0,2.0,82.5,1.0,10.0,6.86,5.51
2016,2016-10-09,25.322,19.0,42.0,45.24,184.0,1.0,1.0,56.1,4.0,29.0,4.38,3.79
2016,2016-10-16,25.329,25.0,39.0,64.1,269.0,2.0,1.0,90.7,1.0,13.0,6.9,6.77
2016,2016-10-24,25.337,22.0,41.0,53.66,131.0,0.0,0.0,60.1,1.0,0.0,3.2,3.2
2016,2016-10-30,25.343000000000004,20.0,29.0,68.97,186.0,1.0,1.0,83.4,3.0,22.0,6.41,5.55
2016,2016-11-13,25.357,14.0,27.0,51.85,99.0,2.0,0.0,85.3,1.0,7.0,3.67,5.15
2016,2016-11-21,25.365,26.0,39.0,66.67,243.0,1.0,1.0,81.5,2.0,13.0,6.23,5.59
2016,2016-11-27,26.005,22.0,37.0,59.46,246.0,0.0,3.0,45.6,1.0,7.0,6.65,3.0
2016,2016-12-04,26.011999999999997,22.0,35.0,62.86,202.0,2.0,0.0,97.6,2.0,18.0,5.77,6.91
2016,2016-12-11,26.019000000000002,14.0,24.0,58.33,147.0,0.0,1.0,58.9,2.0,16.0,6.13,4.25
2016,2016-12-18,26.026,6.0,11.0,54.55,48.0,0.0,2.0,26.1,0.0,0.0,4.36,-3.82
2016,2017-01-01,26.04,21.0,40.0,52.5,253.0,1.0,0.0,80.5,3.0,20.0,6.33,6.83
