Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2006,2006-10-01,23.237,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-10-15,23.250999999999998,3.0,7.0,42.86,23.0,0.0,2.0,11.9,1.0,10.0,3.29,-9.57
2007,2007-09-16,24.221999999999998,4.0,4.0,100.0,55.0,0.0,0.0,118.7,1.0,3.0,13.75,13.75
2007,2007-10-07,24.243000000000002,6.0,13.0,46.15,83.0,1.0,0.0,92.8,1.0,5.0,6.38,7.92
2007,2007-10-21,24.256999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2007,2007-11-11,24.278000000000002,17.0,30.0,56.67,162.0,0.0,1.0,57.9,2.0,21.0,5.4,3.9
2007,2007-11-18,24.285,19.0,27.0,70.37,169.0,1.0,0.0,99.2,2.0,7.0,6.26,7.0
2007,2007-11-25,24.291999999999998,12.0,23.0,52.17,145.0,0.0,1.0,53.7,3.0,17.0,6.3,4.35
2007,2007-12-09,24.305999999999997,15.0,29.0,51.72,132.0,1.0,1.0,61.3,5.0,19.0,4.55,3.69
2007,2007-12-16,24.313000000000002,25.0,43.0,58.14,217.0,2.0,2.0,67.7,0.0,0.0,5.05,3.88
2007,2007-12-23,24.32,9.0,12.0,75.0,69.0,0.0,1.0,53.8,0.0,0.0,5.75,2.0
2007,2007-12-30,24.326999999999998,20.0,43.0,46.51,195.0,1.0,0.0,67.5,3.0,29.0,4.53,5.0
2008,2008-09-07,25.214000000000002,11.0,19.0,57.89,88.0,0.0,0.0,69.6,1.0,10.0,4.63,4.63
2008,2008-10-19,25.256,9.0,10.0,90.0,63.0,0.0,0.0,92.9,0.0,0.0,6.3,6.3
2009,2009-09-13,26.219,16.0,24.0,66.67,177.0,2.0,0.0,116.1,3.0,18.0,7.38,9.04
2009,2009-11-29,26.296,1.0,2.0,50.0,3.0,0.0,0.0,56.2,0.0,0.0,1.5,1.5
2009,2009-12-06,26.303,6.0,14.0,42.86,50.0,0.0,0.0,52.7,0.0,0.0,3.57,3.57
2010,2010-12-12,27.309,7.0,17.0,41.18,40.0,0.0,0.0,48.9,4.0,29.0,2.35,2.35
2010,2010-12-26,27.323,1.0,2.0,50.0,-2.0,0.0,1.0,16.7,0.0,0.0,-1.0,-23.5
