Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2004,2004-11-28,25.013,5.0,9.0,55.56,60.0,0.0,0.0,76.2,1.0,8.0,6.67,6.67
2005,2005-10-02,25.320999999999998,14.0,28.0,50.0,149.0,0.0,0.0,65.9,5.0,25.0,5.32,5.32
2005,2005-10-24,25.343000000000004,12.0,20.0,60.0,94.0,0.0,0.0,71.7,2.0,8.0,4.7,4.7
2005,2005-11-06,25.355999999999998,11.0,20.0,55.0,106.0,2.0,0.0,103.3,2.0,16.0,5.3,7.3
2005,2005-11-13,25.363000000000003,11.0,21.0,52.38,98.0,0.0,4.0,25.6,3.0,21.0,4.67,-3.9
2005,2005-11-20,26.005,4.0,5.0,80.0,26.0,0.0,0.0,88.3,1.0,5.0,5.2,5.2
2005,2005-11-27,26.011999999999997,19.0,28.0,67.86,251.0,1.0,0.0,107.9,1.0,9.0,8.96,9.68
2005,2005-12-04,26.019000000000002,15.0,37.0,40.54,135.0,0.0,1.0,39.8,2.0,12.0,3.65,2.43
2005,2005-12-11,26.026,14.0,26.0,53.85,119.0,1.0,0.0,78.8,2.0,9.0,4.58,5.35
2005,2005-12-18,26.033,28.0,42.0,66.67,327.0,2.0,0.0,106.0,6.0,29.0,7.79,8.74
2005,2005-12-26,26.041,11.0,19.0,57.89,100.0,1.0,1.0,67.9,4.0,32.0,5.26,3.95
2005,2006-01-01,26.046999999999997,11.0,20.0,55.0,153.0,0.0,0.0,79.8,4.0,27.0,7.65,7.65
2006,2006-10-30,26.349,6.0,9.0,66.67,76.0,0.0,1.0,53.2,3.0,20.0,8.44,3.44
2006,2006-12-03,27.018,7.0,9.0,77.78,70.0,0.0,0.0,99.1,3.0,22.0,7.78,7.78
2007,2007-09-16,27.305,3.0,4.0,75.0,26.0,0.0,0.0,91.7,1.0,2.0,6.5,6.5
2007,2007-10-28,27.346999999999998,7.0,10.0,70.0,94.0,0.0,0.0,99.6,2.0,11.0,9.4,9.4
2007,2007-11-04,27.354,7.0,10.0,70.0,95.0,1.0,0.0,133.3,1.0,8.0,9.5,11.5
2007,2007-11-11,27.361,16.0,26.0,61.54,176.0,0.0,1.0,65.5,3.0,15.0,6.77,5.04
2007,2007-12-17,28.031999999999996,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2008,2008-11-02,28.353,9.0,16.0,56.25,63.0,1.0,1.0,60.2,2.0,15.0,3.94,2.38
2008,2008-12-28,29.043000000000003,1.0,1.0,100.0,8.0,0.0,0.0,100.0,1.0,7.0,8.0,8.0
