Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1991,1991-11-24,23.209,1.0,2.0,50.0,10.0,0.0,0.0,64.6,0.0,0.0,5.0,5.0
1992,1992-09-06,24.13,21.0,37.0,56.76,366.0,2.0,0.0,108.6,2.0,23.0,9.89,10.97
1992,1992-09-13,24.136999999999997,9.0,29.0,31.03,117.0,0.0,1.0,30.4,1.0,5.0,4.03,2.48
1992,1992-09-27,24.151,19.0,39.0,48.72,200.0,0.0,2.0,42.7,2.0,19.0,5.13,2.82
1992,1992-10-04,24.158,20.0,33.0,60.61,195.0,2.0,1.0,84.8,0.0,0.0,5.91,5.76
1992,1992-10-11,24.165,6.0,16.0,37.5,102.0,0.0,0.0,59.9,2.0,29.0,6.38,6.38
1992,1992-10-26,24.18,19.0,32.0,59.38,167.0,0.0,2.0,47.3,2.0,20.0,5.22,2.41
1992,1992-11-08,24.193,14.0,25.0,56.0,163.0,1.0,0.0,89.2,3.0,15.0,6.52,7.32
1992,1992-11-15,24.2,8.0,24.0,33.33,98.0,0.0,2.0,12.2,1.0,0.0,4.08,0.33
1992,1992-11-22,24.206999999999997,9.0,24.0,37.5,77.0,0.0,2.0,12.0,3.0,20.0,3.21,-0.54
1992,1992-11-29,24.214000000000002,13.0,27.0,48.15,146.0,1.0,0.0,77.1,0.0,0.0,5.41,6.15
1992,1992-12-06,24.221,14.0,22.0,63.64,176.0,0.0,1.0,69.5,3.0,25.0,8.0,5.95
1992,1992-12-13,24.228,13.0,33.0,39.39,158.0,0.0,3.0,17.0,1.0,16.0,4.79,0.7
1992,1992-12-20,24.235,12.0,18.0,66.67,176.0,1.0,2.0,77.3,3.0,18.0,9.78,5.89
1992,1992-12-26,24.241,15.0,28.0,53.57,139.0,0.0,1.0,52.5,4.0,25.0,4.96,3.36
1993,1993-09-26,25.15,1.0,1.0,100.0,6.0,0.0,0.0,91.7,0.0,0.0,6.0,6.0
1993,1993-12-18,25.233,3.0,9.0,33.33,40.0,0.0,0.0,48.4,1.0,7.0,4.44,4.44
1993,1994-01-02,25.248,2.0,4.0,50.0,25.0,0.0,0.0,69.8,2.0,14.0,6.25,6.25
1994,1994-12-24,26.239,8.0,21.0,38.1,69.0,0.0,1.0,27.7,2.0,18.0,3.29,1.14
1996,1996-10-20,28.174,0.0,0.0,,0.0,0.0,0.0,,1.0,2.0,,
1996,1996-11-10,28.195,3.0,5.0,60.0,31.0,0.0,1.0,38.3,1.0,5.0,6.2,-2.8
1996,1996-11-24,28.209,1.0,2.0,50.0,4.0,0.0,1.0,16.7,0.0,0.0,2.0,-20.5
1996,1996-12-02,28.217,2.0,5.0,40.0,24.0,1.0,0.0,95.0,2.0,13.0,4.8,8.8
1996,1996-12-22,28.237,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
