Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2006,2006-09-10,23.226,1.0,5.0,20.0,4.0,0.0,0.0,39.6,1.0,1.0,0.8,0.8
2006,2006-09-24,23.24,1.0,1.0,100.0,16.0,0.0,0.0,118.7,0.0,0.0,16.0,16.0
2006,2006-10-08,23.254,20.0,31.0,64.52,225.0,2.0,0.0,107.6,2.0,6.0,7.26,8.55
2006,2006-10-15,23.261,25.0,44.0,56.82,184.0,2.0,1.0,72.5,2.0,10.0,4.18,4.07
2006,2006-10-22,23.268,13.0,26.0,50.0,104.0,0.0,0.0,60.4,2.0,19.0,4.0,4.0
2006,2006-10-29,23.275,20.0,48.0,41.67,139.0,0.0,0.0,49.3,2.0,5.0,2.9,2.9
2006,2006-11-05,23.281999999999996,18.0,31.0,58.06,185.0,2.0,0.0,96.8,4.0,27.0,5.97,7.26
2006,2006-11-13,23.29,17.0,32.0,53.13,173.0,1.0,2.0,53.3,3.0,20.0,5.41,3.22
2006,2006-11-19,23.296,14.0,21.0,66.67,178.0,2.0,1.0,104.9,0.0,0.0,8.48,8.24
2006,2006-11-23,23.3,10.0,20.0,50.0,120.0,0.0,2.0,29.2,1.0,10.0,6.0,1.5
2006,2006-12-03,23.31,20.0,34.0,58.82,175.0,0.0,3.0,35.8,5.0,31.0,5.15,1.18
2006,2006-12-10,23.316999999999997,13.0,24.0,54.17,121.0,0.0,0.0,68.2,1.0,12.0,5.04,5.04
2006,2006-12-17,23.324,5.0,11.0,45.45,37.0,0.0,0.0,54.0,2.0,5.0,3.36,3.36
2006,2006-12-24,23.331,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2007,2007-10-07,24.253,3.0,4.0,75.0,22.0,0.0,1.0,47.9,0.0,0.0,5.5,-5.75
2007,2007-11-18,24.295,1.0,1.0,100.0,2.0,0.0,0.0,79.2,0.0,0.0,2.0,2.0
2007,2007-11-25,24.302,9.0,19.0,47.37,106.0,0.0,0.0,64.8,2.0,14.0,5.58,5.58
2007,2007-12-09,24.316,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2007,2007-12-16,24.323,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2008,2008-12-21,25.329,2.0,5.0,40.0,8.0,0.0,1.0,8.3,1.0,12.0,1.6,-7.4
2008,2008-12-28,25.336,5.0,16.0,31.25,18.0,0.0,2.0,1.0,3.0,6.0,1.13,-4.5
2009,2009-09-14,26.23,2.0,2.0,100.0,17.0,0.0,0.0,102.1,0.0,0.0,8.5,8.5
2009,2009-10-25,26.271,10.0,19.0,52.63,97.0,0.0,0.0,67.2,2.0,8.0,5.11,5.11
2009,2009-11-15,26.291999999999998,5.0,9.0,55.56,49.0,0.0,2.0,31.5,1.0,10.0,5.44,-4.56
2009,2009-11-22,26.299,17.0,34.0,50.0,183.0,2.0,1.0,73.5,0.0,0.0,5.38,5.24
2009,2009-11-26,26.303,18.0,35.0,51.43,200.0,1.0,0.0,78.3,3.0,19.0,5.71,6.29
2009,2009-12-06,26.313000000000002,20.0,33.0,60.61,308.0,3.0,0.0,121.8,3.0,21.0,9.33,11.15
2009,2009-12-13,26.32,10.0,18.0,55.56,153.0,0.0,0.0,83.8,2.0,13.0,8.5,8.5
2010,2010-09-19,27.235,11.0,21.0,52.38,162.0,1.0,1.0,73.9,0.0,0.0,7.71,6.52
2010,2010-09-26,27.241999999999997,17.0,34.0,50.0,255.0,1.0,1.0,72.5,3.0,24.0,7.5,6.76
2010,2010-10-03,27.249000000000002,24.0,39.0,61.54,278.0,2.0,2.0,78.8,4.0,33.0,7.13,5.85
2010,2010-10-10,27.256,1.0,7.0,14.29,14.0,0.0,0.0,39.6,0.0,0.0,2.0,2.0
2010,2010-11-21,27.298000000000002,13.0,24.0,54.17,98.0,0.0,1.0,46.9,2.0,15.0,4.08,2.21
2010,2010-11-28,27.305,17.0,32.0,53.13,252.0,1.0,2.0,63.5,1.0,5.0,7.88,5.69
2011,2011-09-11,28.226999999999997,5.0,12.0,41.67,92.0,1.0,0.0,96.5,1.0,7.0,7.67,9.33
2011,2011-12-04,28.311,3.0,6.0,50.0,17.0,0.0,1.0,16.7,0.0,0.0,2.83,-4.67
2012,2012-09-10,29.226999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2012,2012-12-23,29.331,,,,,,,,,,,
2012,2012-12-30,29.338,5.0,11.0,45.45,65.0,0.0,0.0,64.6,0.0,0.0,5.91,5.91
2014,2014-09-21,31.237,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
