Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1983,1983-11-06,24.195,3.0,5.0,60.0,41.0,0.0,1.0,46.7,0.0,0.0,8.2,-0.8
1984,1984-10-29,25.186999999999998,,,,,,,,,,,
1984,1984-12-16,25.235,,,,,,,,,,,
1985,1985-09-15,26.143,5.0,13.0,38.46,72.0,0.0,0.0,57.2,1.0,8.0,5.54,5.54
1985,1985-10-06,26.164,2.0,6.0,33.33,28.0,0.0,0.0,49.3,0.0,0.0,4.67,4.67
1985,1985-11-03,26.191999999999997,5.0,10.0,50.0,63.0,1.0,1.0,63.7,1.0,6.0,6.3,3.8
1985,1985-11-10,26.199,11.0,22.0,50.0,121.0,0.0,0.0,66.7,7.0,52.0,5.5,5.5
1985,1985-11-17,26.206,15.0,30.0,50.0,177.0,0.0,2.0,40.6,1.0,15.0,5.9,2.9
1985,1985-11-24,26.213,15.0,28.0,53.57,196.0,2.0,0.0,99.7,3.0,35.0,7.0,8.43
1985,1985-12-01,26.22,18.0,36.0,50.0,271.0,0.0,4.0,35.5,4.0,33.0,7.53,2.53
1985,1985-12-08,26.226999999999997,22.0,39.0,56.41,357.0,0.0,2.0,65.9,3.0,26.0,9.15,6.85
1985,1985-12-15,26.234,10.0,20.0,50.0,162.0,1.0,2.0,54.6,2.0,28.0,8.1,4.6
1985,1985-12-22,26.241,10.0,24.0,41.67,188.0,0.0,3.0,29.9,0.0,0.0,7.83,2.21
1986,1986-11-02,27.191,,,,,,,,,,,
1986,1986-11-09,27.198,0.0,0.0,,0.0,0.0,0.0,,,,,
1987,1987-10-04,28.162,20.0,42.0,47.62,326.0,2.0,3.0,60.2,0.0,0.0,7.76,5.5
1987,1987-10-11,28.169,15.0,32.0,46.88,167.0,1.0,2.0,47.3,5.0,41.0,5.22,3.03
1987,1987-10-18,28.176,1.0,2.0,50.0,8.0,0.0,0.0,60.4,1.0,8.0,4.0,4.0
