Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1986,1986-10-13,24.059,12.0,33.0,36.36,191.0,0.0,0.0,56.5,1.0,11.0,5.79,5.79
1986,1986-10-19,24.065,9.0,27.0,33.33,100.0,0.0,2.0,14.4,5.0,46.0,3.7,0.37
1987,1987-09-20,25.035999999999998,1.0,5.0,20.0,10.0,0.0,1.0,0.0,1.0,5.0,2.0,-7.0
1987,1987-11-15,25.092,3.0,7.0,42.86,10.0,0.0,2.0,10.7,1.0,9.0,1.43,-11.43
1988,1988-09-04,26.02,13.0,27.0,48.15,214.0,0.0,0.0,75.2,1.0,0.0,7.93,7.93
1988,1988-09-11,26.026999999999997,12.0,28.0,42.86,258.0,2.0,0.0,100.0,0.0,0.0,9.21,10.64
1988,1988-09-18,26.034000000000002,15.0,30.0,50.0,235.0,1.0,2.0,59.7,5.0,40.0,7.83,5.5
1988,1988-09-25,26.041,22.0,36.0,61.11,330.0,2.0,3.0,75.0,3.0,16.0,9.17,6.53
1988,1988-10-02,26.048000000000002,4.0,14.0,28.57,28.0,0.0,2.0,0.0,1.0,9.0,2.0,-4.43
1988,1988-10-30,26.076,11.0,25.0,44.0,238.0,1.0,2.0,58.4,6.0,29.0,9.52,6.72
1988,1988-11-06,26.083000000000002,11.0,29.0,37.93,147.0,0.0,0.0,54.8,4.0,50.0,5.07,5.07
1988,1988-11-13,26.09,11.0,25.0,44.0,226.0,1.0,1.0,73.1,4.0,42.0,9.04,8.04
1988,1988-11-20,26.096999999999998,16.0,35.0,45.71,220.0,0.0,2.0,42.6,6.0,53.0,6.29,3.71
1988,1988-11-27,26.104,13.0,27.0,48.15,122.0,0.0,1.0,45.6,0.0,0.0,4.52,2.85
1988,1988-12-04,26.111,17.0,36.0,47.22,311.0,3.0,0.0,105.2,3.0,19.0,8.64,10.31
1988,1988-12-11,26.118000000000002,17.0,32.0,53.13,206.0,1.0,1.0,70.6,3.0,34.0,6.44,5.66
1988,1988-12-18,26.125,13.0,26.0,50.0,99.0,0.0,0.0,59.6,0.0,0.0,3.81,3.81
1989,1989-09-10,27.026,10.0,22.0,45.45,84.0,0.0,3.0,16.3,6.0,67.0,3.82,-2.32
1989,1989-09-17,27.033,19.0,35.0,54.29,244.0,1.0,0.0,85.9,6.0,56.0,6.97,7.54
1989,1989-09-24,27.04,16.0,22.0,72.73,157.0,1.0,0.0,107.6,4.0,38.0,7.14,8.05
1989,1989-10-01,27.046999999999997,21.0,27.0,77.78,267.0,1.0,0.0,120.2,6.0,53.0,9.89,10.63
1989,1989-10-08,27.054000000000002,19.0,31.0,61.29,169.0,1.0,0.0,86.6,3.0,35.0,5.45,6.1
1989,1989-10-29,27.075,17.0,27.0,62.96,253.0,2.0,0.0,118.3,2.0,21.0,9.37,10.85
1989,1989-11-05,27.081999999999997,11.0,26.0,42.31,101.0,1.0,0.0,66.3,2.0,24.0,3.88,4.65
1989,1989-11-12,27.089000000000002,14.0,26.0,53.85,197.0,0.0,3.0,38.9,4.0,35.0,7.58,2.38
1989,1989-11-19,27.096,12.0,27.0,44.44,142.0,0.0,0.0,61.0,4.0,39.0,5.26,5.26
1989,1989-11-26,27.103,8.0,18.0,44.44,167.0,0.0,0.0,77.8,0.0,0.0,9.28,9.28
1989,1989-12-03,27.11,9.0,21.0,42.86,73.0,0.0,1.0,32.4,3.0,30.0,3.48,1.33
1989,1989-12-10,27.116999999999997,15.0,29.0,51.72,175.0,0.0,1.0,56.0,2.0,15.0,6.03,4.48
1989,1989-12-17,27.124000000000002,9.0,16.0,56.25,158.0,0.0,0.0,90.1,2.0,30.0,9.88,9.88
1989,1989-12-24,27.131,7.0,15.0,46.67,178.0,2.0,2.0,90.4,1.0,9.0,11.87,8.53
1990,1990-09-09,28.025,17.0,32.0,53.13,193.0,0.0,2.0,45.4,3.0,32.0,6.03,3.22
1990,1990-09-16,28.031999999999996,9.0,23.0,39.13,81.0,0.0,0.0,49.4,4.0,26.0,3.52,3.52
1990,1990-09-23,28.039,19.0,28.0,67.86,156.0,0.0,1.0,67.0,6.0,38.0,5.57,3.96
1990,1990-09-30,28.046,7.0,18.0,38.89,76.0,0.0,3.0,12.5,3.0,19.0,4.22,-3.28
1990,1990-10-07,28.053,11.0,14.0,78.57,132.0,2.0,0.0,145.5,0.0,0.0,9.43,12.29
1990,1990-10-14,28.06,21.0,28.0,75.0,353.0,4.0,0.0,156.2,1.0,10.0,12.61,15.46
1990,1990-10-21,28.066999999999997,13.0,22.0,59.09,120.0,1.0,1.0,70.3,2.0,17.0,5.45,4.32
1990,1990-10-29,28.075,15.0,24.0,62.5,161.0,4.0,1.0,104.3,1.0,5.0,6.71,8.17
1990,1990-11-04,28.081,11.0,17.0,64.71,216.0,2.0,0.0,147.3,1.0,2.0,12.71,15.06
1990,1990-11-18,28.095,14.0,27.0,51.85,112.0,0.0,0.0,62.6,0.0,0.0,4.15,4.15
1990,1990-11-25,28.101999999999997,18.0,24.0,75.0,187.0,2.0,2.0,90.1,2.0,12.0,7.79,5.71
1990,1990-12-02,28.109,18.0,40.0,45.0,234.0,0.0,1.0,53.5,1.0,8.0,5.85,4.73
1990,1990-12-09,28.116,10.0,20.0,50.0,171.0,1.0,1.0,75.2,1.0,5.0,8.55,7.3
1990,1990-12-16,28.123,15.0,25.0,60.0,154.0,0.0,1.0,61.1,0.0,0.0,6.16,4.36
1990,1990-12-23,28.13,10.0,19.0,52.63,139.0,4.0,0.0,116.0,1.0,19.0,7.32,11.53
1990,1990-12-30,28.136999999999997,15.0,26.0,57.69,240.0,0.0,1.0,72.6,2.0,20.0,9.23,7.5
1991,1991-09-01,29.017,13.0,21.0,61.9,189.0,1.0,2.0,67.5,2.0,12.0,9.0,5.67
1991,1991-09-08,29.024,15.0,29.0,51.72,134.0,0.0,1.0,50.1,2.0,21.0,4.62,3.07
1991,1991-09-15,29.031,22.0,29.0,75.86,262.0,1.0,0.0,114.4,1.0,15.0,9.03,9.72
1991,1991-09-22,29.038,12.0,25.0,48.0,190.0,2.0,1.0,83.7,3.0,30.0,7.6,7.4
1991,1991-10-06,29.052,13.0,16.0,81.25,181.0,2.0,2.0,113.8,2.0,14.0,11.31,8.19
1991,1991-10-14,29.06,6.0,16.0,37.5,97.0,0.0,1.0,32.6,2.0,20.0,6.06,3.25
1991,1991-12-15,29.122,15.0,28.0,53.57,184.0,2.0,2.0,68.2,1.0,7.0,6.57,4.79
1991,1991-12-22,29.129,7.0,26.0,26.92,113.0,1.0,0.0,58.0,2.0,26.0,4.35,5.12
1992,1992-11-15,30.092,2.0,4.0,50.0,15.0,1.0,0.0,99.0,0.0,0.0,3.75,8.75
1992,1992-11-22,30.099,10.0,22.0,45.45,109.0,0.0,1.0,41.7,0.0,0.0,4.95,2.91
1992,1992-12-06,30.113000000000003,6.0,12.0,50.0,69.0,0.0,2.0,28.1,0.0,0.0,5.75,-1.75
1992,1992-12-13,30.12,14.0,31.0,45.16,143.0,0.0,2.0,32.1,5.0,38.0,4.61,1.71
1992,1992-12-20,30.127,13.0,22.0,59.09,160.0,0.0,0.0,81.6,3.0,30.0,7.27,7.27
1992,1992-12-27,30.134,18.0,25.0,72.0,223.0,1.0,0.0,112.6,5.0,20.0,8.92,9.72
1993,1993-10-03,31.049,11.0,17.0,64.71,108.0,2.0,0.0,121.7,1.0,6.0,6.35,8.71
1993,1993-10-10,31.055999999999997,18.0,33.0,54.55,209.0,1.0,2.0,58.8,7.0,43.0,6.33,4.21
1993,1993-10-17,31.063000000000002,2.0,3.0,66.67,15.0,0.0,0.0,78.5,1.0,6.0,5.0,5.0
1993,1993-11-21,31.098000000000003,9.0,20.0,45.0,94.0,0.0,0.0,59.2,0.0,0.0,4.7,4.7
1993,1993-11-28,31.105,19.0,31.0,61.29,170.0,1.0,0.0,86.8,1.0,6.0,5.48,6.13
1993,1993-12-06,31.113000000000003,27.0,45.0,60.0,248.0,2.0,1.0,80.6,0.0,0.0,5.51,5.4
1993,1993-12-12,31.119,28.0,48.0,58.33,299.0,1.0,0.0,83.6,1.0,1.0,6.23,6.65
1993,1993-12-19,31.125999999999998,21.0,39.0,53.85,217.0,1.0,1.0,68.0,3.0,28.0,5.56,4.92
1993,1993-12-26,31.133000000000003,20.0,30.0,66.67,195.0,3.0,0.0,118.1,2.0,15.0,6.5,8.5
1993,1994-01-03,31.141,26.0,43.0,60.47,350.0,3.0,1.0,100.0,3.0,43.0,8.14,8.49
1994,1994-09-04,32.02,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-09-12,32.028,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-09-18,32.034,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-10-02,32.048,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-10-09,32.055,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-12-18,32.125,25.0,39.0,64.1,182.0,1.0,1.0,72.8,1.0,11.0,4.67,4.03
1994,1994-12-24,32.131,26.0,37.0,70.27,325.0,1.0,0.0,106.2,4.0,28.0,8.78,9.32
1995,1995-09-03,33.019,5.0,8.0,62.5,37.0,0.0,1.0,33.9,1.0,10.0,4.63,-1.0
1995,1995-09-10,33.025999999999996,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-10-01,33.047,1.0,4.0,25.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1995,1995-10-08,33.054,13.0,23.0,56.52,112.0,1.0,1.0,65.9,3.0,27.0,4.87,3.78
1995,1995-10-15,33.061,17.0,41.0,41.46,143.0,0.0,3.0,20.7,3.0,30.0,3.49,0.2
1995,1995-10-22,33.068000000000005,15.0,26.0,57.69,152.0,2.0,1.0,84.1,3.0,9.0,5.85,5.65
1995,1995-10-29,33.075,19.0,31.0,61.29,154.0,1.0,1.0,71.2,2.0,14.0,4.97,4.16
1995,1995-11-05,33.082,3.0,8.0,37.5,18.0,0.0,0.0,45.8,1.0,2.0,2.25,2.25
1995,1995-12-24,33.131,20.0,29.0,68.97,110.0,0.0,1.0,61.0,3.0,30.0,3.79,2.24
1997,1997-12-21,35.128,6.0,9.0,66.67,48.0,0.0,0.0,79.9,0.0,0.0,5.33,5.33
1998,1998-09-13,36.029,1.0,1.0,100.0,38.0,0.0,0.0,118.7,0.0,0.0,38.0,38.0
1998,1998-09-20,36.036,10.0,17.0,58.82,140.0,2.0,1.0,100.1,1.0,9.0,8.24,7.94
1998,1998-09-27,36.043,16.0,24.0,66.67,180.0,2.0,0.0,116.7,0.0,0.0,7.5,9.17
1998,1998-10-04,36.05,16.0,29.0,55.17,203.0,4.0,1.0,102.4,2.0,13.0,7.0,8.21
1998,1998-11-08,36.085,20.0,33.0,60.61,229.0,2.0,1.0,89.1,2.0,15.0,6.94,6.79
1998,1998-11-16,36.093,13.0,23.0,56.52,180.0,0.0,0.0,81.8,1.0,6.0,7.83,7.83
1998,1998-12-21,36.128,2.0,4.0,50.0,16.0,0.0,0.0,60.4,1.0,6.0,4.0,4.0
1999,1999-09-19,37.035,9.0,15.0,60.0,65.0,0.0,1.0,42.4,0.0,0.0,4.33,1.33
1999,1999-10-03,37.049,3.0,5.0,60.0,22.0,0.0,2.0,30.8,0.0,0.0,4.4,-13.6
2000,2000-11-12,38.089,1.0,2.0,50.0,4.0,0.0,0.0,56.2,0.0,0.0,2.0,2.0
2000,2000-12-24,38.131,9.0,18.0,50.0,78.0,0.0,1.0,38.7,1.0,6.0,4.33,1.83
