Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2003,2003-09-14,23.243000000000002,7.0,8.0,87.5,92.0,1.0,0.0,154.2,0.0,0.0,11.5,14.0
2003,2003-09-21,23.25,4.0,5.0,80.0,32.0,1.0,0.0,132.9,0.0,0.0,6.4,10.4
2003,2003-09-28,23.256999999999998,17.0,36.0,47.22,231.0,1.0,3.0,42.7,0.0,0.0,6.42,3.22
2003,2003-10-05,23.264,19.0,28.0,67.86,336.0,2.0,0.0,132.4,3.0,23.0,12.0,13.43
2003,2003-10-12,23.271,24.0,42.0,57.14,256.0,0.0,3.0,45.3,4.0,12.0,6.1,2.88
2003,2003-10-26,23.285,15.0,27.0,55.56,158.0,1.0,2.0,54.2,2.0,5.0,5.85,3.26
2003,2003-11-02,23.291999999999998,22.0,34.0,64.71,208.0,1.0,1.0,79.0,4.0,22.0,6.12,5.38
2003,2003-11-09,23.299,12.0,22.0,54.55,179.0,1.0,0.0,96.6,0.0,0.0,8.14,9.05
2003,2003-11-16,23.305999999999997,15.0,31.0,48.39,151.0,0.0,2.0,35.8,1.0,6.0,4.87,1.97
2003,2003-11-23,23.313000000000002,17.0,33.0,51.52,172.0,0.0,1.0,54.1,1.0,0.0,5.21,3.85
2003,2003-11-30,23.32,20.0,34.0,58.82,224.0,2.0,0.0,98.2,0.0,0.0,6.59,7.76
2003,2003-12-07,23.326999999999998,18.0,29.0,62.07,194.0,1.0,0.0,93.2,1.0,12.0,6.69,7.38
2003,2003-12-14,23.334,21.0,40.0,52.5,288.0,1.0,2.0,63.3,1.0,6.0,7.2,5.45
2003,2003-12-21,23.340999999999998,9.0,17.0,52.94,131.0,1.0,2.0,58.3,1.0,0.0,7.71,3.59
2003,2003-12-28,23.348000000000003,19.0,32.0,59.38,167.0,1.0,0.0,83.7,1.0,4.0,5.22,5.84
2004,2004-09-12,24.241999999999997,18.0,36.0,50.0,147.0,1.0,2.0,46.9,2.0,5.0,4.08,2.14
2004,2004-09-19,24.249000000000002,8.0,16.0,50.0,120.0,1.0,0.0,95.8,1.0,4.0,7.5,8.75
2004,2004-09-26,24.256,14.0,20.0,70.0,124.0,1.0,0.0,102.9,2.0,7.0,6.2,7.2
2004,2004-10-03,24.263,29.0,41.0,70.73,318.0,1.0,0.0,101.5,1.0,7.0,7.76,8.24
2004,2004-10-10,24.27,36.0,54.0,66.67,357.0,1.0,2.0,75.9,3.0,8.0,6.61,5.31
2004,2004-10-17,24.276999999999997,24.0,36.0,66.67,298.0,2.0,0.0,110.6,4.0,21.0,8.28,9.39
2004,2004-10-24,24.284000000000002,23.0,30.0,76.67,300.0,2.0,1.0,116.0,3.0,14.0,10.0,9.83
2004,2004-10-31,24.291,25.0,40.0,62.5,227.0,0.0,2.0,57.0,1.0,7.0,5.68,3.43
2004,2004-11-28,24.319000000000003,19.0,34.0,55.88,235.0,1.0,0.0,87.3,2.0,10.0,6.91,7.5
2004,2004-12-05,24.326,16.0,27.0,59.26,268.0,1.0,0.0,105.2,2.0,9.0,9.93,10.67
2004,2004-12-12,24.333000000000002,25.0,45.0,55.56,242.0,2.0,1.0,76.3,0.0,0.0,5.38,5.27
2004,2004-12-19,24.34,9.0,20.0,45.0,121.0,2.0,0.0,98.1,1.0,6.0,6.05,8.05
2004,2004-12-26,24.346999999999998,6.0,14.0,42.86,35.0,0.0,1.0,20.5,2.0,16.0,2.5,-0.71
2004,2005-01-02,24.354,15.0,28.0,53.57,149.0,0.0,1.0,54.0,1.0,0.0,5.32,3.71
2005,2005-09-11,25.24,17.0,31.0,54.84,252.0,2.0,0.0,103.2,3.0,15.0,8.13,9.42
2005,2005-09-18,25.247,16.0,29.0,55.17,198.0,0.0,0.0,76.5,6.0,23.0,6.83,6.83
2005,2005-09-25,25.254,16.0,23.0,69.57,177.0,2.0,1.0,103.0,2.0,8.0,7.7,7.48
