Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1999,1999-09-12,22.243000000000002,6.0,9.0,66.67,77.0,0.0,0.0,93.3,0.0,0.0,8.56,8.56
1999,1999-09-19,22.25,1.0,2.0,50.0,4.0,0.0,0.0,56.2,0.0,0.0,2.0,2.0
1999,1999-09-26,22.256999999999998,3.0,5.0,60.0,38.0,0.0,0.0,83.7,1.0,7.0,7.6,7.6
1999,1999-10-03,22.264,0.0,4.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1999,1999-10-10,22.271,9.0,14.0,64.29,97.0,0.0,0.0,84.5,1.0,3.0,6.93,6.93
1999,1999-10-17,22.278000000000002,17.0,33.0,51.52,255.0,1.0,2.0,62.1,4.0,16.0,7.73,5.61
1999,1999-10-24,22.285,9.0,23.0,39.13,82.0,0.0,1.0,31.4,2.0,10.0,3.57,1.61
1999,1999-10-31,22.291999999999998,23.0,40.0,57.5,272.0,3.0,3.0,72.1,2.0,13.0,6.8,4.93
1999,1999-11-07,22.299,2.0,5.0,40.0,15.0,0.0,0.0,47.9,0.0,0.0,3.0,3.0
1999,1999-11-21,22.313000000000002,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1999,1999-11-25,22.316999999999997,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1999,1999-12-05,22.326999999999998,1.0,3.0,33.33,3.0,0.0,0.0,42.4,0.0,0.0,1.0,1.0
1999,1999-12-19,22.340999999999998,27.0,36.0,75.0,301.0,4.0,2.0,113.3,2.0,9.0,8.36,8.08
1999,1999-12-26,22.348000000000003,9.0,16.0,56.25,125.0,0.0,1.0,55.5,4.0,26.0,7.81,5.0
1999,2000-01-02,22.355,20.0,42.0,47.62,196.0,0.0,1.0,51.3,2.0,10.0,4.67,3.6
2000,2000-09-03,23.235,27.0,41.0,65.85,290.0,2.0,0.0,102.7,2.0,18.0,7.07,8.05
2000,2000-09-10,23.241999999999997,15.0,29.0,51.72,96.0,0.0,2.0,30.2,5.0,47.0,3.31,0.21
2000,2000-09-17,23.249000000000002,23.0,36.0,63.89,202.0,1.0,0.0,88.0,3.0,22.0,5.61,6.17
2000,2000-09-24,23.256,21.0,35.0,60.0,261.0,1.0,3.0,57.0,1.0,7.0,7.46,4.17
2000,2000-10-01,23.263,11.0,20.0,55.0,203.0,2.0,0.0,123.5,5.0,11.0,10.15,12.15
2000,2000-10-08,23.27,18.0,37.0,48.65,202.0,0.0,3.0,31.6,5.0,29.0,5.46,1.81
2000,2000-10-15,23.276999999999997,19.0,33.0,57.58,210.0,1.0,0.0,86.7,2.0,14.0,6.36,6.97
2000,2000-10-22,23.284000000000002,6.0,9.0,66.67,49.0,0.0,0.0,80.3,2.0,13.0,5.44,5.44
2000,2000-12-17,23.34,9.0,29.0,31.03,73.0,0.0,1.0,26.1,2.0,8.0,2.52,0.97
2000,2000-12-24,23.346999999999998,5.0,11.0,45.45,60.0,1.0,0.0,93.0,0.0,0.0,5.45,7.27
