Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2004,2004-09-12,24.26,18.0,27.0,66.67,248.0,2.0,1.0,105.2,1.0,10.0,9.19,9.0
2004,2004-09-19,24.267,21.0,38.0,55.26,147.0,0.0,1.0,53.3,5.0,31.0,3.87,2.68
2004,2004-09-26,24.274,25.0,52.0,48.08,316.0,0.0,3.0,43.4,4.0,27.0,6.08,3.48
2004,2004-10-03,24.281,20.0,37.0,54.05,164.0,1.0,2.0,52.1,1.0,8.0,4.43,2.54
2004,2004-10-17,24.295,20.0,36.0,55.56,148.0,1.0,1.0,63.2,3.0,17.0,4.11,3.42
2004,2004-10-25,24.303,12.0,21.0,57.14,198.0,1.0,1.0,85.0,1.0,10.0,9.43,8.24
2004,2004-10-31,24.309,20.0,36.0,55.56,247.0,0.0,1.0,65.4,4.0,30.0,6.86,5.61
2004,2004-11-07,24.316,21.0,32.0,65.63,212.0,1.0,0.0,94.8,0.0,0.0,6.63,7.25
2004,2004-11-14,24.323,24.0,39.0,61.54,217.0,1.0,2.0,63.7,0.0,0.0,5.56,3.77
2004,2004-11-21,24.33,13.0,25.0,52.0,165.0,2.0,1.0,82.9,3.0,18.0,6.6,6.4
2004,2004-11-28,24.337,22.0,29.0,75.86,251.0,4.0,3.0,101.4,0.0,0.0,8.66,6.76
2004,2004-12-05,24.344,29.0,36.0,80.56,382.0,3.0,1.0,127.1,3.0,27.0,10.61,11.03
2004,2004-12-12,24.351,18.0,24.0,75.0,202.0,2.0,1.0,110.1,0.0,0.0,8.42,8.21
2005,2005-09-11,25.258000000000003,26.0,34.0,76.47,280.0,2.0,1.0,107.5,2.0,8.0,8.24,8.09
2005,2005-09-18,25.265,27.0,40.0,67.5,337.0,3.0,1.0,108.0,0.0,0.0,8.43,8.8
2005,2005-09-25,25.272,16.0,23.0,69.57,169.0,3.0,0.0,130.3,1.0,8.0,7.35,9.96
2005,2005-10-02,25.279,25.0,34.0,73.53,276.0,1.0,0.0,107.0,2.0,3.0,8.12,8.71
2005,2005-10-09,25.285999999999998,22.0,33.0,66.67,239.0,2.0,0.0,108.0,2.0,7.0,7.24,8.45
2005,2005-10-16,25.293000000000003,27.0,33.0,81.82,272.0,2.0,0.0,121.2,1.0,4.0,8.24,9.45
2005,2005-10-23,25.3,21.0,36.0,58.33,227.0,0.0,2.0,53.8,2.0,16.0,6.31,3.81
