Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2016,2016-09-11,23.256,22.0,37.0,59.46,278.0,2.0,0.0,101.0,2.0,8.0,7.51,8.59
2016,2016-09-19,23.264,21.0,34.0,61.76,190.0,1.0,0.0,86.6,2.0,10.0,5.59,6.18
2016,2016-09-25,23.27,23.0,31.0,74.19,301.0,2.0,0.0,125.9,0.0,0.0,9.71,11.0
2016,2016-10-09,23.284000000000002,25.0,33.0,75.76,238.0,2.0,1.0,102.8,3.0,8.0,7.21,7.06
2016,2016-10-16,23.291,11.0,22.0,50.0,179.0,0.0,0.0,77.7,5.0,34.0,8.14,8.14
2016,2016-10-23,23.298000000000002,16.0,28.0,57.14,138.0,1.0,2.0,52.4,0.0,0.0,4.93,2.43
2016,2016-10-30,23.305,32.0,43.0,74.42,202.0,1.0,0.0,91.4,3.0,8.0,4.7,5.16
2016,2016-11-06,23.311999999999998,27.0,47.0,57.45,364.0,0.0,2.0,64.5,2.0,17.0,7.74,5.83
2016,2016-11-13,23.319000000000003,25.0,36.0,69.44,231.0,0.0,0.0,86.7,2.0,10.0,6.42,6.42
2016,2016-11-20,23.326,23.0,45.0,51.11,218.0,2.0,2.0,61.2,2.0,23.0,4.84,3.73
2016,2016-11-28,23.334,24.0,36.0,66.67,254.0,0.0,1.0,75.5,4.0,43.0,7.06,5.81
2016,2016-12-04,23.34,36.0,60.0,60.0,308.0,1.0,3.0,58.2,1.0,2.0,5.13,3.22
2016,2016-12-11,23.346999999999998,32.0,46.0,69.57,314.0,1.0,1.0,86.7,4.0,26.0,6.83,6.28
2016,2016-12-18,23.354,22.0,42.0,52.38,170.0,0.0,1.0,52.7,1.0,11.0,4.05,2.98
2016,2016-12-22,23.358,13.0,24.0,54.17,152.0,1.0,1.0,70.1,0.0,0.0,6.33,5.29
2016,2017-01-01,24.002,27.0,43.0,62.79,245.0,2.0,0.0,93.7,2.0,13.0,5.7,6.63
2017,2017-09-10,24.254,26.0,39.0,66.67,307.0,2.0,1.0,96.8,2.0,9.0,7.87,7.74
2017,2017-09-17,24.261,25.0,46.0,54.35,333.0,2.0,1.0,83.0,6.0,34.0,7.24,7.13
2017,2017-09-24,24.268,21.0,31.0,67.74,176.0,1.0,0.0,92.9,3.0,15.0,5.68,6.32
2017,2017-10-01,24.275,17.0,31.0,54.84,242.0,1.0,0.0,91.1,1.0,2.0,7.81,8.45
2017,2017-10-08,24.281999999999996,21.0,30.0,70.0,304.0,4.0,1.0,128.3,1.0,7.0,10.13,11.3
2017,2017-10-12,24.285999999999998,16.0,30.0,53.33,222.0,3.0,0.0,110.7,3.0,13.0,7.4,9.4
2017,2017-10-23,24.296999999999997,17.0,25.0,68.0,268.0,4.0,1.0,126.3,3.0,24.0,10.72,12.12
2017,2017-10-29,24.303,18.0,32.0,56.25,211.0,2.0,1.0,84.2,3.0,19.0,6.59,6.44
2017,2017-11-05,24.31,15.0,27.0,55.56,199.0,4.0,0.0,118.7,1.0,4.0,7.37,10.33
2017,2017-11-19,24.324,14.0,27.0,51.85,168.0,2.0,0.0,95.9,0.0,0.0,6.22,7.7
2017,2017-11-26,24.331,23.0,36.0,63.89,227.0,3.0,0.0,109.4,1.0,4.0,6.31,7.97
2017,2017-12-03,24.338,29.0,45.0,64.44,348.0,1.0,1.0,86.2,3.0,21.0,7.73,7.18
2017,2017-12-10,24.345,23.0,41.0,56.1,291.0,4.0,1.0,100.8,1.0,10.0,7.1,7.95
2018,2018-09-23,25.267,25.0,37.0,67.57,255.0,1.0,1.0,84.9,5.0,28.0,6.89,6.22
2018,2018-09-30,25.274,33.0,50.0,66.0,348.0,2.0,0.0,99.4,4.0,33.0,6.96,7.76
2018,2018-10-07,25.281,24.0,35.0,68.57,311.0,2.0,0.0,115.3,3.0,28.0,8.89,10.03
2018,2018-10-11,25.285,26.0,36.0,72.22,278.0,3.0,0.0,122.2,1.0,7.0,7.72,9.39
2018,2018-10-21,25.295,30.0,37.0,81.08,310.0,2.0,0.0,119.6,4.0,26.0,8.38,9.46
2018,2018-10-28,25.302,21.0,30.0,70.0,286.0,3.0,1.0,119.6,4.0,24.0,9.53,10.03
2018,2018-11-11,25.316,32.0,44.0,72.73,360.0,2.0,1.0,102.5,2.0,10.0,8.18,8.07
2018,2018-11-18,25.323,19.0,33.0,57.58,156.0,0.0,3.0,31.9,3.0,18.0,4.73,0.64
2018,2018-11-25,25.33,20.0,28.0,71.43,236.0,1.0,0.0,108.6,3.0,22.0,8.43,9.14
2018,2018-12-03,25.338,27.0,39.0,69.23,306.0,2.0,1.0,98.9,0.0,0.0,7.85,7.72
2018,2018-12-09,25.344,22.0,32.0,68.75,228.0,3.0,0.0,120.3,2.0,6.0,7.13,9.0
2019,2019-09-08,26.252,28.0,39.0,71.79,313.0,3.0,0.0,121.0,1.0,0.0,8.03,9.56
2019,2019-09-15,26.259,25.0,43.0,58.14,231.0,1.0,2.0,61.3,3.0,18.0,5.37,3.74
2019,2019-09-22,26.266,19.0,36.0,52.78,259.0,2.0,0.0,94.6,3.0,13.0,7.19,8.31
2019,2019-09-26,26.27,16.0,27.0,59.26,160.0,3.0,0.0,113.2,0.0,0.0,5.93,8.15
