Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2013,2013-10-20,25.245,15.0,25.0,60.0,271.0,1.0,0.0,110.6,5.0,50.0,10.84,11.64
2013,2013-11-03,25.259,20.0,34.0,58.82,350.0,3.0,0.0,123.4,1.0,10.0,10.29,12.06
2013,2013-11-10,25.266,22.0,43.0,51.16,201.0,3.0,0.0,87.5,3.0,42.0,4.67,6.07
2013,2013-11-17,25.273000000000003,13.0,24.0,54.17,170.0,1.0,1.0,73.3,2.0,21.0,7.08,6.04
2013,2013-11-24,25.28,18.0,34.0,52.94,169.0,0.0,1.0,54.7,2.0,28.0,4.97,3.65
2013,2013-12-01,25.287,15.0,30.0,50.0,272.0,0.0,1.0,67.6,1.0,8.0,9.07,7.57
2013,2013-12-05,25.291,16.0,29.0,55.17,159.0,1.0,1.0,68.0,1.0,6.0,5.48,4.62
2013,2013-12-15,25.301,18.0,34.0,52.94,168.0,0.0,2.0,42.3,4.0,36.0,4.94,2.29
2014,2014-12-21,26.307,20.0,42.0,47.62,185.0,0.0,1.0,50.2,0.0,0.0,4.4,3.33
2014,2014-12-28,26.314,25.0,35.0,71.43,250.0,2.0,1.0,98.5,3.0,15.0,7.14,7.0
2015,2015-11-15,27.271,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2015,2015-11-22,27.278000000000002,12.0,26.0,46.15,136.0,1.0,0.0,75.2,1.0,5.0,5.23,6.0
2015,2015-12-13,27.299,14.0,22.0,63.64,124.0,0.0,1.0,59.7,1.0,10.0,5.64,3.59
2015,2015-12-17,27.303,14.0,17.0,82.35,234.0,2.0,0.0,158.0,2.0,13.0,13.76,16.12
2015,2015-12-27,27.313000000000002,14.0,23.0,60.87,103.0,1.0,0.0,86.0,0.0,0.0,4.48,5.35
2015,2016-01-03,27.32,22.0,37.0,59.46,231.0,0.0,0.0,77.6,0.0,0.0,6.24,6.24
2016,2016-09-12,28.208000000000002,17.0,35.0,48.57,130.0,0.0,2.0,34.2,2.0,10.0,3.71,1.14
2016,2016-09-18,28.214000000000002,18.0,30.0,60.0,239.0,0.0,0.0,85.3,3.0,20.0,7.97,7.97
2016,2016-09-25,28.221,14.0,26.0,53.85,190.0,2.0,1.0,87.0,1.0,7.0,7.31,7.12
2016,2016-10-02,28.228,18.0,30.0,60.0,266.0,2.0,0.0,111.2,2.0,19.0,8.87,10.2
2016,2016-10-09,28.235,21.0,31.0,67.74,271.0,0.0,2.0,68.1,4.0,28.0,8.74,5.84
