Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2008,2008-09-14,23.074,7.0,12.0,58.33,67.0,0.0,0.0,74.0,0.0,0.0,5.58,5.58
2008,2008-09-21,23.081,,,,,,,,0.0,,,
2008,2008-11-23,23.144000000000002,,,,,,,,0.0,,,
2009,2009-09-27,24.087,10.0,19.0,52.63,92.0,0.0,1.0,44.2,1.0,6.0,4.84,2.47
2009,2009-10-04,24.094,14.0,22.0,63.64,115.0,1.0,0.0,92.0,6.0,29.0,5.23,6.14
2009,2009-10-12,24.101999999999997,20.0,26.0,76.92,241.0,2.0,0.0,130.4,0.0,0.0,9.27,10.81
2009,2009-10-25,24.115,18.0,36.0,50.0,211.0,0.0,2.0,45.0,2.0,14.0,5.86,3.36
2009,2009-11-01,24.122,12.0,21.0,57.14,112.0,1.0,0.0,87.8,5.0,51.0,5.33,6.29
2009,2009-11-08,24.129,19.0,34.0,55.88,219.0,0.0,0.0,75.5,2.0,19.0,6.44,6.44
2009,2009-11-15,24.136,17.0,31.0,54.84,175.0,1.0,1.0,68.6,0.0,0.0,5.65,4.84
2009,2009-11-19,24.14,17.0,29.0,58.62,172.0,1.0,0.0,87.1,0.0,0.0,5.93,6.62
2009,2009-11-29,24.15,17.0,31.0,54.84,175.0,1.0,3.0,42.5,1.0,7.0,5.65,1.94
2009,2009-12-06,24.156999999999996,29.0,52.0,55.77,335.0,2.0,1.0,80.2,1.0,7.0,6.44,6.35
2009,2009-12-13,24.164,21.0,29.0,72.41,220.0,0.0,1.0,79.7,2.0,12.0,7.59,6.03
2009,2009-12-20,24.171,29.0,46.0,63.04,349.0,1.0,3.0,66.3,1.0,2.0,7.59,5.09
2009,2009-12-27,24.178,35.0,55.0,63.64,322.0,1.0,1.0,78.0,3.0,19.0,5.85,5.4
2009,2010-01-03,24.185,16.0,20.0,80.0,140.0,1.0,1.0,91.7,2.0,10.0,7.0,5.75
2010,2010-09-12,25.072,21.0,34.0,61.76,182.0,0.0,0.0,75.9,3.0,18.0,5.35,5.35
2010,2010-09-19,25.079,9.0,15.0,60.0,114.0,1.0,0.0,106.0,2.0,8.0,7.6,8.93
2010,2010-09-26,25.086,26.0,44.0,59.09,363.0,2.0,1.0,91.4,2.0,11.0,8.25,8.14
2010,2010-10-04,25.094,28.0,38.0,73.68,305.0,2.0,3.0,81.6,2.0,12.0,8.03,5.53
2010,2010-10-17,25.107,23.0,39.0,58.97,231.0,2.0,1.0,82.3,0.0,0.0,5.92,5.79
2010,2010-10-24,25.114,23.0,36.0,63.89,257.0,1.0,1.0,82.8,1.0,8.0,7.14,6.44
2010,2010-10-31,25.121,24.0,37.0,64.86,217.0,0.0,1.0,69.3,0.0,0.0,5.86,4.65
2010,2010-11-07,25.128,22.0,34.0,64.71,231.0,0.0,3.0,47.5,2.0,15.0,6.79,2.82
2010,2010-11-14,25.135,19.0,28.0,67.86,240.0,1.0,1.0,91.4,1.0,7.0,8.57,7.68
2010,2010-11-28,25.149,17.0,30.0,56.67,307.0,2.0,1.0,100.3,3.0,22.0,10.23,10.07
2010,2010-12-05,25.156,16.0,32.0,50.0,174.0,1.0,3.0,37.8,1.0,7.0,5.44,1.84
2010,2010-12-12,25.163,5.0,18.0,27.78,55.0,1.0,0.0,58.3,5.0,25.0,3.06,4.17
2010,2010-12-19,25.17,33.0,45.0,73.33,276.0,1.0,1.0,86.9,3.0,15.0,6.13,5.58
2010,2010-12-26,25.177,29.0,44.0,65.91,278.0,1.0,2.0,72.0,2.0,7.0,6.32,4.73
2010,2011-01-02,25.184,6.0,16.0,37.5,71.0,0.0,1.0,25.8,3.0,23.0,4.44,1.63
2011,2011-09-12,26.072,30.0,49.0,61.22,416.0,2.0,1.0,93.6,4.0,26.0,8.49,8.39
2011,2011-09-18,26.078000000000003,12.0,30.0,40.0,170.0,1.0,1.0,56.3,2.0,17.0,5.67,4.83
2011,2011-09-25,26.085,19.0,29.0,65.52,255.0,1.0,1.0,90.4,5.0,24.0,8.79,7.93
2011,2011-10-02,26.092,3.0,4.0,75.0,27.0,0.0,1.0,53.1,0.0,0.0,6.75,-4.5
2012,2012-09-16,27.076,2.0,2.0,100.0,23.0,0.0,0.0,114.6,0.0,0.0,11.5,11.5
2012,2012-10-21,27.111,9.0,20.0,45.0,71.0,0.0,0.0,54.4,3.0,26.0,3.55,3.55
2012,2012-11-08,27.129,10.0,16.0,62.5,121.0,1.0,1.0,80.5,1.0,6.0,7.56,6.0
2012,2012-11-18,27.139,16.0,33.0,48.48,354.0,4.0,0.0,126.8,1.0,6.0,10.73,13.15
2012,2012-11-25,27.146,17.0,26.0,65.38,261.0,2.0,1.0,108.0,7.0,40.0,10.04,9.85
2012,2012-12-02,27.153000000000002,19.0,42.0,45.24,202.0,1.0,1.0,57.8,3.0,16.0,4.81,4.21
2012,2012-12-09,27.16,21.0,43.0,48.84,185.0,0.0,2.0,41.3,3.0,17.0,4.3,2.21
2012,2012-12-16,27.166999999999998,18.0,34.0,52.94,221.0,0.0,0.0,73.3,2.0,8.0,6.5,6.5
2012,2012-12-23,27.174,29.0,51.0,56.86,348.0,1.0,3.0,59.9,1.0,5.0,6.82,4.57
2012,2012-12-30,27.180999999999997,25.0,41.0,60.98,298.0,2.0,3.0,69.0,7.0,45.0,7.27,4.95
2013,2013-09-08,28.068,3.0,6.0,50.0,36.0,0.0,0.0,68.7,0.0,0.0,6.0,6.0
2013,2013-09-15,28.075,25.0,38.0,65.79,241.0,1.0,0.0,92.1,5.0,27.0,6.34,6.87
2013,2013-09-22,28.081999999999997,18.0,38.0,47.37,235.0,0.0,2.0,45.4,3.0,21.0,6.18,3.82
2013,2013-10-06,28.096,7.0,13.0,53.85,89.0,1.0,0.0,101.1,0.0,0.0,6.85,8.38
2013,2013-10-13,28.103,27.0,42.0,64.29,303.0,0.0,2.0,65.9,2.0,12.0,7.21,5.07
2013,2013-10-20,28.11,23.0,36.0,63.89,318.0,0.0,1.0,80.6,6.0,43.0,8.83,7.58
2013,2013-10-27,28.116999999999997,29.0,45.0,64.44,228.0,1.0,0.0,84.3,0.0,0.0,5.07,5.51
2013,2013-11-10,28.131,14.0,23.0,60.87,180.0,0.0,2.0,49.2,3.0,20.0,7.83,3.91
2013,2013-11-17,28.138,27.0,42.0,64.29,255.0,1.0,2.0,69.0,2.0,13.0,6.07,4.4
2013,2013-11-24,28.145,23.0,32.0,71.88,239.0,0.0,0.0,93.1,4.0,24.0,7.47,7.47
2013,2013-12-01,28.151999999999997,22.0,40.0,55.0,195.0,2.0,1.0,74.5,2.0,1.0,4.88,4.75
2013,2013-12-05,28.156,12.0,27.0,44.44,117.0,2.0,0.0,81.9,1.0,6.0,4.33,5.81
2013,2013-12-15,28.166,21.0,36.0,58.33,237.0,2.0,2.0,73.5,5.0,42.0,6.58,5.19
2013,2013-12-22,28.173000000000002,24.0,34.0,70.59,237.0,2.0,1.0,97.3,2.0,11.0,6.97,6.82
2013,2013-12-29,28.18,30.0,51.0,58.82,331.0,1.0,1.0,76.5,3.0,23.0,6.49,6.0
2014,2014-09-07,29.066999999999997,24.0,43.0,55.81,266.0,2.0,0.0,89.9,3.0,24.0,6.19,7.12
2014,2014-09-14,29.074,14.0,28.0,50.0,193.0,1.0,1.0,69.5,10.0,70.0,6.89,6.0
2014,2014-09-21,29.081,4.0,7.0,57.14,33.0,0.0,0.0,69.3,3.0,11.0,4.71,4.71
2016,2016-11-20,31.141,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2017,2017-09-24,32.084,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2017,2017-12-17,32.168,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2018,2018-12-30,33.181,2.0,3.0,66.67,29.0,0.0,0.0,97.9,0.0,0.0,9.67,9.67
2020,2020-10-25,35.115,2.0,2.0,100.0,13.0,0.0,0.0,93.7,1.0,3.0,6.5,6.5
2020,2020-11-01,35.122,3.0,4.0,75.0,17.0,0.0,0.0,82.3,0.0,0.0,4.25,4.25
