Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2002,2002-10-27,25.248,12.0,24.0,50.0,145.0,1.0,0.0,82.8,2.0,13.0,6.04,6.88
2002,2002-11-03,25.255,22.0,39.0,56.41,208.0,0.0,0.0,71.3,5.0,58.0,5.33,5.33
2002,2002-11-17,25.269000000000002,11.0,23.0,47.83,131.0,0.0,0.0,65.7,5.0,37.0,5.7,5.7
2002,2002-11-24,25.276,16.0,24.0,66.67,301.0,2.0,2.0,102.8,3.0,14.0,12.54,10.46
2002,2002-11-28,25.28,12.0,25.0,48.0,145.0,2.0,0.0,92.9,4.0,28.0,5.8,7.4
2002,2002-12-08,25.29,11.0,28.0,39.29,147.0,0.0,2.0,26.9,0.0,0.0,5.25,2.04
2002,2002-12-15,25.296999999999997,16.0,40.0,40.0,161.0,1.0,2.0,39.7,3.0,24.0,4.03,2.28
2002,2002-12-21,25.303,15.0,24.0,62.5,128.0,0.0,1.0,59.0,7.0,50.0,5.33,3.46
2002,2002-12-29,25.311,12.0,23.0,52.17,189.0,1.0,1.0,76.2,5.0,41.0,8.22,7.13
2003,2003-10-19,26.24,1.0,2.0,50.0,8.0,0.0,0.0,60.4,0.0,0.0,4.0,4.0
2004,2004-12-05,27.288,18.0,30.0,60.0,213.0,3.0,0.0,115.0,5.0,39.0,7.1,9.1
2004,2004-12-12,27.295,17.0,33.0,51.52,212.0,0.0,1.0,59.2,5.0,33.0,6.42,5.06
2004,2004-12-19,27.302,17.0,34.0,50.0,168.0,0.0,1.0,52.1,2.0,19.0,4.94,3.62
2004,2004-12-26,27.309,20.0,35.0,57.14,114.0,1.0,0.0,72.8,2.0,9.0,3.26,3.83
2004,2005-01-02,27.316,20.0,29.0,68.97,196.0,0.0,1.0,73.3,9.0,60.0,6.76,5.21
