Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1998,1998-09-20,23.289,20.0,40.0,50.0,160.0,0.0,2.0,39.6,5.0,18.0,4.0,1.75
1998,1998-09-28,23.296999999999997,14.0,23.0,60.87,115.0,0.0,0.0,73.6,1.0,7.0,5.0,5.0
1998,1998-10-04,23.303,16.0,31.0,51.61,268.0,2.0,0.0,102.6,4.0,22.0,8.65,9.94
1998,1998-10-15,23.314,16.0,19.0,84.21,218.0,2.0,0.0,149.6,3.0,19.0,11.47,13.58
1998,1998-10-25,23.324,20.0,37.0,54.05,231.0,1.0,1.0,70.9,4.0,17.0,6.24,5.57
1998,1998-11-01,23.331,10.0,17.0,58.82,71.0,0.0,3.0,28.9,3.0,15.0,4.18,-3.76
1998,1998-11-08,23.338,14.0,27.0,51.85,146.0,0.0,0.0,67.8,5.0,35.0,5.41,5.41
1998,1998-11-15,23.345,16.0,21.0,76.19,253.0,1.0,0.0,131.6,1.0,7.0,12.05,13.0
1998,1998-11-22,23.351999999999997,14.0,23.0,60.87,195.0,2.0,0.0,117.1,1.0,7.0,8.48,10.22
1998,1998-11-26,23.355999999999998,16.0,23.0,69.57,236.0,1.0,0.0,117.3,4.0,32.0,10.26,11.13
1998,1998-12-06,24.000999999999998,14.0,33.0,42.42,250.0,2.0,0.0,89.2,5.0,38.0,7.58,8.79
1998,1998-12-14,24.009,3.0,9.0,33.33,35.0,0.0,0.0,46.1,1.0,5.0,3.89,3.89
1999,1999-09-12,24.281,16.0,26.0,61.54,216.0,3.0,1.0,110.4,5.0,14.0,8.31,8.88
1999,1999-09-19,24.288,9.0,16.0,56.25,219.0,2.0,2.0,101.0,4.0,23.0,13.69,10.56
1999,1999-09-26,24.295,16.0,34.0,47.06,213.0,2.0,2.0,62.5,4.0,20.0,6.26,4.79
1999,1999-10-10,24.309,21.0,38.0,55.26,230.0,1.0,1.0,71.2,6.0,38.0,6.05,5.39
1999,1999-10-17,24.316,9.0,16.0,56.25,70.0,0.0,0.0,67.2,1.0,1.0,4.38,4.38
1999,1999-10-24,24.323,16.0,27.0,59.26,210.0,2.0,1.0,93.1,0.0,0.0,7.78,7.59
1999,1999-10-31,24.33,10.0,19.0,52.63,128.0,0.0,0.0,74.0,3.0,19.0,6.74,6.74
1999,1999-11-07,24.337,10.0,20.0,50.0,148.0,1.0,0.0,91.2,3.0,12.0,7.4,8.4
1999,1999-12-19,25.014,6.0,10.0,60.0,95.0,0.0,0.0,91.7,2.0,14.0,9.5,9.5
1999,1999-12-25,25.02,21.0,40.0,52.5,267.0,1.0,0.0,82.0,5.0,25.0,6.68,7.18
1999,2000-01-02,25.028000000000002,17.0,24.0,70.83,161.0,1.0,0.0,103.0,3.0,20.0,6.71,7.54
2000,2000-09-10,25.28,16.0,31.0,51.61,194.0,0.0,2.0,44.3,2.0,12.0,6.26,3.35
2000,2000-09-17,25.287,26.0,36.0,72.22,277.0,1.0,2.0,80.4,7.0,51.0,7.69,5.75
2000,2000-09-24,25.294,20.0,37.0,54.05,207.0,2.0,1.0,77.2,3.0,13.0,5.59,5.46
2000,2000-10-01,25.301,25.0,44.0,56.82,239.0,1.0,1.0,70.2,2.0,13.0,5.43,4.86
2000,2000-10-08,25.308000000000003,13.0,26.0,50.0,199.0,3.0,1.0,98.1,3.0,20.0,7.65,8.23
2000,2000-10-19,25.319000000000003,13.0,31.0,41.94,144.0,0.0,0.0,56.4,7.0,37.0,4.65,4.65
2000,2000-10-29,25.329,18.0,39.0,46.15,190.0,1.0,2.0,48.0,3.0,16.0,4.87,3.08
2000,2000-11-05,25.336,8.0,16.0,50.0,95.0,0.0,0.0,68.5,3.0,8.0,5.94,5.94
2000,2000-11-12,25.343000000000004,12.0,27.0,44.44,128.0,0.0,1.0,43.4,2.0,13.0,4.74,3.07
2000,2000-11-19,25.35,20.0,32.0,62.5,225.0,3.0,1.0,101.7,1.0,6.0,7.03,7.5
2000,2000-11-23,25.354,16.0,24.0,66.67,194.0,1.0,0.0,105.2,2.0,15.0,8.08,8.92
2000,2000-11-30,25.361,2.0,3.0,66.67,16.0,0.0,0.0,79.9,0.0,0.0,5.33,5.33
2000,2000-12-10,26.005,17.0,33.0,51.52,190.0,0.0,3.0,31.1,0.0,0.0,5.76,1.67
2000,2000-12-17,26.011999999999997,8.0,18.0,44.44,110.0,0.0,1.0,41.4,5.0,32.0,6.11,3.61
2000,2000-12-24,26.019000000000002,7.0,15.0,46.67,81.0,1.0,0.0,85.7,1.0,6.0,5.4,6.73
2001,2001-09-09,26.278000000000002,20.0,39.0,51.28,276.0,0.0,2.0,52.9,7.0,44.0,7.08,4.77
2001,2001-10-08,26.307,11.0,16.0,68.75,113.0,0.0,1.0,62.8,3.0,16.0,7.06,4.25
2001,2001-10-14,26.313000000000002,31.0,41.0,75.61,345.0,3.0,0.0,124.5,4.0,17.0,8.41,9.88
2001,2001-10-21,26.32,25.0,42.0,59.52,338.0,3.0,1.0,99.1,4.0,16.0,8.05,8.4
2001,2001-10-28,26.326999999999998,20.0,35.0,57.14,239.0,2.0,2.0,73.4,4.0,24.0,6.83,5.4
2001,2001-11-04,26.334,8.0,20.0,40.0,74.0,0.0,0.0,50.8,2.0,8.0,3.7,3.7
2001,2001-11-11,26.340999999999998,21.0,39.0,53.85,239.0,1.0,2.0,59.7,5.0,21.0,6.13,4.33
2001,2001-11-18,26.348000000000003,36.0,62.0,58.06,436.0,3.0,3.0,75.7,1.0,7.0,7.03,5.82
2001,2001-11-22,26.351999999999997,8.0,19.0,42.11,118.0,0.0,1.0,41.1,1.0,7.0,6.21,3.84
