Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2005,2005-11-20,24.084,6.0,11.0,54.55,58.0,0.0,1.0,31.6,0.0,0.0,5.27,1.18
2005,2005-11-27,24.090999999999998,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
2005,2005-12-04,24.098000000000003,13.0,20.0,65.0,226.0,2.0,0.0,136.7,5.0,21.0,11.3,13.3
2005,2005-12-11,24.105,16.0,24.0,66.67,138.0,1.0,1.0,78.1,2.0,14.0,5.75,4.71
2005,2005-12-18,24.112,21.0,32.0,65.63,198.0,0.0,1.0,69.5,2.0,13.0,6.19,4.78
2005,2005-12-24,24.118000000000002,20.0,39.0,51.28,183.0,0.0,0.0,64.4,8.0,60.0,4.69,4.69
2005,2006-01-01,24.125999999999998,22.0,37.0,59.46,199.0,1.0,1.0,71.8,5.0,27.0,5.38,4.7
2006,2006-09-10,25.013,16.0,27.0,59.26,132.0,1.0,2.0,53.3,5.0,31.0,4.89,2.3
2006,2006-09-17,25.02,20.0,33.0,60.61,244.0,0.0,2.0,58.1,0.0,0.0,7.39,4.67
2006,2006-09-24,25.026999999999997,21.0,33.0,63.64,298.0,1.0,1.0,90.2,7.0,48.0,9.03,8.27
2006,2006-10-01,25.034000000000002,22.0,32.0,68.75,192.0,3.0,2.0,89.6,2.0,13.0,6.0,5.06
2006,2006-10-08,25.041,26.0,43.0,60.47,173.0,0.0,2.0,49.9,2.0,16.0,4.02,1.93
2006,2006-10-22,25.055,19.0,33.0,57.58,149.0,1.0,1.0,66.4,5.0,18.0,4.52,3.76
2006,2006-10-29,25.061999999999998,15.0,22.0,68.18,141.0,1.0,1.0,81.8,3.0,21.0,6.41,5.27
2006,2006-11-05,25.069000000000003,26.0,44.0,59.09,241.0,1.0,1.0,72.3,5.0,32.0,5.48,4.91
2006,2006-11-12,25.076,16.0,22.0,72.73,165.0,1.0,0.0,109.1,5.0,20.0,7.5,8.41
2006,2006-11-19,25.083000000000002,17.0,27.0,62.96,224.0,0.0,0.0,89.1,5.0,21.0,8.3,8.3
2006,2006-11-26,25.09,18.0,29.0,62.07,186.0,0.0,4.0,40.9,4.0,34.0,6.41,0.21
2006,2006-12-03,25.096999999999998,11.0,13.0,84.62,122.0,1.0,0.0,131.4,0.0,0.0,9.38,10.92
2006,2006-12-17,25.111,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2006,2006-12-31,25.125,25.0,35.0,71.43,187.0,0.0,1.0,72.0,1.0,8.0,5.34,4.06
2007,2007-09-09,26.011999999999997,4.0,10.0,40.0,34.0,0.0,1.0,10.0,5.0,31.0,3.4,-1.1
2008,2008-10-12,27.045,12.0,23.0,52.17,83.0,2.0,2.0,53.4,3.0,19.0,3.61,1.43
2008,2008-12-14,27.108,,,,,,,,0.0,,,
2009,2009-12-20,28.114,9.0,17.0,52.94,68.0,0.0,1.0,38.4,0.0,0.0,4.0,1.35
2009,2009-12-27,28.121,26.0,45.0,57.78,333.0,0.0,3.0,53.3,4.0,32.0,7.4,4.4
2009,2010-01-03,28.128,18.0,25.0,72.0,180.0,1.0,0.0,105.4,1.0,8.0,7.2,8.0
